feet,color,brightness,image_file,phase,rep,trial_num,fertility_score,category,relevant_dim,irrelevant_dim,feet_high,feet_low,color_high,color_low,participant_id,rep_image_file,images_list,testing_categories
F,Y,D,Y_F_D.png,training,1,1,9,high,feet,color,F,C,G,Y,31,9_score.png,"Resources/Y_C_D.png,Resources/G_C_D.png,Resources/G_F_D.png,Resources/G_C_L.png,Resources/Y_F_L.png,Resources/G_F_L.png,Resources/Y_C_L.png,Resources/Y_F_D.png","low,low,high,low,high,high,low,high"
C,Y,L,Y_C_L.png,training,1,2,2,low,feet,color,F,C,G,Y,31,2_score.png,"Resources/Y_C_D.png,Resources/G_C_D.png,Resources/G_F_D.png,Resources/G_C_L.png,Resources/Y_F_L.png,Resources/G_F_L.png,Resources/Y_C_L.png,Resources/Y_F_D.png","low,low,high,low,high,high,low,high"
F,Y,L,Y_F_L.png,training,1,3,6,high,feet,color,F,C,G,Y,31,6_score.png,"Resources/Y_C_D.png,Resources/G_C_D.png,Resources/G_F_D.png,Resources/G_C_L.png,Resources/Y_F_L.png,Resources/G_F_L.png,Resources/Y_C_L.png,Resources/Y_F_D.png","low,low,high,low,high,high,low,high"
C,G,L,G_C_L.png,training,1,4,7,low,feet,color,F,C,G,Y,31,7_score.png,"Resources/Y_C_D.png,Resources/G_C_D.png,Resources/G_F_D.png,Resources/G_C_L.png,Resources/Y_F_L.png,Resources/G_F_L.png,Resources/Y_C_L.png,Resources/Y_F_D.png","low,low,high,low,high,high,low,high"
C,G,D,G_C_D.png,training,1,5,5,low,feet,color,F,C,G,Y,31,5_score.png,"Resources/Y_C_D.png,Resources/G_C_D.png,Resources/G_F_D.png,Resources/G_C_L.png,Resources/Y_F_L.png,Resources/G_F_L.png,Resources/Y_C_L.png,Resources/Y_F_D.png","low,low,high,low,high,high,low,high"
C,Y,D,Y_C_D.png,training,1,6,2,low,feet,color,F,C,G,Y,31,2_score.png,"Resources/Y_C_D.png,Resources/G_C_D.png,Resources/G_F_D.png,Resources/G_C_L.png,Resources/Y_F_L.png,Resources/G_F_L.png,Resources/Y_C_L.png,Resources/Y_F_D.png","low,low,high,low,high,high,low,high"
F,G,L,G_F_L.png,training,1,7,5,high,feet,color,F,C,G,Y,31,5_score.png,"Resources/Y_C_D.png,Resources/G_C_D.png,Resources/G_F_D.png,Resources/G_C_L.png,Resources/Y_F_L.png,Resources/G_F_L.png,Resources/Y_C_L.png,Resources/Y_F_D.png","low,low,high,low,high,high,low,high"
F,G,D,G_F_D.png,training,1,8,5,high,feet,color,F,C,G,Y,31,5_score.png,"Resources/Y_C_D.png,Resources/G_C_D.png,Resources/G_F_D.png,Resources/G_C_L.png,Resources/Y_F_L.png,Resources/G_F_L.png,Resources/Y_C_L.png,Resources/Y_F_D.png","low,low,high,low,high,high,low,high"
C,G,D,G_C_D.png,training,2,9,2,low,feet,color,F,C,G,Y,31,2_score.png,"Resources/Y_C_D.png,Resources/G_C_D.png,Resources/G_F_D.png,Resources/G_C_L.png,Resources/Y_F_L.png,Resources/G_F_L.png,Resources/Y_C_L.png,Resources/Y_F_D.png","low,low,high,low,high,high,low,high"
C,Y,D,Y_C_D.png,training,2,10,1,low,feet,color,F,C,G,Y,31,1_score.png,"Resources/Y_C_D.png,Resources/G_C_D.png,Resources/G_F_D.png,Resources/G_C_L.png,Resources/Y_F_L.png,Resources/G_F_L.png,Resources/Y_C_L.png,Resources/Y_F_D.png","low,low,high,low,high,high,low,high"
F,Y,D,Y_F_D.png,training,2,11,6,high,feet,color,F,C,G,Y,31,6_score.png,"Resources/Y_C_D.png,Resources/G_C_D.png,Resources/G_F_D.png,Resources/G_C_L.png,Resources/Y_F_L.png,Resources/G_F_L.png,Resources/Y_C_L.png,Resources/Y_F_D.png","low,low,high,low,high,high,low,high"
C,Y,L,Y_C_L.png,training,2,12,4,low,feet,color,F,C,G,Y,31,4_score.png,"Resources/Y_C_D.png,Resources/G_C_D.png,Resources/G_F_D.png,Resources/G_C_L.png,Resources/Y_F_L.png,Resources/G_F_L.png,Resources/Y_C_L.png,Resources/Y_F_D.png","low,low,high,low,high,high,low,high"
F,G,L,G_F_L.png,training,2,13,10,high,feet,color,F,C,G,Y,31,10_score.png,"Resources/Y_C_D.png,Resources/G_C_D.png,Resources/G_F_D.png,Resources/G_C_L.png,Resources/Y_F_L.png,Resources/G_F_L.png,Resources/Y_C_L.png,Resources/Y_F_D.png","low,low,high,low,high,high,low,high"
C,G,L,G_C_L.png,training,2,14,1,low,feet,color,F,C,G,Y,31,1_score.png,"Resources/Y_C_D.png,Resources/G_C_D.png,Resources/G_F_D.png,Resources/G_C_L.png,Resources/Y_F_L.png,Resources/G_F_L.png,Resources/Y_C_L.png,Resources/Y_F_D.png","low,low,high,low,high,high,low,high"
F,Y,L,Y_F_L.png,training,2,15,7,high,feet,color,F,C,G,Y,31,7_score.png,"Resources/Y_C_D.png,Resources/G_C_D.png,Resources/G_F_D.png,Resources/G_C_L.png,Resources/Y_F_L.png,Resources/G_F_L.png,Resources/Y_C_L.png,Resources/Y_F_D.png","low,low,high,low,high,high,low,high"
F,G,D,G_F_D.png,training,2,16,8,high,feet,color,F,C,G,Y,31,8_score.png,"Resources/Y_C_D.png,Resources/G_C_D.png,Resources/G_F_D.png,Resources/G_C_L.png,Resources/Y_F_L.png,Resources/G_F_L.png,Resources/Y_C_L.png,Resources/Y_F_D.png","low,low,high,low,high,high,low,high"
C,Y,D,Y_C_D.png,training,3,17,4,low,feet,color,F,C,G,Y,31,4_score.png,"Resources/Y_C_D.png,Resources/G_C_D.png,Resources/G_F_D.png,Resources/G_C_L.png,Resources/Y_F_L.png,Resources/G_F_L.png,Resources/Y_C_L.png,Resources/Y_F_D.png","low,low,high,low,high,high,low,high"
C,Y,L,Y_C_L.png,training,3,18,5,low,feet,color,F,C,G,Y,31,5_score.png,"Resources/Y_C_D.png,Resources/G_C_D.png,Resources/G_F_D.png,Resources/G_C_L.png,Resources/Y_F_L.png,Resources/G_F_L.png,Resources/Y_C_L.png,Resources/Y_F_D.png","low,low,high,low,high,high,low,high"
F,Y,L,Y_F_L.png,training,3,19,4,high,feet,color,F,C,G,Y,31,4_score.png,"Resources/Y_C_D.png,Resources/G_C_D.png,Resources/G_F_D.png,Resources/G_C_L.png,Resources/Y_F_L.png,Resources/G_F_L.png,Resources/Y_C_L.png,Resources/Y_F_D.png","low,low,high,low,high,high,low,high"
C,G,D,G_C_D.png,training,3,20,4,low,feet,color,F,C,G,Y,31,4_score.png,"Resources/Y_C_D.png,Resources/G_C_D.png,Resources/G_F_D.png,Resources/G_C_L.png,Resources/Y_F_L.png,Resources/G_F_L.png,Resources/Y_C_L.png,Resources/Y_F_D.png","low,low,high,low,high,high,low,high"
F,G,L,G_F_L.png,training,3,21,8,high,feet,color,F,C,G,Y,31,8_score.png,"Resources/Y_C_D.png,Resources/G_C_D.png,Resources/G_F_D.png,Resources/G_C_L.png,Resources/Y_F_L.png,Resources/G_F_L.png,Resources/Y_C_L.png,Resources/Y_F_D.png","low,low,high,low,high,high,low,high"
C,G,L,G_C_L.png,training,3,22,5,low,feet,color,F,C,G,Y,31,5_score.png,"Resources/Y_C_D.png,Resources/G_C_D.png,Resources/G_F_D.png,Resources/G_C_L.png,Resources/Y_F_L.png,Resources/G_F_L.png,Resources/Y_C_L.png,Resources/Y_F_D.png","low,low,high,low,high,high,low,high"
F,G,D,G_F_D.png,training,3,23,6,high,feet,color,F,C,G,Y,31,6_score.png,"Resources/Y_C_D.png,Resources/G_C_D.png,Resources/G_F_D.png,Resources/G_C_L.png,Resources/Y_F_L.png,Resources/G_F_L.png,Resources/Y_C_L.png,Resources/Y_F_D.png","low,low,high,low,high,high,low,high"
F,Y,D,Y_F_D.png,training,3,24,10,high,feet,color,F,C,G,Y,31,10_score.png,"Resources/Y_C_D.png,Resources/G_C_D.png,Resources/G_F_D.png,Resources/G_C_L.png,Resources/Y_F_L.png,Resources/G_F_L.png,Resources/Y_C_L.png,Resources/Y_F_D.png","low,low,high,low,high,high,low,high"
