feet,color,brightness,image_file,phase,rep,trial_num,fertility_score,category,relevant_dim,irrelevant_dim,feet_high,feet_low,color_high,color_low,participant_id,rep_image_file,images_list,testing_categories
C,G,L,G_C_L.png,training,1,1,10,high,feet,color,C,F,Y,G,9,10_score.png,"Resources/G_C_D.png,Resources/G_F_D.png,Resources/G_C_L.png,Resources/Y_C_L.png,Resources/Y_F_L.png,Resources/Y_C_D.png,Resources/Y_F_D.png,Resources/G_F_L.png","high,low,high,high,low,high,low,low"
F,Y,D,Y_F_D.png,training,1,2,3,low,feet,color,C,F,Y,G,9,3_score.png,"Resources/G_C_D.png,Resources/G_F_D.png,Resources/G_C_L.png,Resources/Y_C_L.png,Resources/Y_F_L.png,Resources/Y_C_D.png,Resources/Y_F_D.png,Resources/G_F_L.png","high,low,high,high,low,high,low,low"
F,G,D,G_F_D.png,training,1,3,3,low,feet,color,C,F,Y,G,9,3_score.png,"Resources/G_C_D.png,Resources/G_F_D.png,Resources/G_C_L.png,Resources/Y_C_L.png,Resources/Y_F_L.png,Resources/Y_C_D.png,Resources/Y_F_D.png,Resources/G_F_L.png","high,low,high,high,low,high,low,low"
C,Y,D,Y_C_D.png,training,1,4,8,high,feet,color,C,F,Y,G,9,8_score.png,"Resources/G_C_D.png,Resources/G_F_D.png,Resources/G_C_L.png,Resources/Y_C_L.png,Resources/Y_F_L.png,Resources/Y_C_D.png,Resources/Y_F_D.png,Resources/G_F_L.png","high,low,high,high,low,high,low,low"
C,G,D,G_C_D.png,training,1,5,6,high,feet,color,C,F,Y,G,9,6_score.png,"Resources/G_C_D.png,Resources/G_F_D.png,Resources/G_C_L.png,Resources/Y_C_L.png,Resources/Y_F_L.png,Resources/Y_C_D.png,Resources/Y_F_D.png,Resources/G_F_L.png","high,low,high,high,low,high,low,low"
F,G,L,G_F_L.png,training,1,6,5,low,feet,color,C,F,Y,G,9,5_score.png,"Resources/G_C_D.png,Resources/G_F_D.png,Resources/G_C_L.png,Resources/Y_C_L.png,Resources/Y_F_L.png,Resources/Y_C_D.png,Resources/Y_F_D.png,Resources/G_F_L.png","high,low,high,high,low,high,low,low"
F,Y,L,Y_F_L.png,training,1,7,3,low,feet,color,C,F,Y,G,9,3_score.png,"Resources/G_C_D.png,Resources/G_F_D.png,Resources/G_C_L.png,Resources/Y_C_L.png,Resources/Y_F_L.png,Resources/Y_C_D.png,Resources/Y_F_D.png,Resources/G_F_L.png","high,low,high,high,low,high,low,low"
C,Y,L,Y_C_L.png,training,1,8,7,high,feet,color,C,F,Y,G,9,7_score.png,"Resources/G_C_D.png,Resources/G_F_D.png,Resources/G_C_L.png,Resources/Y_C_L.png,Resources/Y_F_L.png,Resources/Y_C_D.png,Resources/Y_F_D.png,Resources/G_F_L.png","high,low,high,high,low,high,low,low"
C,Y,L,Y_C_L.png,training,2,9,8,high,feet,color,C,F,Y,G,9,8_score.png,"Resources/G_C_D.png,Resources/G_F_D.png,Resources/G_C_L.png,Resources/Y_C_L.png,Resources/Y_F_L.png,Resources/Y_C_D.png,Resources/Y_F_D.png,Resources/G_F_L.png","high,low,high,high,low,high,low,low"
F,Y,D,Y_F_D.png,training,2,10,3,low,feet,color,C,F,Y,G,9,3_score.png,"Resources/G_C_D.png,Resources/G_F_D.png,Resources/G_C_L.png,Resources/Y_C_L.png,Resources/Y_F_L.png,Resources/Y_C_D.png,Resources/Y_F_D.png,Resources/G_F_L.png","high,low,high,high,low,high,low,low"
