feet,color,brightness,image_file,phase,rep,trial_num,fertility_score,category,relevant_dim,irrelevant_dim,color_high,color_low,feet_high,feet_low,participant_id,rep_image_file,images_list,testing_categories
F,Y,L,Y_F_L.png,training,1,1,1,low,color,feet,G,Y,C,F,38,1_score.png,"Resources/Y_C_D.png,Resources/Y_F_L.png,Resources/Y_F_D.png,Resources/G_C_L.png,Resources/G_F_L.png,Resources/G_F_D.png,Resources/Y_C_L.png,Resources/G_C_D.png","low,low,low,high,high,high,low,high"
C,Y,D,Y_C_D.png,training,1,2,1,low,color,feet,G,Y,C,F,38,1_score.png,"Resources/Y_C_D.png,Resources/Y_F_L.png,Resources/Y_F_D.png,Resources/G_C_L.png,Resources/G_F_L.png,Resources/G_F_D.png,Resources/Y_C_L.png,Resources/G_C_D.png","low,low,low,high,high,high,low,high"
C,G,D,G_C_D.png,training,1,3,8,high,color,feet,G,Y,C,F,38,8_score.png,"Resources/Y_C_D.png,Resources/Y_F_L.png,Resources/Y_F_D.png,Resources/G_C_L.png,Resources/G_F_L.png,Resources/G_F_D.png,Resources/Y_C_L.png,Resources/G_C_D.png","low,low,low,high,high,high,low,high"
F,Y,D,Y_F_D.png,training,1,4,4,low,color,feet,G,Y,C,F,38,4_score.png,"Resources/Y_C_D.png,Resources/Y_F_L.png,Resources/Y_F_D.png,Resources/G_C_L.png,Resources/G_F_L.png,Resources/G_F_D.png,Resources/Y_C_L.png,Resources/G_C_D.png","low,low,low,high,high,high,low,high"
C,G,L,G_C_L.png,training,1,5,8,high,color,feet,G,Y,C,F,38,8_score.png,"Resources/Y_C_D.png,Resources/Y_F_L.png,Resources/Y_F_D.png,Resources/G_C_L.png,Resources/G_F_L.png,Resources/G_F_D.png,Resources/Y_C_L.png,Resources/G_C_D.png","low,low,low,high,high,high,low,high"
F,G,D,G_F_D.png,training,1,6,6,high,color,feet,G,Y,C,F,38,6_score.png,"Resources/Y_C_D.png,Resources/Y_F_L.png,Resources/Y_F_D.png,Resources/G_C_L.png,Resources/G_F_L.png,Resources/G_F_D.png,Resources/Y_C_L.png,Resources/G_C_D.png","low,low,low,high,high,high,low,high"
F,G,L,G_F_L.png,training,1,7,9,high,color,feet,G,Y,C,F,38,9_score.png,"Resources/Y_C_D.png,Resources/Y_F_L.png,Resources/Y_F_D.png,Resources/G_C_L.png,Resources/G_F_L.png,Resources/G_F_D.png,Resources/Y_C_L.png,Resources/G_C_D.png","low,low,low,high,high,high,low,high"
C,Y,L,Y_C_L.png,training,1,8,2,low,color,feet,G,Y,C,F,38,2_score.png,"Resources/Y_C_D.png,Resources/Y_F_L.png,Resources/Y_F_D.png,Resources/G_C_L.png,Resources/G_F_L.png,Resources/G_F_D.png,Resources/Y_C_L.png,Resources/G_C_D.png","low,low,low,high,high,high,low,high"
F,Y,L,Y_F_L.png,training,2,9,3,low,color,feet,G,Y,C,F,38,3_score.png,"Resources/Y_C_D.png,Resources/Y_F_L.png,Resources/Y_F_D.png,Resources/G_C_L.png,Resources/G_F_L.png,Resources/G_F_D.png,Resources/Y_C_L.png,Resources/G_C_D.png","low,low,low,high,high,high,low,high"
C,G,D,G_C_D.png,training,2,10,7,high,color,feet,G,Y,C,F,38,7_score.png,"Resources/Y_C_D.png,Resources/Y_F_L.png,Resources/Y_F_D.png,Resources/G_C_L.png,Resources/G_F_L.png,Resources/G_F_D.png,Resources/Y_C_L.png,Resources/G_C_D.png","low,low,low,high,high,high,low,high"
