feet,color,brightness,image_file,phase,rep,trial_num,fertility_score,category,relevant_dim,irrelevant_dim,color_high,color_low,feet_high,feet_low,participant_id,rep_image_file,images_list,testing_categories
F,Y,L,Y_F_L.png,training,1,1,5,low,color,feet,G,Y,F,C,10,5_score.png,"Resources/G_C_D.png,Resources/Y_C_D.png,Resources/Y_F_L.png,Resources/G_C_L.png,Resources/G_F_L.png,Resources/Y_C_L.png,Resources/Y_F_D.png,Resources/G_F_D.png","high,low,low,high,high,low,low,high"
F,G,D,G_F_D.png,training,1,2,8,high,color,feet,G,Y,F,C,10,8_score.png,"Resources/G_C_D.png,Resources/Y_C_D.png,Resources/Y_F_L.png,Resources/G_C_L.png,Resources/G_F_L.png,Resources/Y_C_L.png,Resources/Y_F_D.png,Resources/G_F_D.png","high,low,low,high,high,low,low,high"
C,Y,L,Y_C_L.png,training,1,3,3,low,color,feet,G,Y,F,C,10,3_score.png,"Resources/G_C_D.png,Resources/Y_C_D.png,Resources/Y_F_L.png,Resources/G_C_L.png,Resources/G_F_L.png,Resources/Y_C_L.png,Resources/Y_F_D.png,Resources/G_F_D.png","high,low,low,high,high,low,low,high"
F,Y,D,Y_F_D.png,training,1,4,3,low,color,feet,G,Y,F,C,10,3_score.png,"Resources/G_C_D.png,Resources/Y_C_D.png,Resources/Y_F_L.png,Resources/G_C_L.png,Resources/G_F_L.png,Resources/Y_C_L.png,Resources/Y_F_D.png,Resources/G_F_D.png","high,low,low,high,high,low,low,high"
C,Y,D,Y_C_D.png,training,1,5,5,low,color,feet,G,Y,F,C,10,5_score.png,"Resources/G_C_D.png,Resources/Y_C_D.png,Resources/Y_F_L.png,Resources/G_C_L.png,Resources/G_F_L.png,Resources/Y_C_L.png,Resources/Y_F_D.png,Resources/G_F_D.png","high,low,low,high,high,low,low,high"
C,G,D,G_C_D.png,training,1,6,8,high,color,feet,G,Y,F,C,10,8_score.png,"Resources/G_C_D.png,Resources/Y_C_D.png,Resources/Y_F_L.png,Resources/G_C_L.png,Resources/G_F_L.png,Resources/Y_C_L.png,Resources/Y_F_D.png,Resources/G_F_D.png","high,low,low,high,high,low,low,high"
C,G,L,G_C_L.png,training,1,7,8,high,color,feet,G,Y,F,C,10,8_score.png,"Resources/G_C_D.png,Resources/Y_C_D.png,Resources/Y_F_L.png,Resources/G_C_L.png,Resources/G_F_L.png,Resources/Y_C_L.png,Resources/Y_F_D.png,Resources/G_F_D.png","high,low,low,high,high,low,low,high"
F,G,L,G_F_L.png,training,1,8,5,high,color,feet,G,Y,F,C,10,5_score.png,"Resources/G_C_D.png,Resources/Y_C_D.png,Resources/Y_F_L.png,Resources/G_C_L.png,Resources/G_F_L.png,Resources/Y_C_L.png,Resources/Y_F_D.png,Resources/G_F_D.png","high,low,low,high,high,low,low,high"
F,G,L,G_F_L.png,training,2,9,5,high,color,feet,G,Y,F,C,10,5_score.png,"Resources/G_C_D.png,Resources/Y_C_D.png,Resources/Y_F_L.png,Resources/G_C_L.png,Resources/G_F_L.png,Resources/Y_C_L.png,Resources/Y_F_D.png,Resources/G_F_D.png","high,low,low,high,high,low,low,high"
C,Y,D,Y_C_D.png,training,2,10,3,low,color,feet,G,Y,F,C,10,3_score.png,"Resources/G_C_D.png,Resources/Y_C_D.png,Resources/Y_F_L.png,Resources/G_C_L.png,Resources/G_F_L.png,Resources/Y_C_L.png,Resources/Y_F_D.png,Resources/G_F_D.png","high,low,low,high,high,low,low,high"
C,G,D,G_C_D.png,training,2,11,7,high,color,feet,G,Y,F,C,10,7_score.png,"Resources/G_C_D.png,Resources/Y_C_D.png,Resources/Y_F_L.png,Resources/G_C_L.png,Resources/G_F_L.png,Resources/Y_C_L.png,Resources/Y_F_D.png,Resources/G_F_D.png","high,low,low,high,high,low,low,high"
F,Y,D,Y_F_D.png,training,2,12,2,low,color,feet,G,Y,F,C,10,2_score.png,"Resources/G_C_D.png,Resources/Y_C_D.png,Resources/Y_F_L.png,Resources/G_C_L.png,Resources/G_F_L.png,Resources/Y_C_L.png,Resources/Y_F_D.png,Resources/G_F_D.png","high,low,low,high,high,low,low,high"
F,G,D,G_F_D.png,training,2,13,9,high,color,feet,G,Y,F,C,10,9_score.png,"Resources/G_C_D.png,Resources/Y_C_D.png,Resources/Y_F_L.png,Resources/G_C_L.png,Resources/G_F_L.png,Resources/Y_C_L.png,Resources/Y_F_D.png,Resources/G_F_D.png","high,low,low,high,high,low,low,high"
C,G,L,G_C_L.png,training,2,14,7,high,color,feet,G,Y,F,C,10,7_score.png,"Resources/G_C_D.png,Resources/Y_C_D.png,Resources/Y_F_L.png,Resources/G_C_L.png,Resources/G_F_L.png,Resources/Y_C_L.png,Resources/Y_F_D.png,Resources/G_F_D.png","high,low,low,high,high,low,low,high"
F,Y,L,Y_F_L.png,training,2,15,4,low,color,feet,G,Y,F,C,10,4_score.png,"Resources/G_C_D.png,Resources/Y_C_D.png,Resources/Y_F_L.png,Resources/G_C_L.png,Resources/G_F_L.png,Resources/Y_C_L.png,Resources/Y_F_D.png,Resources/G_F_D.png","high,low,low,high,high,low,low,high"
C,Y,L,Y_C_L.png,training,2,16,4,low,color,feet,G,Y,F,C,10,4_score.png,"Resources/G_C_D.png,Resources/Y_C_D.png,Resources/Y_F_L.png,Resources/G_C_L.png,Resources/G_F_L.png,Resources/Y_C_L.png,Resources/Y_F_D.png,Resources/G_F_D.png","high,low,low,high,high,low,low,high"
C,Y,D,Y_C_D.png,training,3,17,2,low,color,feet,G,Y,F,C,10,2_score.png,"Resources/G_C_D.png,Resources/Y_C_D.png,Resources/Y_F_L.png,Resources/G_C_L.png,Resources/G_F_L.png,Resources/Y_C_L.png,Resources/Y_F_D.png,Resources/G_F_D.png","high,low,low,high,high,low,low,high"
F,G,L,G_F_L.png,training,3,18,8,high,color,feet,G,Y,F,C,10,8_score.png,"Resources/G_C_D.png,Resources/Y_C_D.png,Resources/Y_F_L.png,Resources/G_C_L.png,Resources/G_F_L.png,Resources/Y_C_L.png,Resources/Y_F_D.png,Resources/G_F_D.png","high,low,low,high,high,low,low,high"
C,Y,L,Y_C_L.png,training,3,19,3,low,color,feet,G,Y,F,C,10,3_score.png,"Resources/G_C_D.png,Resources/Y_C_D.png,Resources/Y_F_L.png,Resources/G_C_L.png,Resources/G_F_L.png,Resources/Y_C_L.png,Resources/Y_F_D.png,Resources/G_F_D.png","high,low,low,high,high,low,low,high"
C,G,L,G_C_L.png,training,3,20,10,high,color,feet,G,Y,F,C,10,10_score.png,"Resources/G_C_D.png,Resources/Y_C_D.png,Resources/Y_F_L.png,Resources/G_C_L.png,Resources/G_F_L.png,Resources/Y_C_L.png,Resources/Y_F_D.png,Resources/G_F_D.png","high,low,low,high,high,low,low,high"
F,Y,D,Y_F_D.png,training,3,21,5,low,color,feet,G,Y,F,C,10,5_score.png,"Resources/G_C_D.png,Resources/Y_C_D.png,Resources/Y_F_L.png,Resources/G_C_L.png,Resources/G_F_L.png,Resources/Y_C_L.png,Resources/Y_F_D.png,Resources/G_F_D.png","high,low,low,high,high,low,low,high"
F,Y,L,Y_F_L.png,training,3,22,8,low,color,feet,G,Y,F,C,10,8_score.png,"Resources/G_C_D.png,Resources/Y_C_D.png,Resources/Y_F_L.png,Resources/G_C_L.png,Resources/G_F_L.png,Resources/Y_C_L.png,Resources/Y_F_D.png,Resources/G_F_D.png","high,low,low,high,high,low,low,high"
F,G,D,G_F_D.png,training,3,23,8,high,color,feet,G,Y,F,C,10,8_score.png,"Resources/G_C_D.png,Resources/Y_C_D.png,Resources/Y_F_L.png,Resources/G_C_L.png,Resources/G_F_L.png,Resources/Y_C_L.png,Resources/Y_F_D.png,Resources/G_F_D.png","high,low,low,high,high,low,low,high"
C,G,D,G_C_D.png,training,3,24,4,high,color,feet,G,Y,F,C,10,4_score.png,"Resources/G_C_D.png,Resources/Y_C_D.png,Resources/Y_F_L.png,Resources/G_C_L.png,Resources/G_F_L.png,Resources/Y_C_L.png,Resources/Y_F_D.png,Resources/G_F_D.png","high,low,low,high,high,low,low,high"
