feet,color,brightness,image_file,phase,rep,trial_num,fertility_score,category,relevant_dim,irrelevant_dim,feet_high,feet_low,color_high,color_low,participant_id,rep_image_file,images_list,testing_categories
F,Y,L,Y_F_L.png,training,1,1,7,high,feet,color,F,C,G,Y,27,7_score.png,"Resources/Y_C_L.png,Resources/Y_F_L.png,Resources/Y_C_D.png,Resources/G_C_L.png,Resources/Y_F_D.png,Resources/G_F_D.png,Resources/G_C_D.png,Resources/G_F_L.png","low,high,low,low,high,high,low,high"
F,G,D,G_F_D.png,training,1,2,6,high,feet,color,F,C,G,Y,27,6_score.png,"Resources/Y_C_L.png,Resources/Y_F_L.png,Resources/Y_C_D.png,Resources/G_C_L.png,Resources/Y_F_D.png,Resources/G_F_D.png,Resources/G_C_D.png,Resources/G_F_L.png","low,high,low,low,high,high,low,high"
C,Y,L,Y_C_L.png,training,1,3,3,low,feet,color,F,C,G,Y,27,3_score.png,"Resources/Y_C_L.png,Resources/Y_F_L.png,Resources/Y_C_D.png,Resources/G_C_L.png,Resources/Y_F_D.png,Resources/G_F_D.png,Resources/G_C_D.png,Resources/G_F_L.png","low,high,low,low,high,high,low,high"
F,G,L,G_F_L.png,training,1,4,8,high,feet,color,F,C,G,Y,27,8_score.png,"Resources/Y_C_L.png,Resources/Y_F_L.png,Resources/Y_C_D.png,Resources/G_C_L.png,Resources/Y_F_D.png,Resources/G_F_D.png,Resources/G_C_D.png,Resources/G_F_L.png","low,high,low,low,high,high,low,high"
C,G,D,G_C_D.png,training,1,5,4,low,feet,color,F,C,G,Y,27,4_score.png,"Resources/Y_C_L.png,Resources/Y_F_L.png,Resources/Y_C_D.png,Resources/G_C_L.png,Resources/Y_F_D.png,Resources/G_F_D.png,Resources/G_C_D.png,Resources/G_F_L.png","low,high,low,low,high,high,low,high"
C,Y,D,Y_C_D.png,training,1,6,3,low,feet,color,F,C,G,Y,27,3_score.png,"Resources/Y_C_L.png,Resources/Y_F_L.png,Resources/Y_C_D.png,Resources/G_C_L.png,Resources/Y_F_D.png,Resources/G_F_D.png,Resources/G_C_D.png,Resources/G_F_L.png","low,high,low,low,high,high,low,high"
F,Y,D,Y_F_D.png,training,1,7,4,high,feet,color,F,C,G,Y,27,4_score.png,"Resources/Y_C_L.png,Resources/Y_F_L.png,Resources/Y_C_D.png,Resources/G_C_L.png,Resources/Y_F_D.png,Resources/G_F_D.png,Resources/G_C_D.png,Resources/G_F_L.png","low,high,low,low,high,high,low,high"
C,G,L,G_C_L.png,training,1,8,6,low,feet,color,F,C,G,Y,27,6_score.png,"Resources/Y_C_L.png,Resources/Y_F_L.png,Resources/Y_C_D.png,Resources/G_C_L.png,Resources/Y_F_D.png,Resources/G_F_D.png,Resources/G_C_D.png,Resources/G_F_L.png","low,high,low,low,high,high,low,high"
C,Y,L,Y_C_L.png,training,2,9,2,low,feet,color,F,C,G,Y,27,2_score.png,"Resources/Y_C_L.png,Resources/Y_F_L.png,Resources/Y_C_D.png,Resources/G_C_L.png,Resources/Y_F_D.png,Resources/G_F_D.png,Resources/G_C_D.png,Resources/G_F_L.png","low,high,low,low,high,high,low,high"
C,G,L,G_C_L.png,training,2,10,3,low,feet,color,F,C,G,Y,27,3_score.png,"Resources/Y_C_L.png,Resources/Y_F_L.png,Resources/Y_C_D.png,Resources/G_C_L.png,Resources/Y_F_D.png,Resources/G_F_D.png,Resources/G_C_D.png,Resources/G_F_L.png","low,high,low,low,high,high,low,high"
C,Y,D,Y_C_D.png,training,2,11,2,low,feet,color,F,C,G,Y,27,2_score.png,"Resources/Y_C_L.png,Resources/Y_F_L.png,Resources/Y_C_D.png,Resources/G_C_L.png,Resources/Y_F_D.png,Resources/G_F_D.png,Resources/G_C_D.png,Resources/G_F_L.png","low,high,low,low,high,high,low,high"
F,Y,D,Y_F_D.png,training,2,12,6,high,feet,color,F,C,G,Y,27,6_score.png,"Resources/Y_C_L.png,Resources/Y_F_L.png,Resources/Y_C_D.png,Resources/G_C_L.png,Resources/Y_F_D.png,Resources/G_F_D.png,Resources/G_C_D.png,Resources/G_F_L.png","low,high,low,low,high,high,low,high"
F,Y,L,Y_F_L.png,training,2,13,8,high,feet,color,F,C,G,Y,27,8_score.png,"Resources/Y_C_L.png,Resources/Y_F_L.png,Resources/Y_C_D.png,Resources/G_C_L.png,Resources/Y_F_D.png,Resources/G_F_D.png,Resources/G_C_D.png,Resources/G_F_L.png","low,high,low,low,high,high,low,high"
F,G,L,G_F_L.png,training,2,14,5,high,feet,color,F,C,G,Y,27,5_score.png,"Resources/Y_C_L.png,Resources/Y_F_L.png,Resources/Y_C_D.png,Resources/G_C_L.png,Resources/Y_F_D.png,Resources/G_F_D.png,Resources/G_C_D.png,Resources/G_F_L.png","low,high,low,low,high,high,low,high"
C,G,D,G_C_D.png,training,2,15,3,low,feet,color,F,C,G,Y,27,3_score.png,"Resources/Y_C_L.png,Resources/Y_F_L.png,Resources/Y_C_D.png,Resources/G_C_L.png,Resources/Y_F_D.png,Resources/G_F_D.png,Resources/G_C_D.png,Resources/G_F_L.png","low,high,low,low,high,high,low,high"
F,G,D,G_F_D.png,training,2,16,8,high,feet,color,F,C,G,Y,27,8_score.png,"Resources/Y_C_L.png,Resources/Y_F_L.png,Resources/Y_C_D.png,Resources/G_C_L.png,Resources/Y_F_D.png,Resources/G_F_D.png,Resources/G_C_D.png,Resources/G_F_L.png","low,high,low,low,high,high,low,high"
C,Y,L,Y_C_L.png,training,3,17,4,low,feet,color,F,C,G,Y,27,4_score.png,"Resources/Y_C_L.png,Resources/Y_F_L.png,Resources/Y_C_D.png,Resources/G_C_L.png,Resources/Y_F_D.png,Resources/G_F_D.png,Resources/G_C_D.png,Resources/G_F_L.png","low,high,low,low,high,high,low,high"
