feet,color,brightness,image_file,phase,rep,trial_num,fertility_score,category,relevant_dim,irrelevant_dim,feet_high,feet_low,color_high,color_low,participant_id,rep_image_file,images_list,testing_categories
C,G,D,G_C_D.png,training,1,1,1,low,feet,color,F,C,G,Y,19,1_score.png,"Resources/Y_C_D.png,Resources/Y_F_D.png,Resources/Y_F_L.png,Resources/G_C_L.png,Resources/G_C_D.png,Resources/G_F_L.png,Resources/Y_C_L.png,Resources/G_F_D.png","low,high,high,low,low,high,low,high"
C,Y,L,Y_C_L.png,training,1,2,3,low,feet,color,F,C,G,Y,19,3_score.png,"Resources/Y_C_D.png,Resources/Y_F_D.png,Resources/Y_F_L.png,Resources/G_C_L.png,Resources/G_C_D.png,Resources/G_F_L.png,Resources/Y_C_L.png,Resources/G_F_D.png","low,high,high,low,low,high,low,high"
F,Y,D,Y_F_D.png,training,1,3,8,high,feet,color,F,C,G,Y,19,8_score.png,"Resources/Y_C_D.png,Resources/Y_F_D.png,Resources/Y_F_L.png,Resources/G_C_L.png,Resources/G_C_D.png,Resources/G_F_L.png,Resources/Y_C_L.png,Resources/G_F_D.png","low,high,high,low,low,high,low,high"
F,Y,L,Y_F_L.png,training,1,4,10,high,feet,color,F,C,G,Y,19,10_score.png,"Resources/Y_C_D.png,Resources/Y_F_D.png,Resources/Y_F_L.png,Resources/G_C_L.png,Resources/G_C_D.png,Resources/G_F_L.png,Resources/Y_C_L.png,Resources/G_F_D.png","low,high,high,low,low,high,low,high"
C,G,L,G_C_L.png,training,1,5,1,low,feet,color,F,C,G,Y,19,1_score.png,"Resources/Y_C_D.png,Resources/Y_F_D.png,Resources/Y_F_L.png,Resources/G_C_L.png,Resources/G_C_D.png,Resources/G_F_L.png,Resources/Y_C_L.png,Resources/G_F_D.png","low,high,high,low,low,high,low,high"
C,Y,D,Y_C_D.png,training,1,6,2,low,feet,color,F,C,G,Y,19,2_score.png,"Resources/Y_C_D.png,Resources/Y_F_D.png,Resources/Y_F_L.png,Resources/G_C_L.png,Resources/G_C_D.png,Resources/G_F_L.png,Resources/Y_C_L.png,Resources/G_F_D.png","low,high,high,low,low,high,low,high"
F,G,D,G_F_D.png,training,1,7,9,high,feet,color,F,C,G,Y,19,9_score.png,"Resources/Y_C_D.png,Resources/Y_F_D.png,Resources/Y_F_L.png,Resources/G_C_L.png,Resources/G_C_D.png,Resources/G_F_L.png,Resources/Y_C_L.png,Resources/G_F_D.png","low,high,high,low,low,high,low,high"
F,G,L,G_F_L.png,training,1,8,9,high,feet,color,F,C,G,Y,19,9_score.png,"Resources/Y_C_D.png,Resources/Y_F_D.png,Resources/Y_F_L.png,Resources/G_C_L.png,Resources/G_C_D.png,Resources/G_F_L.png,Resources/Y_C_L.png,Resources/G_F_D.png","low,high,high,low,low,high,low,high"
F,Y,D,Y_F_D.png,training,2,9,5,high,feet,color,F,C,G,Y,19,5_score.png,"Resources/Y_C_D.png,Resources/Y_F_D.png,Resources/Y_F_L.png,Resources/G_C_L.png,Resources/G_C_D.png,Resources/G_F_L.png,Resources/Y_C_L.png,Resources/G_F_D.png","low,high,high,low,low,high,low,high"
C,G,L,G_C_L.png,training,2,10,4,low,feet,color,F,C,G,Y,19,4_score.png,"Resources/Y_C_D.png,Resources/Y_F_D.png,Resources/Y_F_L.png,Resources/G_C_L.png,Resources/G_C_D.png,Resources/G_F_L.png,Resources/Y_C_L.png,Resources/G_F_D.png","low,high,high,low,low,high,low,high"
