feet,color,brightness,image_file,phase,rep,trial_num,fertility_score,category,relevant_dim,irrelevant_dim,feet_high,feet_low,color_high,color_low,participant_id,rep_image_file,images_list,testing_categories
C,G,D,G_C_D.png,training,1,1,10,high,feet,color,C,F,Y,G,33,10_score.png,"Resources/Y_F_L.png,Resources/G_C_D.png,Resources/G_F_L.png,Resources/G_F_D.png,Resources/G_C_L.png,Resources/Y_C_L.png,Resources/Y_C_D.png,Resources/Y_F_D.png","low,high,low,low,high,high,high,low"
F,G,D,G_F_D.png,training,1,2,3,low,feet,color,C,F,Y,G,33,3_score.png,"Resources/Y_F_L.png,Resources/G_C_D.png,Resources/G_F_L.png,Resources/G_F_D.png,Resources/G_C_L.png,Resources/Y_C_L.png,Resources/Y_C_D.png,Resources/Y_F_D.png","low,high,low,low,high,high,high,low"
C,Y,D,Y_C_D.png,training,1,3,9,high,feet,color,C,F,Y,G,33,9_score.png,"Resources/Y_F_L.png,Resources/G_C_D.png,Resources/G_F_L.png,Resources/G_F_D.png,Resources/G_C_L.png,Resources/Y_C_L.png,Resources/Y_C_D.png,Resources/Y_F_D.png","low,high,low,low,high,high,high,low"
F,Y,D,Y_F_D.png,training,1,4,8,low,feet,color,C,F,Y,G,33,8_score.png,"Resources/Y_F_L.png,Resources/G_C_D.png,Resources/G_F_L.png,Resources/G_F_D.png,Resources/G_C_L.png,Resources/Y_C_L.png,Resources/Y_C_D.png,Resources/Y_F_D.png","low,high,low,low,high,high,high,low"
C,Y,L,Y_C_L.png,training,1,5,10,high,feet,color,C,F,Y,G,33,10_score.png,"Resources/Y_F_L.png,Resources/G_C_D.png,Resources/G_F_L.png,Resources/G_F_D.png,Resources/G_C_L.png,Resources/Y_C_L.png,Resources/Y_C_D.png,Resources/Y_F_D.png","low,high,low,low,high,high,high,low"
F,Y,L,Y_F_L.png,training,1,6,5,low,feet,color,C,F,Y,G,33,5_score.png,"Resources/Y_F_L.png,Resources/G_C_D.png,Resources/G_F_L.png,Resources/G_F_D.png,Resources/G_C_L.png,Resources/Y_C_L.png,Resources/Y_C_D.png,Resources/Y_F_D.png","low,high,low,low,high,high,high,low"
F,G,L,G_F_L.png,training,1,7,6,low,feet,color,C,F,Y,G,33,6_score.png,"Resources/Y_F_L.png,Resources/G_C_D.png,Resources/G_F_L.png,Resources/G_F_D.png,Resources/G_C_L.png,Resources/Y_C_L.png,Resources/Y_C_D.png,Resources/Y_F_D.png","low,high,low,low,high,high,high,low"
C,G,L,G_C_L.png,training,1,8,6,high,feet,color,C,F,Y,G,33,6_score.png,"Resources/Y_F_L.png,Resources/G_C_D.png,Resources/G_F_L.png,Resources/G_F_D.png,Resources/G_C_L.png,Resources/Y_C_L.png,Resources/Y_C_D.png,Resources/Y_F_D.png","low,high,low,low,high,high,high,low"
C,Y,D,Y_C_D.png,training,2,9,10,high,feet,color,C,F,Y,G,33,10_score.png,"Resources/Y_F_L.png,Resources/G_C_D.png,Resources/G_F_L.png,Resources/G_F_D.png,Resources/G_C_L.png,Resources/Y_C_L.png,Resources/Y_C_D.png,Resources/Y_F_D.png","low,high,low,low,high,high,high,low"
F,Y,L,Y_F_L.png,training,2,10,2,low,feet,color,C,F,Y,G,33,2_score.png,"Resources/Y_F_L.png,Resources/G_C_D.png,Resources/G_F_L.png,Resources/G_F_D.png,Resources/G_C_L.png,Resources/Y_C_L.png,Resources/Y_C_D.png,Resources/Y_F_D.png","low,high,low,low,high,high,high,low"
