feet,color,brightness,image_file,phase,rep,trial_num,fertility_score,category,relevant_dim,irrelevant_dim,color_high,color_low,feet_high,feet_low,participant_id,rep_image_file,images_list,testing_categories
C,G,L,G_C_L.png,training,1,1,5,low,color,feet,Y,G,F,C,28,5_score.png,"Resources/G_F_L.png,Resources/G_C_L.png,Resources/Y_F_D.png,Resources/G_F_D.png,Resources/G_C_D.png,Resources/Y_F_L.png,Resources/Y_C_D.png,Resources/Y_C_L.png","low,low,high,low,low,high,high,high"
F,G,L,G_F_L.png,training,1,2,6,low,color,feet,Y,G,F,C,28,6_score.png,"Resources/G_F_L.png,Resources/G_C_L.png,Resources/Y_F_D.png,Resources/G_F_D.png,Resources/G_C_D.png,Resources/Y_F_L.png,Resources/Y_C_D.png,Resources/Y_C_L.png","low,low,high,low,low,high,high,high"
C,Y,D,Y_C_D.png,training,1,3,8,high,color,feet,Y,G,F,C,28,8_score.png,"Resources/G_F_L.png,Resources/G_C_L.png,Resources/Y_F_D.png,Resources/G_F_D.png,Resources/G_C_D.png,Resources/Y_F_L.png,Resources/Y_C_D.png,Resources/Y_C_L.png","low,low,high,low,low,high,high,high"
F,Y,D,Y_F_D.png,training,1,4,9,high,color,feet,Y,G,F,C,28,9_score.png,"Resources/G_F_L.png,Resources/G_C_L.png,Resources/Y_F_D.png,Resources/G_F_D.png,Resources/G_C_D.png,Resources/Y_F_L.png,Resources/Y_C_D.png,Resources/Y_C_L.png","low,low,high,low,low,high,high,high"
F,G,D,G_F_D.png,training,1,5,4,low,color,feet,Y,G,F,C,28,4_score.png,"Resources/G_F_L.png,Resources/G_C_L.png,Resources/Y_F_D.png,Resources/G_F_D.png,Resources/G_C_D.png,Resources/Y_F_L.png,Resources/Y_C_D.png,Resources/Y_C_L.png","low,low,high,low,low,high,high,high"
F,Y,L,Y_F_L.png,training,1,6,8,high,color,feet,Y,G,F,C,28,8_score.png,"Resources/G_F_L.png,Resources/G_C_L.png,Resources/Y_F_D.png,Resources/G_F_D.png,Resources/G_C_D.png,Resources/Y_F_L.png,Resources/Y_C_D.png,Resources/Y_C_L.png","low,low,high,low,low,high,high,high"
C,G,D,G_C_D.png,training,1,7,1,low,color,feet,Y,G,F,C,28,1_score.png,"Resources/G_F_L.png,Resources/G_C_L.png,Resources/Y_F_D.png,Resources/G_F_D.png,Resources/G_C_D.png,Resources/Y_F_L.png,Resources/Y_C_D.png,Resources/Y_C_L.png","low,low,high,low,low,high,high,high"
C,Y,L,Y_C_L.png,training,1,8,7,high,color,feet,Y,G,F,C,28,7_score.png,"Resources/G_F_L.png,Resources/G_C_L.png,Resources/Y_F_D.png,Resources/G_F_D.png,Resources/G_C_D.png,Resources/Y_F_L.png,Resources/Y_C_D.png,Resources/Y_C_L.png","low,low,high,low,low,high,high,high"
F,G,L,G_F_L.png,training,2,9,4,low,color,feet,Y,G,F,C,28,4_score.png,"Resources/G_F_L.png,Resources/G_C_L.png,Resources/Y_F_D.png,Resources/G_F_D.png,Resources/G_C_D.png,Resources/Y_F_L.png,Resources/Y_C_D.png,Resources/Y_C_L.png","low,low,high,low,low,high,high,high"
F,Y,D,Y_F_D.png,training,2,10,8,high,color,feet,Y,G,F,C,28,8_score.png,"Resources/G_F_L.png,Resources/G_C_L.png,Resources/Y_F_D.png,Resources/G_F_D.png,Resources/G_C_D.png,Resources/Y_F_L.png,Resources/Y_C_D.png,Resources/Y_C_L.png","low,low,high,low,low,high,high,high"
C,G,L,G_C_L.png,training,2,11,5,low,color,feet,Y,G,F,C,28,5_score.png,"Resources/G_F_L.png,Resources/G_C_L.png,Resources/Y_F_D.png,Resources/G_F_D.png,Resources/G_C_D.png,Resources/Y_F_L.png,Resources/Y_C_D.png,Resources/Y_C_L.png","low,low,high,low,low,high,high,high"
C,Y,L,Y_C_L.png,training,2,12,8,high,color,feet,Y,G,F,C,28,8_score.png,"Resources/G_F_L.png,Resources/G_C_L.png,Resources/Y_F_D.png,Resources/G_F_D.png,Resources/G_C_D.png,Resources/Y_F_L.png,Resources/Y_C_D.png,Resources/Y_C_L.png","low,low,high,low,low,high,high,high"
C,Y,D,Y_C_D.png,training,2,13,5,high,color,feet,Y,G,F,C,28,5_score.png,"Resources/G_F_L.png,Resources/G_C_L.png,Resources/Y_F_D.png,Resources/G_F_D.png,Resources/G_C_D.png,Resources/Y_F_L.png,Resources/Y_C_D.png,Resources/Y_C_L.png","low,low,high,low,low,high,high,high"
C,G,D,G_C_D.png,training,2,14,4,low,color,feet,Y,G,F,C,28,4_score.png,"Resources/G_F_L.png,Resources/G_C_L.png,Resources/Y_F_D.png,Resources/G_F_D.png,Resources/G_C_D.png,Resources/Y_F_L.png,Resources/Y_C_D.png,Resources/Y_C_L.png","low,low,high,low,low,high,high,high"
F,Y,L,Y_F_L.png,training,2,15,9,high,color,feet,Y,G,F,C,28,9_score.png,"Resources/G_F_L.png,Resources/G_C_L.png,Resources/Y_F_D.png,Resources/G_F_D.png,Resources/G_C_D.png,Resources/Y_F_L.png,Resources/Y_C_D.png,Resources/Y_C_L.png","low,low,high,low,low,high,high,high"
F,G,D,G_F_D.png,training,2,16,2,low,color,feet,Y,G,F,C,28,2_score.png,"Resources/G_F_L.png,Resources/G_C_L.png,Resources/Y_F_D.png,Resources/G_F_D.png,Resources/G_C_D.png,Resources/Y_F_L.png,Resources/Y_C_D.png,Resources/Y_C_L.png","low,low,high,low,low,high,high,high"
C,G,L,G_C_L.png,training,3,17,3,low,color,feet,Y,G,F,C,28,3_score.png,"Resources/G_F_L.png,Resources/G_C_L.png,Resources/Y_F_D.png,Resources/G_F_D.png,Resources/G_C_D.png,Resources/Y_F_L.png,Resources/Y_C_D.png,Resources/Y_C_L.png","low,low,high,low,low,high,high,high"
C,G,D,G_C_D.png,training,3,18,4,low,color,feet,Y,G,F,C,28,4_score.png,"Resources/G_F_L.png,Resources/G_C_L.png,Resources/Y_F_D.png,Resources/G_F_D.png,Resources/G_C_D.png,Resources/Y_F_L.png,Resources/Y_C_D.png,Resources/Y_C_L.png","low,low,high,low,low,high,high,high"
F,Y,L,Y_F_L.png,training,3,19,9,high,color,feet,Y,G,F,C,28,9_score.png,"Resources/G_F_L.png,Resources/G_C_L.png,Resources/Y_F_D.png,Resources/G_F_D.png,Resources/G_C_D.png,Resources/Y_F_L.png,Resources/Y_C_D.png,Resources/Y_C_L.png","low,low,high,low,low,high,high,high"
