feet,color,brightness,image_file,phase,rep,trial_num,fertility_score,category,relevant_dim,irrelevant_dim,color_high,color_low,feet_high,feet_low,participant_id,rep_image_file,images_list,testing_categories
C,Y,L,Y_C_L.png,training,1,1,8,high,color,feet,Y,G,F,C,24,8_score.png,"Resources/Y_F_L.png,Resources/Y_C_L.png,Resources/G_C_D.png,Resources/G_F_D.png,Resources/G_C_L.png,Resources/G_F_L.png,Resources/Y_C_D.png,Resources/Y_F_D.png","high,high,low,low,low,low,high,high"
F,G,D,G_F_D.png,training,1,2,7,low,color,feet,Y,G,F,C,24,7_score.png,"Resources/Y_F_L.png,Resources/Y_C_L.png,Resources/G_C_D.png,Resources/G_F_D.png,Resources/G_C_L.png,Resources/G_F_L.png,Resources/Y_C_D.png,Resources/Y_F_D.png","high,high,low,low,low,low,high,high"
C,G,D,G_C_D.png,training,1,3,1,low,color,feet,Y,G,F,C,24,1_score.png,"Resources/Y_F_L.png,Resources/Y_C_L.png,Resources/G_C_D.png,Resources/G_F_D.png,Resources/G_C_L.png,Resources/G_F_L.png,Resources/Y_C_D.png,Resources/Y_F_D.png","high,high,low,low,low,low,high,high"
F,G,L,G_F_L.png,training,1,4,2,low,color,feet,Y,G,F,C,24,2_score.png,"Resources/Y_F_L.png,Resources/Y_C_L.png,Resources/G_C_D.png,Resources/G_F_D.png,Resources/G_C_L.png,Resources/G_F_L.png,Resources/Y_C_D.png,Resources/Y_F_D.png","high,high,low,low,low,low,high,high"
C,Y,D,Y_C_D.png,training,1,5,9,high,color,feet,Y,G,F,C,24,9_score.png,"Resources/Y_F_L.png,Resources/Y_C_L.png,Resources/G_C_D.png,Resources/G_F_D.png,Resources/G_C_L.png,Resources/G_F_L.png,Resources/Y_C_D.png,Resources/Y_F_D.png","high,high,low,low,low,low,high,high"
F,Y,L,Y_F_L.png,training,1,6,9,high,color,feet,Y,G,F,C,24,9_score.png,"Resources/Y_F_L.png,Resources/Y_C_L.png,Resources/G_C_D.png,Resources/G_F_D.png,Resources/G_C_L.png,Resources/G_F_L.png,Resources/Y_C_D.png,Resources/Y_F_D.png","high,high,low,low,low,low,high,high"
C,G,L,G_C_L.png,training,1,7,4,low,color,feet,Y,G,F,C,24,4_score.png,"Resources/Y_F_L.png,Resources/Y_C_L.png,Resources/G_C_D.png,Resources/G_F_D.png,Resources/G_C_L.png,Resources/G_F_L.png,Resources/Y_C_D.png,Resources/Y_F_D.png","high,high,low,low,low,low,high,high"
F,Y,D,Y_F_D.png,training,1,8,10,high,color,feet,Y,G,F,C,24,10_score.png,"Resources/Y_F_L.png,Resources/Y_C_L.png,Resources/G_C_D.png,Resources/G_F_D.png,Resources/G_C_L.png,Resources/G_F_L.png,Resources/Y_C_D.png,Resources/Y_F_D.png","high,high,low,low,low,low,high,high"
F,G,D,G_F_D.png,training,2,9,4,low,color,feet,Y,G,F,C,24,4_score.png,"Resources/Y_F_L.png,Resources/Y_C_L.png,Resources/G_C_D.png,Resources/G_F_D.png,Resources/G_C_L.png,Resources/G_F_L.png,Resources/Y_C_D.png,Resources/Y_F_D.png","high,high,low,low,low,low,high,high"
F,Y,D,Y_F_D.png,training,2,10,8,high,color,feet,Y,G,F,C,24,8_score.png,"Resources/Y_F_L.png,Resources/Y_C_L.png,Resources/G_C_D.png,Resources/G_F_D.png,Resources/G_C_L.png,Resources/G_F_L.png,Resources/Y_C_D.png,Resources/Y_F_D.png","high,high,low,low,low,low,high,high"
