feet,color,brightness,image_file,phase,rep,trial_num,fertility_score,category,relevant_dim,irrelevant_dim,feet_high,feet_low,color_high,color_low,participant_id,rep_image_file,images_list,testing_categories
F,Y,L,Y_F_L.png,training,1,1,6,high,feet,color,F,C,Y,G,3,6_score.png,"Resources/G_F_L.png,Resources/Y_C_D.png,Resources/G_C_L.png,Resources/Y_C_L.png,Resources/Y_F_L.png,Resources/G_C_D.png,Resources/Y_F_D.png,Resources/G_F_D.png","high,low,low,low,high,low,high,high"
C,Y,L,Y_C_L.png,training,1,2,4,low,feet,color,F,C,Y,G,3,4_score.png,"Resources/G_F_L.png,Resources/Y_C_D.png,Resources/G_C_L.png,Resources/Y_C_L.png,Resources/Y_F_L.png,Resources/G_C_D.png,Resources/Y_F_D.png,Resources/G_F_D.png","high,low,low,low,high,low,high,high"
C,G,D,G_C_D.png,training,1,3,8,low,feet,color,F,C,Y,G,3,8_score.png,"Resources/G_F_L.png,Resources/Y_C_D.png,Resources/G_C_L.png,Resources/Y_C_L.png,Resources/Y_F_L.png,Resources/G_C_D.png,Resources/Y_F_D.png,Resources/G_F_D.png","high,low,low,low,high,low,high,high"
C,G,L,G_C_L.png,training,1,4,5,low,feet,color,F,C,Y,G,3,5_score.png,"Resources/G_F_L.png,Resources/Y_C_D.png,Resources/G_C_L.png,Resources/Y_C_L.png,Resources/Y_F_L.png,Resources/G_C_D.png,Resources/Y_F_D.png,Resources/G_F_D.png","high,low,low,low,high,low,high,high"
C,Y,D,Y_C_D.png,training,1,5,3,low,feet,color,F,C,Y,G,3,3_score.png,"Resources/G_F_L.png,Resources/Y_C_D.png,Resources/G_C_L.png,Resources/Y_C_L.png,Resources/Y_F_L.png,Resources/G_C_D.png,Resources/Y_F_D.png,Resources/G_F_D.png","high,low,low,low,high,low,high,high"
F,Y,D,Y_F_D.png,training,1,6,10,high,feet,color,F,C,Y,G,3,10_score.png,"Resources/G_F_L.png,Resources/Y_C_D.png,Resources/G_C_L.png,Resources/Y_C_L.png,Resources/Y_F_L.png,Resources/G_C_D.png,Resources/Y_F_D.png,Resources/G_F_D.png","high,low,low,low,high,low,high,high"
F,G,L,G_F_L.png,training,1,7,5,high,feet,color,F,C,Y,G,3,5_score.png,"Resources/G_F_L.png,Resources/Y_C_D.png,Resources/G_C_L.png,Resources/Y_C_L.png,Resources/Y_F_L.png,Resources/G_C_D.png,Resources/Y_F_D.png,Resources/G_F_D.png","high,low,low,low,high,low,high,high"
F,G,D,G_F_D.png,training,1,8,5,high,feet,color,F,C,Y,G,3,5_score.png,"Resources/G_F_L.png,Resources/Y_C_D.png,Resources/G_C_L.png,Resources/Y_C_L.png,Resources/Y_F_L.png,Resources/G_C_D.png,Resources/Y_F_D.png,Resources/G_F_D.png","high,low,low,low,high,low,high,high"
C,G,D,G_C_D.png,training,2,9,2,low,feet,color,F,C,Y,G,3,2_score.png,"Resources/G_F_L.png,Resources/Y_C_D.png,Resources/G_C_L.png,Resources/Y_C_L.png,Resources/Y_F_L.png,Resources/G_C_D.png,Resources/Y_F_D.png,Resources/G_F_D.png","high,low,low,low,high,low,high,high"
C,Y,L,Y_C_L.png,training,2,10,5,low,feet,color,F,C,Y,G,3,5_score.png,"Resources/G_F_L.png,Resources/Y_C_D.png,Resources/G_C_L.png,Resources/Y_C_L.png,Resources/Y_F_L.png,Resources/G_C_D.png,Resources/Y_F_D.png,Resources/G_F_D.png","high,low,low,low,high,low,high,high"
F,Y,D,Y_F_D.png,training,2,11,10,high,feet,color,F,C,Y,G,3,10_score.png,"Resources/G_F_L.png,Resources/Y_C_D.png,Resources/G_C_L.png,Resources/Y_C_L.png,Resources/Y_F_L.png,Resources/G_C_D.png,Resources/Y_F_D.png,Resources/G_F_D.png","high,low,low,low,high,low,high,high"
C,G,L,G_C_L.png,training,2,12,5,low,feet,color,F,C,Y,G,3,5_score.png,"Resources/G_F_L.png,Resources/Y_C_D.png,Resources/G_C_L.png,Resources/Y_C_L.png,Resources/Y_F_L.png,Resources/G_C_D.png,Resources/Y_F_D.png,Resources/G_F_D.png","high,low,low,low,high,low,high,high"
