feet,color,image_file,phase,rep,trial_num,fertility_score,category,relevant_dim,irrelevant_dim,feet_high,feet_low,color_high,color_low,participant_id,rep_image_file,images_list,testing_categories
F,Y,Y_F.png,training,1,1,2,low,feet,color,C,F,G,Y,13,2_score.png,"Resources/Y_C.png,Resources/Y_F.png,Resources/G_F.png,Resources/G_C.png","high,low,low,high"
C,G,G_C.png,training,1,2,8,high,feet,color,C,F,G,Y,13,8_score.png,"Resources/Y_C.png,Resources/Y_F.png,Resources/G_F.png,Resources/G_C.png","high,low,low,high"
F,G,G_F.png,training,1,3,3,low,feet,color,C,F,G,Y,13,3_score.png,"Resources/Y_C.png,Resources/Y_F.png,Resources/G_F.png,Resources/G_C.png","high,low,low,high"
C,Y,Y_C.png,training,1,4,2,high,feet,color,C,F,G,Y,13,2_score.png,"Resources/Y_C.png,Resources/Y_F.png,Resources/G_F.png,Resources/G_C.png","high,low,low,high"
F,G,G_F.png,training,2,5,3,low,feet,color,C,F,G,Y,13,3_score.png,"Resources/Y_C.png,Resources/Y_F.png,Resources/G_F.png,Resources/G_C.png","high,low,low,high"
F,Y,Y_F.png,training,2,6,1,low,feet,color,C,F,G,Y,13,1_score.png,"Resources/Y_C.png,Resources/Y_F.png,Resources/G_F.png,Resources/G_C.png","high,low,low,high"
C,G,G_C.png,training,2,7,8,high,feet,color,C,F,G,Y,13,8_score.png,"Resources/Y_C.png,Resources/Y_F.png,Resources/G_F.png,Resources/G_C.png","high,low,low,high"
C,Y,Y_C.png,training,2,8,8,high,feet,color,C,F,G,Y,13,8_score.png,"Resources/Y_C.png,Resources/Y_F.png,Resources/G_F.png,Resources/G_C.png","high,low,low,high"
C,G,G_C.png,training,3,9,7,high,feet,color,C,F,G,Y,13,7_score.png,"Resources/Y_C.png,Resources/Y_F.png,Resources/G_F.png,Resources/G_C.png","high,low,low,high"
F,G,G_F.png,training,3,10,5,low,feet,color,C,F,G,Y,13,5_score.png,"Resources/Y_C.png,Resources/Y_F.png,Resources/G_F.png,Resources/G_C.png","high,low,low,high"
C,Y,Y_C.png,training,3,11,10,high,feet,color,C,F,G,Y,13,10_score.png,"Resources/Y_C.png,Resources/Y_F.png,Resources/G_F.png,Resources/G_C.png","high,low,low,high"
F,Y,Y_F.png,training,3,12,1,low,feet,color,C,F,G,Y,13,1_score.png,"Resources/Y_C.png,Resources/Y_F.png,Resources/G_F.png,Resources/G_C.png","high,low,low,high"
F,Y,Y_F.png,training,4,13,4,low,feet,color,C,F,G,Y,13,4_score.png,"Resources/Y_C.png,Resources/Y_F.png,Resources/G_F.png,Resources/G_C.png","high,low,low,high"
C,Y,Y_C.png,training,4,14,6,high,feet,color,C,F,G,Y,13,6_score.png,"Resources/Y_C.png,Resources/Y_F.png,Resources/G_F.png,Resources/G_C.png","high,low,low,high"
C,G,G_C.png,training,4,15,6,high,feet,color,C,F,G,Y,13,6_score.png,"Resources/Y_C.png,Resources/Y_F.png,Resources/G_F.png,Resources/G_C.png","high,low,low,high"
F,G,G_F.png,training,4,16,4,low,feet,color,C,F,G,Y,13,4_score.png,"Resources/Y_C.png,Resources/Y_F.png,Resources/G_F.png,Resources/G_C.png","high,low,low,high"
