feet,color,image_file,phase,rep,trial_num,fertility_score,category,relevant_dim,irrelevant_dim,feet_high,feet_low,color_high,color_low,participant_id,rep_image_file,images_list,testing_categories
C,G,G_C.png,training,1,1,2,low,feet,color,F,C,G,Y,7,2_score.png,"Resources/Y_F.png,Resources/G_F.png,Resources/G_C.png,Resources/Y_C.png","high,high,low,low"
F,Y,Y_F.png,training,1,2,10,high,feet,color,F,C,G,Y,7,10_score.png,"Resources/Y_F.png,Resources/G_F.png,Resources/G_C.png,Resources/Y_C.png","high,high,low,low"
F,G,G_F.png,training,1,3,10,high,feet,color,F,C,G,Y,7,10_score.png,"Resources/Y_F.png,Resources/G_F.png,Resources/G_C.png,Resources/Y_C.png","high,high,low,low"
C,Y,Y_C.png,training,1,4,1,low,feet,color,F,C,G,Y,7,1_score.png,"Resources/Y_F.png,Resources/G_F.png,Resources/G_C.png,Resources/Y_C.png","high,high,low,low"
F,Y,Y_F.png,training,2,5,6,high,feet,color,F,C,G,Y,7,6_score.png,"Resources/Y_F.png,Resources/G_F.png,Resources/G_C.png,Resources/Y_C.png","high,high,low,low"
C,Y,Y_C.png,training,2,6,1,low,feet,color,F,C,G,Y,7,1_score.png,"Resources/Y_F.png,Resources/G_F.png,Resources/G_C.png,Resources/Y_C.png","high,high,low,low"
C,G,G_C.png,training,2,7,6,low,feet,color,F,C,G,Y,7,6_score.png,"Resources/Y_F.png,Resources/G_F.png,Resources/G_C.png,Resources/Y_C.png","high,high,low,low"
F,G,G_F.png,training,2,8,9,high,feet,color,F,C,G,Y,7,9_score.png,"Resources/Y_F.png,Resources/G_F.png,Resources/G_C.png,Resources/Y_C.png","high,high,low,low"
F,Y,Y_F.png,training,3,9,8,high,feet,color,F,C,G,Y,7,8_score.png,"Resources/Y_F.png,Resources/G_F.png,Resources/G_C.png,Resources/Y_C.png","high,high,low,low"
C,G,G_C.png,training,3,10,1,low,feet,color,F,C,G,Y,7,1_score.png,"Resources/Y_F.png,Resources/G_F.png,Resources/G_C.png,Resources/Y_C.png","high,high,low,low"
F,G,G_F.png,training,3,11,4,high,feet,color,F,C,G,Y,7,4_score.png,"Resources/Y_F.png,Resources/G_F.png,Resources/G_C.png,Resources/Y_C.png","high,high,low,low"
C,Y,Y_C.png,training,3,12,4,low,feet,color,F,C,G,Y,7,4_score.png,"Resources/Y_F.png,Resources/G_F.png,Resources/G_C.png,Resources/Y_C.png","high,high,low,low"
F,Y,Y_F.png,training,4,13,6,high,feet,color,F,C,G,Y,7,6_score.png,"Resources/Y_F.png,Resources/G_F.png,Resources/G_C.png,Resources/Y_C.png","high,high,low,low"
C,G,G_C.png,training,4,14,4,low,feet,color,F,C,G,Y,7,4_score.png,"Resources/Y_F.png,Resources/G_F.png,Resources/G_C.png,Resources/Y_C.png","high,high,low,low"
C,Y,Y_C.png,training,4,15,3,low,feet,color,F,C,G,Y,7,3_score.png,"Resources/Y_F.png,Resources/G_F.png,Resources/G_C.png,Resources/Y_C.png","high,high,low,low"
F,G,G_F.png,training,4,16,10,high,feet,color,F,C,G,Y,7,10_score.png,"Resources/Y_F.png,Resources/G_F.png,Resources/G_C.png,Resources/Y_C.png","high,high,low,low"
