feet,color,image_file,phase,rep,trial_num,fertility_score,category,relevant_dim,irrelevant_dim,feet_high,feet_low,color_high,color_low,participant_id,rep_image_file,images_list,testing_categories
F,Y,Y_F.png,training,1,1,4,low,feet,color,C,F,G,Y,33,4_score.png,"Resources/G_F.png,Resources/Y_F.png,Resources/Y_C.png,Resources/G_C.png","low,low,high,high"
C,G,G_C.png,training,1,2,10,high,feet,color,C,F,G,Y,33,10_score.png,"Resources/G_F.png,Resources/Y_F.png,Resources/Y_C.png,Resources/G_C.png","low,low,high,high"
F,G,G_F.png,training,1,3,4,low,feet,color,C,F,G,Y,33,4_score.png,"Resources/G_F.png,Resources/Y_F.png,Resources/Y_C.png,Resources/G_C.png","low,low,high,high"
C,Y,Y_C.png,training,1,4,8,high,feet,color,C,F,G,Y,33,8_score.png,"Resources/G_F.png,Resources/Y_F.png,Resources/Y_C.png,Resources/G_C.png","low,low,high,high"
C,G,G_C.png,training,2,5,8,high,feet,color,C,F,G,Y,33,8_score.png,"Resources/G_F.png,Resources/Y_F.png,Resources/Y_C.png,Resources/G_C.png","low,low,high,high"
C,Y,Y_C.png,training,2,6,8,high,feet,color,C,F,G,Y,33,8_score.png,"Resources/G_F.png,Resources/Y_F.png,Resources/Y_C.png,Resources/G_C.png","low,low,high,high"
F,G,G_F.png,training,2,7,1,low,feet,color,C,F,G,Y,33,1_score.png,"Resources/G_F.png,Resources/Y_F.png,Resources/Y_C.png,Resources/G_C.png","low,low,high,high"
F,Y,Y_F.png,training,2,8,4,low,feet,color,C,F,G,Y,33,4_score.png,"Resources/G_F.png,Resources/Y_F.png,Resources/Y_C.png,Resources/G_C.png","low,low,high,high"
F,Y,Y_F.png,training,3,9,4,low,feet,color,C,F,G,Y,33,4_score.png,"Resources/G_F.png,Resources/Y_F.png,Resources/Y_C.png,Resources/G_C.png","low,low,high,high"
C,Y,Y_C.png,training,3,10,4,high,feet,color,C,F,G,Y,33,4_score.png,"Resources/G_F.png,Resources/Y_F.png,Resources/Y_C.png,Resources/G_C.png","low,low,high,high"
F,G,G_F.png,training,3,11,7,low,feet,color,C,F,G,Y,33,7_score.png,"Resources/G_F.png,Resources/Y_F.png,Resources/Y_C.png,Resources/G_C.png","low,low,high,high"
C,G,G_C.png,training,3,12,10,high,feet,color,C,F,G,Y,33,10_score.png,"Resources/G_F.png,Resources/Y_F.png,Resources/Y_C.png,Resources/G_C.png","low,low,high,high"
F,G,G_F.png,training,4,13,5,low,feet,color,C,F,G,Y,33,5_score.png,"Resources/G_F.png,Resources/Y_F.png,Resources/Y_C.png,Resources/G_C.png","low,low,high,high"
C,G,G_C.png,training,4,14,7,high,feet,color,C,F,G,Y,33,7_score.png,"Resources/G_F.png,Resources/Y_F.png,Resources/Y_C.png,Resources/G_C.png","low,low,high,high"
C,Y,Y_C.png,training,4,15,10,high,feet,color,C,F,G,Y,33,10_score.png,"Resources/G_F.png,Resources/Y_F.png,Resources/Y_C.png,Resources/G_C.png","low,low,high,high"
F,Y,Y_F.png,training,4,16,5,low,feet,color,C,F,G,Y,33,5_score.png,"Resources/G_F.png,Resources/Y_F.png,Resources/Y_C.png,Resources/G_C.png","low,low,high,high"
