wing,color,tail,image_file,phase,rep,trial_num,food_amount,category,relevant_dim_1,relevant_dim_2,irrelevant_dim,wing_high,wing_low,tail_high,tail_low,wing_rel,color_rel,tail_rel,color_high,color_low,participant_id,food_image_file,images_list,testing_categories
N,Y,S,N_Y_S.png,training,1,1,4,low,wing,tail,color,T,N,C,S,L1,I2,L2,Y,B,5,4_food.png,"Resources/T_Y_S.png,Resources/N_Y_S.png,Resources/T_Y_C.png,Resources/N_B_S.png,Resources/T_B_S.png,Resources/T_B_C.png,Resources/N_Y_C.png,Resources/N_B_C.png","medium,low,high,low,medium,high,medium,medium"
N,B,C,N_B_C.png,training,1,2,6,medium,wing,tail,color,T,N,C,S,L1,I1,H2,Y,B,5,6_food.png,"Resources/T_Y_S.png,Resources/N_Y_S.png,Resources/T_Y_C.png,Resources/N_B_S.png,Resources/T_B_S.png,Resources/T_B_C.png,Resources/N_Y_C.png,Resources/N_B_C.png","medium,low,high,low,medium,high,medium,medium"
T,Y,C,T_Y_C.png,training,1,3,7,high,wing,tail,color,T,N,C,S,H1,I2,H2,Y,B,5,7_food.png,"Resources/T_Y_S.png,Resources/N_Y_S.png,Resources/T_Y_C.png,Resources/N_B_S.png,Resources/T_B_S.png,Resources/T_B_C.png,Resources/N_Y_C.png,Resources/N_B_C.png","medium,low,high,low,medium,high,medium,medium"
T,B,C,T_B_C.png,training,1,4,8,high,wing,tail,color,T,N,C,S,H1,I1,H2,Y,B,5,8_food.png,"Resources/T_Y_S.png,Resources/N_Y_S.png,Resources/T_Y_C.png,Resources/N_B_S.png,Resources/T_B_S.png,Resources/T_B_C.png,Resources/N_Y_C.png,Resources/N_B_C.png","medium,low,high,low,medium,high,medium,medium"
N,Y,C,N_Y_C.png,training,1,5,6,medium,wing,tail,color,T,N,C,S,L1,I2,H2,Y,B,5,6_food.png,"Resources/T_Y_S.png,Resources/N_Y_S.png,Resources/T_Y_C.png,Resources/N_B_S.png,Resources/T_B_S.png,Resources/T_B_C.png,Resources/N_Y_C.png,Resources/N_B_C.png","medium,low,high,low,medium,high,medium,medium"
T,B,S,T_B_S.png,training,1,6,5,medium,wing,tail,color,T,N,C,S,H1,I1,L2,Y,B,5,5_food.png,"Resources/T_Y_S.png,Resources/N_Y_S.png,Resources/T_Y_C.png,Resources/N_B_S.png,Resources/T_B_S.png,Resources/T_B_C.png,Resources/N_Y_C.png,Resources/N_B_C.png","medium,low,high,low,medium,high,medium,medium"
N,B,S,N_B_S.png,training,1,7,1,low,wing,tail,color,T,N,C,S,L1,I1,L2,Y,B,5,1_food.png,"Resources/T_Y_S.png,Resources/N_Y_S.png,Resources/T_Y_C.png,Resources/N_B_S.png,Resources/T_B_S.png,Resources/T_B_C.png,Resources/N_Y_C.png,Resources/N_B_C.png","medium,low,high,low,medium,high,medium,medium"
T,Y,S,T_Y_S.png,training,1,8,4,medium,wing,tail,color,T,N,C,S,H1,I2,L2,Y,B,5,4_food.png,"Resources/T_Y_S.png,Resources/N_Y_S.png,Resources/T_Y_C.png,Resources/N_B_S.png,Resources/T_B_S.png,Resources/T_B_C.png,Resources/N_Y_C.png,Resources/N_B_C.png","medium,low,high,low,medium,high,medium,medium"
N,Y,C,N_Y_C.png,training,2,9,4,medium,wing,tail,color,T,N,C,S,L1,I2,H2,Y,B,5,4_food.png,"Resources/T_Y_S.png,Resources/N_Y_S.png,Resources/T_Y_C.png,Resources/N_B_S.png,Resources/T_B_S.png,Resources/T_B_C.png,Resources/N_Y_C.png,Resources/N_B_C.png","medium,low,high,low,medium,high,medium,medium"
T,B,C,T_B_C.png,training,2,10,7,high,wing,tail,color,T,N,C,S,H1,I1,H2,Y,B,5,7_food.png,"Resources/T_Y_S.png,Resources/N_Y_S.png,Resources/T_Y_C.png,Resources/N_B_S.png,Resources/T_B_S.png,Resources/T_B_C.png,Resources/N_Y_C.png,Resources/N_B_C.png","medium,low,high,low,medium,high,medium,medium"
