wing,color,tail,image_file,phase,rep,trial_num,food_amount,category,relevant_dim_1,relevant_dim_2,irrelevant_dim,wing_high,wing_low,tail_high,tail_low,wing_rel,color_rel,tail_rel,color_high,color_low,participant_id,food_image_file,images_list,testing_categories
N,B,S,N_B_S.png,training,1,1,3,low,wing,tail,color,T,N,C,S,L1,I2,L2,Y,B,245,3_food.png,"Resources/T_B_S.png,Resources/T_B_C.png,Resources/N_B_C.png,Resources/N_Y_S.png,Resources/N_B_S.png,Resources/T_Y_C.png,Resources/N_Y_C.png,Resources/T_Y_S.png","medium,high,medium,low,low,high,medium,medium"
N,B,C,N_B_C.png,training,1,2,6,medium,wing,tail,color,T,N,C,S,L1,I2,H2,Y,B,245,6_food.png,"Resources/T_B_S.png,Resources/T_B_C.png,Resources/N_B_C.png,Resources/N_Y_S.png,Resources/N_B_S.png,Resources/T_Y_C.png,Resources/N_Y_C.png,Resources/T_Y_S.png","medium,high,medium,low,low,high,medium,medium"
T,Y,S,T_Y_S.png,training,1,3,7,medium,wing,tail,color,T,N,C,S,H1,I1,L2,Y,B,245,7_food.png,"Resources/T_B_S.png,Resources/T_B_C.png,Resources/N_B_C.png,Resources/N_Y_S.png,Resources/N_B_S.png,Resources/T_Y_C.png,Resources/N_Y_C.png,Resources/T_Y_S.png","medium,high,medium,low,low,high,medium,medium"
N,Y,S,N_Y_S.png,training,1,4,5,low,wing,tail,color,T,N,C,S,L1,I1,L2,Y,B,245,5_food.png,"Resources/T_B_S.png,Resources/T_B_C.png,Resources/N_B_C.png,Resources/N_Y_S.png,Resources/N_B_S.png,Resources/T_Y_C.png,Resources/N_Y_C.png,Resources/T_Y_S.png","medium,high,medium,low,low,high,medium,medium"
T,B,C,T_B_C.png,training,1,5,8,high,wing,tail,color,T,N,C,S,H1,I2,H2,Y,B,245,8_food.png,"Resources/T_B_S.png,Resources/T_B_C.png,Resources/N_B_C.png,Resources/N_Y_S.png,Resources/N_B_S.png,Resources/T_Y_C.png,Resources/N_Y_C.png,Resources/T_Y_S.png","medium,high,medium,low,low,high,medium,medium"
T,B,S,T_B_S.png,training,1,6,5,medium,wing,tail,color,T,N,C,S,H1,I2,L2,Y,B,245,5_food.png,"Resources/T_B_S.png,Resources/T_B_C.png,Resources/N_B_C.png,Resources/N_Y_S.png,Resources/N_B_S.png,Resources/T_Y_C.png,Resources/N_Y_C.png,Resources/T_Y_S.png","medium,high,medium,low,low,high,medium,medium"
T,Y,C,T_Y_C.png,training,1,7,7,high,wing,tail,color,T,N,C,S,H1,I1,H2,Y,B,245,7_food.png,"Resources/T_B_S.png,Resources/T_B_C.png,Resources/N_B_C.png,Resources/N_Y_S.png,Resources/N_B_S.png,Resources/T_Y_C.png,Resources/N_Y_C.png,Resources/T_Y_S.png","medium,high,medium,low,low,high,medium,medium"
N,Y,C,N_Y_C.png,training,1,8,5,medium,wing,tail,color,T,N,C,S,L1,I1,H2,Y,B,245,5_food.png,"Resources/T_B_S.png,Resources/T_B_C.png,Resources/N_B_C.png,Resources/N_Y_S.png,Resources/N_B_S.png,Resources/T_Y_C.png,Resources/N_Y_C.png,Resources/T_Y_S.png","medium,high,medium,low,low,high,medium,medium"
T,Y,C,T_Y_C.png,training,2,9,9,high,wing,tail,color,T,N,C,S,H1,I1,H2,Y,B,245,9_food.png,"Resources/T_B_S.png,Resources/T_B_C.png,Resources/N_B_C.png,Resources/N_Y_S.png,Resources/N_B_S.png,Resources/T_Y_C.png,Resources/N_Y_C.png,Resources/T_Y_S.png","medium,high,medium,low,low,high,medium,medium"
N,Y,S,N_Y_S.png,training,2,10,4,low,wing,tail,color,T,N,C,S,L1,I1,L2,Y,B,245,4_food.png,"Resources/T_B_S.png,Resources/T_B_C.png,Resources/N_B_C.png,Resources/N_Y_S.png,Resources/N_B_S.png,Resources/T_Y_C.png,Resources/N_Y_C.png,Resources/T_Y_S.png","medium,high,medium,low,low,high,medium,medium"
T,B,S,T_B_S.png,training,2,11,5,medium,wing,tail,color,T,N,C,S,H1,I2,L2,Y,B,245,5_food.png,"Resources/T_B_S.png,Resources/T_B_C.png,Resources/N_B_C.png,Resources/N_Y_S.png,Resources/N_B_S.png,Resources/T_Y_C.png,Resources/N_Y_C.png,Resources/T_Y_S.png","medium,high,medium,low,low,high,medium,medium"
T,B,C,T_B_C.png,training,2,12,6,high,wing,tail,color,T,N,C,S,H1,I2,H2,Y,B,245,6_food.png,"Resources/T_B_S.png,Resources/T_B_C.png,Resources/N_B_C.png,Resources/N_Y_S.png,Resources/N_B_S.png,Resources/T_Y_C.png,Resources/N_Y_C.png,Resources/T_Y_S.png","medium,high,medium,low,low,high,medium,medium"
N,Y,C,N_Y_C.png,training,2,13,5,medium,wing,tail,color,T,N,C,S,L1,I1,H2,Y,B,245,5_food.png,"Resources/T_B_S.png,Resources/T_B_C.png,Resources/N_B_C.png,Resources/N_Y_S.png,Resources/N_B_S.png,Resources/T_Y_C.png,Resources/N_Y_C.png,Resources/T_Y_S.png","medium,high,medium,low,low,high,medium,medium"
N,B,S,N_B_S.png,training,2,14,3,low,wing,tail,color,T,N,C,S,L1,I2,L2,Y,B,245,3_food.png,"Resources/T_B_S.png,Resources/T_B_C.png,Resources/N_B_C.png,Resources/N_Y_S.png,Resources/N_B_S.png,Resources/T_Y_C.png,Resources/N_Y_C.png,Resources/T_Y_S.png","medium,high,medium,low,low,high,medium,medium"
N,B,C,N_B_C.png,training,2,15,6,medium,wing,tail,color,T,N,C,S,L1,I2,H2,Y,B,245,6_food.png,"Resources/T_B_S.png,Resources/T_B_C.png,Resources/N_B_C.png,Resources/N_Y_S.png,Resources/N_B_S.png,Resources/T_Y_C.png,Resources/N_Y_C.png,Resources/T_Y_S.png","medium,high,medium,low,low,high,medium,medium"
T,Y,S,T_Y_S.png,training,2,16,5,medium,wing,tail,color,T,N,C,S,H1,I1,L2,Y,B,245,5_food.png,"Resources/T_B_S.png,Resources/T_B_C.png,Resources/N_B_C.png,Resources/N_Y_S.png,Resources/N_B_S.png,Resources/T_Y_C.png,Resources/N_Y_C.png,Resources/T_Y_S.png","medium,high,medium,low,low,high,medium,medium"
T,Y,S,T_Y_S.png,training,3,17,7,medium,wing,tail,color,T,N,C,S,H1,I1,L2,Y,B,245,7_food.png,"Resources/T_B_S.png,Resources/T_B_C.png,Resources/N_B_C.png,Resources/N_Y_S.png,Resources/N_B_S.png,Resources/T_Y_C.png,Resources/N_Y_C.png,Resources/T_Y_S.png","medium,high,medium,low,low,high,medium,medium"
N,B,S,N_B_S.png,training,3,18,2,low,wing,tail,color,T,N,C,S,L1,I2,L2,Y,B,245,2_food.png,"Resources/T_B_S.png,Resources/T_B_C.png,Resources/N_B_C.png,Resources/N_Y_S.png,Resources/N_B_S.png,Resources/T_Y_C.png,Resources/N_Y_C.png,Resources/T_Y_S.png","medium,high,medium,low,low,high,medium,medium"
T,Y,C,T_Y_C.png,training,3,19,6,high,wing,tail,color,T,N,C,S,H1,I1,H2,Y,B,245,6_food.png,"Resources/T_B_S.png,Resources/T_B_C.png,Resources/N_B_C.png,Resources/N_Y_S.png,Resources/N_B_S.png,Resources/T_Y_C.png,Resources/N_Y_C.png,Resources/T_Y_S.png","medium,high,medium,low,low,high,medium,medium"
N,Y,S,N_Y_S.png,training,3,20,2,low,wing,tail,color,T,N,C,S,L1,I1,L2,Y,B,245,2_food.png,"Resources/T_B_S.png,Resources/T_B_C.png,Resources/N_B_C.png,Resources/N_Y_S.png,Resources/N_B_S.png,Resources/T_Y_C.png,Resources/N_Y_C.png,Resources/T_Y_S.png","medium,high,medium,low,low,high,medium,medium"
T,B,S,T_B_S.png,training,3,21,5,medium,wing,tail,color,T,N,C,S,H1,I2,L2,Y,B,245,5_food.png,"Resources/T_B_S.png,Resources/T_B_C.png,Resources/N_B_C.png,Resources/N_Y_S.png,Resources/N_B_S.png,Resources/T_Y_C.png,Resources/N_Y_C.png,Resources/T_Y_S.png","medium,high,medium,low,low,high,medium,medium"
N,B,C,N_B_C.png,training,3,22,6,medium,wing,tail,color,T,N,C,S,L1,I2,H2,Y,B,245,6_food.png,"Resources/T_B_S.png,Resources/T_B_C.png,Resources/N_B_C.png,Resources/N_Y_S.png,Resources/N_B_S.png,Resources/T_Y_C.png,Resources/N_Y_C.png,Resources/T_Y_S.png","medium,high,medium,low,low,high,medium,medium"
