wing,color,tail,image_file,phase,rep,trial_num,food_amount,category,relevant_dim_1,relevant_dim_2,irrelevant_dim,color_high,color_low,tail_high,tail_low,wing_rel,color_rel,tail_rel,wing_high,wing_low,participant_id,food_image_file,images_list,testing_categories
N,B,C,N_B_C.png,training,1,1,5,medium,color,tail,wing,B,Y,S,C,I1,H1,L2,N,T,174,5_food.png,"Resources/N_B_C.png,Resources/N_B_S.png,Resources/N_Y_C.png,Resources/T_B_C.png,Resources/N_Y_S.png,Resources/T_Y_S.png,Resources/T_B_S.png,Resources/T_Y_C.png","medium,high,low,medium,medium,medium,high,low"
T,B,S,T_B_S.png,training,1,2,6,high,color,tail,wing,B,Y,S,C,I2,H1,H2,N,T,174,6_food.png,"Resources/N_B_C.png,Resources/N_B_S.png,Resources/N_Y_C.png,Resources/T_B_C.png,Resources/N_Y_S.png,Resources/T_Y_S.png,Resources/T_B_S.png,Resources/T_Y_C.png","medium,high,low,medium,medium,medium,high,low"
N,Y,C,N_Y_C.png,training,1,3,4,low,color,tail,wing,B,Y,S,C,I1,L1,L2,N,T,174,4_food.png,"Resources/N_B_C.png,Resources/N_B_S.png,Resources/N_Y_C.png,Resources/T_B_C.png,Resources/N_Y_S.png,Resources/T_Y_S.png,Resources/T_B_S.png,Resources/T_Y_C.png","medium,high,low,medium,medium,medium,high,low"
N,B,S,N_B_S.png,training,1,4,8,high,color,tail,wing,B,Y,S,C,I1,H1,H2,N,T,174,8_food.png,"Resources/N_B_C.png,Resources/N_B_S.png,Resources/N_Y_C.png,Resources/T_B_C.png,Resources/N_Y_S.png,Resources/T_Y_S.png,Resources/T_B_S.png,Resources/T_Y_C.png","medium,high,low,medium,medium,medium,high,low"
N,Y,S,N_Y_S.png,training,1,5,6,medium,color,tail,wing,B,Y,S,C,I1,L1,H2,N,T,174,6_food.png,"Resources/N_B_C.png,Resources/N_B_S.png,Resources/N_Y_C.png,Resources/T_B_C.png,Resources/N_Y_S.png,Resources/T_Y_S.png,Resources/T_B_S.png,Resources/T_Y_C.png","medium,high,low,medium,medium,medium,high,low"
T,Y,S,T_Y_S.png,training,1,6,5,medium,color,tail,wing,B,Y,S,C,I2,L1,H2,N,T,174,5_food.png,"Resources/N_B_C.png,Resources/N_B_S.png,Resources/N_Y_C.png,Resources/T_B_C.png,Resources/N_Y_S.png,Resources/T_Y_S.png,Resources/T_B_S.png,Resources/T_Y_C.png","medium,high,low,medium,medium,medium,high,low"
T,B,C,T_B_C.png,training,1,7,6,medium,color,tail,wing,B,Y,S,C,I2,H1,L2,N,T,174,6_food.png,"Resources/N_B_C.png,Resources/N_B_S.png,Resources/N_Y_C.png,Resources/T_B_C.png,Resources/N_Y_S.png,Resources/T_Y_S.png,Resources/T_B_S.png,Resources/T_Y_C.png","medium,high,low,medium,medium,medium,high,low"
T,Y,C,T_Y_C.png,training,1,8,3,low,color,tail,wing,B,Y,S,C,I2,L1,L2,N,T,174,3_food.png,"Resources/N_B_C.png,Resources/N_B_S.png,Resources/N_Y_C.png,Resources/T_B_C.png,Resources/N_Y_S.png,Resources/T_Y_S.png,Resources/T_B_S.png,Resources/T_Y_C.png","medium,high,low,medium,medium,medium,high,low"
T,Y,C,T_Y_C.png,training,2,9,3,low,color,tail,wing,B,Y,S,C,I2,L1,L2,N,T,174,3_food.png,"Resources/N_B_C.png,Resources/N_B_S.png,Resources/N_Y_C.png,Resources/T_B_C.png,Resources/N_Y_S.png,Resources/T_Y_S.png,Resources/T_B_S.png,Resources/T_Y_C.png","medium,high,low,medium,medium,medium,high,low"
N,B,C,N_B_C.png,training,2,10,5,medium,color,tail,wing,B,Y,S,C,I1,H1,L2,N,T,174,5_food.png,"Resources/N_B_C.png,Resources/N_B_S.png,Resources/N_Y_C.png,Resources/T_B_C.png,Resources/N_Y_S.png,Resources/T_Y_S.png,Resources/T_B_S.png,Resources/T_Y_C.png","medium,high,low,medium,medium,medium,high,low"
N,Y,C,N_Y_C.png,training,2,11,4,low,color,tail,wing,B,Y,S,C,I1,L1,L2,N,T,174,4_food.png,"Resources/N_B_C.png,Resources/N_B_S.png,Resources/N_Y_C.png,Resources/T_B_C.png,Resources/N_Y_S.png,Resources/T_Y_S.png,Resources/T_B_S.png,Resources/T_Y_C.png","medium,high,low,medium,medium,medium,high,low"
T,B,S,T_B_S.png,training,2,12,8,high,color,tail,wing,B,Y,S,C,I2,H1,H2,N,T,174,8_food.png,"Resources/N_B_C.png,Resources/N_B_S.png,Resources/N_Y_C.png,Resources/T_B_C.png,Resources/N_Y_S.png,Resources/T_Y_S.png,Resources/T_B_S.png,Resources/T_Y_C.png","medium,high,low,medium,medium,medium,high,low"
N,B,S,N_B_S.png,training,2,13,8,high,color,tail,wing,B,Y,S,C,I1,H1,H2,N,T,174,8_food.png,"Resources/N_B_C.png,Resources/N_B_S.png,Resources/N_Y_C.png,Resources/T_B_C.png,Resources/N_Y_S.png,Resources/T_Y_S.png,Resources/T_B_S.png,Resources/T_Y_C.png","medium,high,low,medium,medium,medium,high,low"
T,B,C,T_B_C.png,training,2,14,4,medium,color,tail,wing,B,Y,S,C,I2,H1,L2,N,T,174,4_food.png,"Resources/N_B_C.png,Resources/N_B_S.png,Resources/N_Y_C.png,Resources/T_B_C.png,Resources/N_Y_S.png,Resources/T_Y_S.png,Resources/T_B_S.png,Resources/T_Y_C.png","medium,high,low,medium,medium,medium,high,low"
N,Y,S,N_Y_S.png,training,2,15,6,medium,color,tail,wing,B,Y,S,C,I1,L1,H2,N,T,174,6_food.png,"Resources/N_B_C.png,Resources/N_B_S.png,Resources/N_Y_C.png,Resources/T_B_C.png,Resources/N_Y_S.png,Resources/T_Y_S.png,Resources/T_B_S.png,Resources/T_Y_C.png","medium,high,low,medium,medium,medium,high,low"
T,Y,S,T_Y_S.png,training,2,16,5,medium,color,tail,wing,B,Y,S,C,I2,L1,H2,N,T,174,5_food.png,"Resources/N_B_C.png,Resources/N_B_S.png,Resources/N_Y_C.png,Resources/T_B_C.png,Resources/N_Y_S.png,Resources/T_Y_S.png,Resources/T_B_S.png,Resources/T_Y_C.png","medium,high,low,medium,medium,medium,high,low"
N,Y,C,N_Y_C.png,training,3,17,5,low,color,tail,wing,B,Y,S,C,I1,L1,L2,N,T,174,5_food.png,"Resources/N_B_C.png,Resources/N_B_S.png,Resources/N_Y_C.png,Resources/T_B_C.png,Resources/N_Y_S.png,Resources/T_Y_S.png,Resources/T_B_S.png,Resources/T_Y_C.png","medium,high,low,medium,medium,medium,high,low"
N,B,S,N_B_S.png,training,3,18,7,high,color,tail,wing,B,Y,S,C,I1,H1,H2,N,T,174,7_food.png,"Resources/N_B_C.png,Resources/N_B_S.png,Resources/N_Y_C.png,Resources/T_B_C.png,Resources/N_Y_S.png,Resources/T_Y_S.png,Resources/T_B_S.png,Resources/T_Y_C.png","medium,high,low,medium,medium,medium,high,low"
T,B,S,T_B_S.png,training,3,19,3,high,color,tail,wing,B,Y,S,C,I2,H1,H2,N,T,174,3_food.png,"Resources/N_B_C.png,Resources/N_B_S.png,Resources/N_Y_C.png,Resources/T_B_C.png,Resources/N_Y_S.png,Resources/T_Y_S.png,Resources/T_B_S.png,Resources/T_Y_C.png","medium,high,low,medium,medium,medium,high,low"
T,B,C,T_B_C.png,training,3,20,4,medium,color,tail,wing,B,Y,S,C,I2,H1,L2,N,T,174,4_food.png,"Resources/N_B_C.png,Resources/N_B_S.png,Resources/N_Y_C.png,Resources/T_B_C.png,Resources/N_Y_S.png,Resources/T_Y_S.png,Resources/T_B_S.png,Resources/T_Y_C.png","medium,high,low,medium,medium,medium,high,low"
