feet,color,image_file,phase,rep,trial_num,fertility_score,category,relevant_dim,irrelevant_dim,feet_high,feet_low,color_high,color_low,participant_id,rep_image_file,images_list,testing_categories
F,G,G_F.png,training,1,1,5,high,feet,color,F,C,Y,G,95,5_score.png,"Resources/Y_C.png,Resources/G_F.png,Resources/G_C.png,Resources/Y_F.png","low,high,low,high"
F,Y,Y_F.png,training,1,2,3,high,feet,color,F,C,Y,G,95,3_score.png,"Resources/Y_C.png,Resources/G_F.png,Resources/G_C.png,Resources/Y_F.png","low,high,low,high"
C,Y,Y_C.png,training,1,3,6,low,feet,color,F,C,Y,G,95,6_score.png,"Resources/Y_C.png,Resources/G_F.png,Resources/G_C.png,Resources/Y_F.png","low,high,low,high"
C,G,G_C.png,training,1,4,1,low,feet,color,F,C,Y,G,95,1_score.png,"Resources/Y_C.png,Resources/G_F.png,Resources/G_C.png,Resources/Y_F.png","low,high,low,high"
F,Y,Y_F.png,training,2,5,8,high,feet,color,F,C,Y,G,95,8_score.png,"Resources/Y_C.png,Resources/G_F.png,Resources/G_C.png,Resources/Y_F.png","low,high,low,high"
C,Y,Y_C.png,training,2,6,5,low,feet,color,F,C,Y,G,95,5_score.png,"Resources/Y_C.png,Resources/G_F.png,Resources/G_C.png,Resources/Y_F.png","low,high,low,high"
F,G,G_F.png,training,2,7,6,high,feet,color,F,C,Y,G,95,6_score.png,"Resources/Y_C.png,Resources/G_F.png,Resources/G_C.png,Resources/Y_F.png","low,high,low,high"
C,G,G_C.png,training,2,8,4,low,feet,color,F,C,Y,G,95,4_score.png,"Resources/Y_C.png,Resources/G_F.png,Resources/G_C.png,Resources/Y_F.png","low,high,low,high"
C,Y,Y_C.png,training,3,9,3,low,feet,color,F,C,Y,G,95,3_score.png,"Resources/Y_C.png,Resources/G_F.png,Resources/G_C.png,Resources/Y_F.png","low,high,low,high"
F,G,G_F.png,training,3,10,8,high,feet,color,F,C,Y,G,95,8_score.png,"Resources/Y_C.png,Resources/G_F.png,Resources/G_C.png,Resources/Y_F.png","low,high,low,high"
F,Y,Y_F.png,training,3,11,7,high,feet,color,F,C,Y,G,95,7_score.png,"Resources/Y_C.png,Resources/G_F.png,Resources/G_C.png,Resources/Y_F.png","low,high,low,high"
C,G,G_C.png,training,3,12,2,low,feet,color,F,C,Y,G,95,2_score.png,"Resources/Y_C.png,Resources/G_F.png,Resources/G_C.png,Resources/Y_F.png","low,high,low,high"
F,Y,Y_F.png,training,4,13,10,high,feet,color,F,C,Y,G,95,10_score.png,"Resources/Y_C.png,Resources/G_F.png,Resources/G_C.png,Resources/Y_F.png","low,high,low,high"
C,Y,Y_C.png,training,4,14,3,low,feet,color,F,C,Y,G,95,3_score.png,"Resources/Y_C.png,Resources/G_F.png,Resources/G_C.png,Resources/Y_F.png","low,high,low,high"
C,G,G_C.png,training,4,15,5,low,feet,color,F,C,Y,G,95,5_score.png,"Resources/Y_C.png,Resources/G_F.png,Resources/G_C.png,Resources/Y_F.png","low,high,low,high"
F,G,G_F.png,training,4,16,7,high,feet,color,F,C,Y,G,95,7_score.png,"Resources/Y_C.png,Resources/G_F.png,Resources/G_C.png,Resources/Y_F.png","low,high,low,high"
