feet,color,image_file,phase,rep,trial_num,fertility_score,category,relevant_dim,irrelevant_dim,feet_high,feet_low,color_high,color_low,participant_id,rep_image_file,images_list,testing_categories
C,Y,Y_C.png,training,1,1,6,low,feet,color,F,C,G,Y,63,6_score.png,"Resources/G_C.png,Resources/Y_F.png,Resources/G_F.png,Resources/Y_C.png","low,high,high,low"
F,G,G_F.png,training,1,2,8,high,feet,color,F,C,G,Y,63,8_score.png,"Resources/G_C.png,Resources/Y_F.png,Resources/G_F.png,Resources/Y_C.png","low,high,high,low"
C,G,G_C.png,training,1,3,7,low,feet,color,F,C,G,Y,63,7_score.png,"Resources/G_C.png,Resources/Y_F.png,Resources/G_F.png,Resources/Y_C.png","low,high,high,low"
F,Y,Y_F.png,training,1,4,6,high,feet,color,F,C,G,Y,63,6_score.png,"Resources/G_C.png,Resources/Y_F.png,Resources/G_F.png,Resources/Y_C.png","low,high,high,low"
F,G,G_F.png,training,2,5,7,high,feet,color,F,C,G,Y,63,7_score.png,"Resources/G_C.png,Resources/Y_F.png,Resources/G_F.png,Resources/Y_C.png","low,high,high,low"
C,Y,Y_C.png,training,2,6,4,low,feet,color,F,C,G,Y,63,4_score.png,"Resources/G_C.png,Resources/Y_F.png,Resources/G_F.png,Resources/Y_C.png","low,high,high,low"
C,G,G_C.png,training,2,7,3,low,feet,color,F,C,G,Y,63,3_score.png,"Resources/G_C.png,Resources/Y_F.png,Resources/G_F.png,Resources/Y_C.png","low,high,high,low"
F,Y,Y_F.png,training,2,8,7,high,feet,color,F,C,G,Y,63,7_score.png,"Resources/G_C.png,Resources/Y_F.png,Resources/G_F.png,Resources/Y_C.png","low,high,high,low"
F,Y,Y_F.png,training,3,9,8,high,feet,color,F,C,G,Y,63,8_score.png,"Resources/G_C.png,Resources/Y_F.png,Resources/G_F.png,Resources/Y_C.png","low,high,high,low"
C,Y,Y_C.png,training,3,10,6,low,feet,color,F,C,G,Y,63,6_score.png,"Resources/G_C.png,Resources/Y_F.png,Resources/G_F.png,Resources/Y_C.png","low,high,high,low"
C,G,G_C.png,training,3,11,5,low,feet,color,F,C,G,Y,63,5_score.png,"Resources/G_C.png,Resources/Y_F.png,Resources/G_F.png,Resources/Y_C.png","low,high,high,low"
F,G,G_F.png,training,3,12,7,high,feet,color,F,C,G,Y,63,7_score.png,"Resources/G_C.png,Resources/Y_F.png,Resources/G_F.png,Resources/Y_C.png","low,high,high,low"
F,Y,Y_F.png,training,4,13,4,high,feet,color,F,C,G,Y,63,4_score.png,"Resources/G_C.png,Resources/Y_F.png,Resources/G_F.png,Resources/Y_C.png","low,high,high,low"
C,G,G_C.png,training,4,14,2,low,feet,color,F,C,G,Y,63,2_score.png,"Resources/G_C.png,Resources/Y_F.png,Resources/G_F.png,Resources/Y_C.png","low,high,high,low"
C,Y,Y_C.png,training,4,15,1,low,feet,color,F,C,G,Y,63,1_score.png,"Resources/G_C.png,Resources/Y_F.png,Resources/G_F.png,Resources/Y_C.png","low,high,high,low"
F,G,G_F.png,training,4,16,7,high,feet,color,F,C,G,Y,63,7_score.png,"Resources/G_C.png,Resources/Y_F.png,Resources/G_F.png,Resources/Y_C.png","low,high,high,low"
