feet,color,image_file,phase,rep,trial_num,fertility_score,category,relevant_dim,irrelevant_dim,feet_high,feet_low,color_high,color_low,participant_id,rep_image_file,images_list,testing_categories
C,Y,Y_C.png,training,1,1,3,low,feet,color,F,C,G,Y,39,3_score.png,"Resources/G_F.png,Resources/Y_C.png,Resources/G_C.png,Resources/Y_F.png","high,low,low,high"
F,G,G_F.png,training,1,2,10,high,feet,color,F,C,G,Y,39,10_score.png,"Resources/G_F.png,Resources/Y_C.png,Resources/G_C.png,Resources/Y_F.png","high,low,low,high"
C,G,G_C.png,training,1,3,1,low,feet,color,F,C,G,Y,39,1_score.png,"Resources/G_F.png,Resources/Y_C.png,Resources/G_C.png,Resources/Y_F.png","high,low,low,high"
F,Y,Y_F.png,training,1,4,7,high,feet,color,F,C,G,Y,39,7_score.png,"Resources/G_F.png,Resources/Y_C.png,Resources/G_C.png,Resources/Y_F.png","high,low,low,high"
C,G,G_C.png,training,2,5,5,low,feet,color,F,C,G,Y,39,5_score.png,"Resources/G_F.png,Resources/Y_C.png,Resources/G_C.png,Resources/Y_F.png","high,low,low,high"
C,Y,Y_C.png,training,2,6,4,low,feet,color,F,C,G,Y,39,4_score.png,"Resources/G_F.png,Resources/Y_C.png,Resources/G_C.png,Resources/Y_F.png","high,low,low,high"
F,G,G_F.png,training,2,7,9,high,feet,color,F,C,G,Y,39,9_score.png,"Resources/G_F.png,Resources/Y_C.png,Resources/G_C.png,Resources/Y_F.png","high,low,low,high"
F,Y,Y_F.png,training,2,8,8,high,feet,color,F,C,G,Y,39,8_score.png,"Resources/G_F.png,Resources/Y_C.png,Resources/G_C.png,Resources/Y_F.png","high,low,low,high"
C,G,G_C.png,training,3,9,5,low,feet,color,F,C,G,Y,39,5_score.png,"Resources/G_F.png,Resources/Y_C.png,Resources/G_C.png,Resources/Y_F.png","high,low,low,high"
C,Y,Y_C.png,training,3,10,3,low,feet,color,F,C,G,Y,39,3_score.png,"Resources/G_F.png,Resources/Y_C.png,Resources/G_C.png,Resources/Y_F.png","high,low,low,high"
F,Y,Y_F.png,training,3,11,7,high,feet,color,F,C,G,Y,39,7_score.png,"Resources/G_F.png,Resources/Y_C.png,Resources/G_C.png,Resources/Y_F.png","high,low,low,high"
F,G,G_F.png,training,3,12,8,high,feet,color,F,C,G,Y,39,8_score.png,"Resources/G_F.png,Resources/Y_C.png,Resources/G_C.png,Resources/Y_F.png","high,low,low,high"
F,Y,Y_F.png,training,4,13,6,high,feet,color,F,C,G,Y,39,6_score.png,"Resources/G_F.png,Resources/Y_C.png,Resources/G_C.png,Resources/Y_F.png","high,low,low,high"
C,G,G_C.png,training,4,14,5,low,feet,color,F,C,G,Y,39,5_score.png,"Resources/G_F.png,Resources/Y_C.png,Resources/G_C.png,Resources/Y_F.png","high,low,low,high"
C,Y,Y_C.png,training,4,15,3,low,feet,color,F,C,G,Y,39,3_score.png,"Resources/G_F.png,Resources/Y_C.png,Resources/G_C.png,Resources/Y_F.png","high,low,low,high"
F,G,G_F.png,training,4,16,8,high,feet,color,F,C,G,Y,39,8_score.png,"Resources/G_F.png,Resources/Y_C.png,Resources/G_C.png,Resources/Y_F.png","high,low,low,high"
