feet,color,image_file,phase,rep,trial_num,fertility_score,category,relevant_dim,irrelevant_dim,feet_high,feet_low,color_high,color_low,participant_id,rep_image_file,images_list,testing_categories
F,G,G_F.png,training,1,1,6,low,feet,color,C,F,G,Y,193,6_score.png,"Resources/Y_C.png,Resources/G_C.png,Resources/Y_F.png,Resources/G_F.png","high,high,low,low"
F,Y,Y_F.png,training,1,2,4,low,feet,color,C,F,G,Y,193,4_score.png,"Resources/Y_C.png,Resources/G_C.png,Resources/Y_F.png,Resources/G_F.png","high,high,low,low"
C,G,G_C.png,training,1,3,7,high,feet,color,C,F,G,Y,193,7_score.png,"Resources/Y_C.png,Resources/G_C.png,Resources/Y_F.png,Resources/G_F.png","high,high,low,low"
C,Y,Y_C.png,training,1,4,4,high,feet,color,C,F,G,Y,193,4_score.png,"Resources/Y_C.png,Resources/G_C.png,Resources/Y_F.png,Resources/G_F.png","high,high,low,low"
C,Y,Y_C.png,training,2,5,8,high,feet,color,C,F,G,Y,193,8_score.png,"Resources/Y_C.png,Resources/G_C.png,Resources/Y_F.png,Resources/G_F.png","high,high,low,low"
C,G,G_C.png,training,2,6,9,high,feet,color,C,F,G,Y,193,9_score.png,"Resources/Y_C.png,Resources/G_C.png,Resources/Y_F.png,Resources/G_F.png","high,high,low,low"
F,G,G_F.png,training,2,7,6,low,feet,color,C,F,G,Y,193,6_score.png,"Resources/Y_C.png,Resources/G_C.png,Resources/Y_F.png,Resources/G_F.png","high,high,low,low"
F,Y,Y_F.png,training,2,8,4,low,feet,color,C,F,G,Y,193,4_score.png,"Resources/Y_C.png,Resources/G_C.png,Resources/Y_F.png,Resources/G_F.png","high,high,low,low"
C,Y,Y_C.png,training,3,9,7,high,feet,color,C,F,G,Y,193,7_score.png,"Resources/Y_C.png,Resources/G_C.png,Resources/Y_F.png,Resources/G_F.png","high,high,low,low"
F,G,G_F.png,training,3,10,5,low,feet,color,C,F,G,Y,193,5_score.png,"Resources/Y_C.png,Resources/G_C.png,Resources/Y_F.png,Resources/G_F.png","high,high,low,low"
C,G,G_C.png,training,3,11,6,high,feet,color,C,F,G,Y,193,6_score.png,"Resources/Y_C.png,Resources/G_C.png,Resources/Y_F.png,Resources/G_F.png","high,high,low,low"
F,Y,Y_F.png,training,3,12,4,low,feet,color,C,F,G,Y,193,4_score.png,"Resources/Y_C.png,Resources/G_C.png,Resources/Y_F.png,Resources/G_F.png","high,high,low,low"
F,G,G_F.png,training,4,13,6,low,feet,color,C,F,G,Y,193,6_score.png,"Resources/Y_C.png,Resources/G_C.png,Resources/Y_F.png,Resources/G_F.png","high,high,low,low"
F,Y,Y_F.png,training,4,14,4,low,feet,color,C,F,G,Y,193,4_score.png,"Resources/Y_C.png,Resources/G_C.png,Resources/Y_F.png,Resources/G_F.png","high,high,low,low"
C,Y,Y_C.png,training,4,15,8,high,feet,color,C,F,G,Y,193,8_score.png,"Resources/Y_C.png,Resources/G_C.png,Resources/Y_F.png,Resources/G_F.png","high,high,low,low"
C,G,G_C.png,training,4,16,9,high,feet,color,C,F,G,Y,193,9_score.png,"Resources/Y_C.png,Resources/G_C.png,Resources/Y_F.png,Resources/G_F.png","high,high,low,low"
