feet,color,image_file,phase,rep,trial_num,fertility_score,category,relevant_dim,irrelevant_dim,feet_high,feet_low,color_high,color_low,participant_id,rep_image_file,images_list,testing_categories
C,G,G_C.png,training,1,1,3,low,feet,color,F,C,G,Y,19,3_score.png,"Resources/G_C.png,Resources/Y_C.png,Resources/G_F.png,Resources/Y_F.png","low,low,high,high"
C,Y,Y_C.png,training,1,2,3,low,feet,color,F,C,G,Y,19,3_score.png,"Resources/G_C.png,Resources/Y_C.png,Resources/G_F.png,Resources/Y_F.png","low,low,high,high"
F,G,G_F.png,training,1,3,10,high,feet,color,F,C,G,Y,19,10_score.png,"Resources/G_C.png,Resources/Y_C.png,Resources/G_F.png,Resources/Y_F.png","low,low,high,high"
F,Y,Y_F.png,training,1,4,5,high,feet,color,F,C,G,Y,19,5_score.png,"Resources/G_C.png,Resources/Y_C.png,Resources/G_F.png,Resources/Y_F.png","low,low,high,high"
C,G,G_C.png,training,2,5,2,low,feet,color,F,C,G,Y,19,2_score.png,"Resources/G_C.png,Resources/Y_C.png,Resources/G_F.png,Resources/Y_F.png","low,low,high,high"
C,Y,Y_C.png,training,2,6,3,low,feet,color,F,C,G,Y,19,3_score.png,"Resources/G_C.png,Resources/Y_C.png,Resources/G_F.png,Resources/Y_F.png","low,low,high,high"
F,Y,Y_F.png,training,2,7,5,high,feet,color,F,C,G,Y,19,5_score.png,"Resources/G_C.png,Resources/Y_C.png,Resources/G_F.png,Resources/Y_F.png","low,low,high,high"
F,G,G_F.png,training,2,8,9,high,feet,color,F,C,G,Y,19,9_score.png,"Resources/G_C.png,Resources/Y_C.png,Resources/G_F.png,Resources/Y_F.png","low,low,high,high"
F,G,G_F.png,training,3,9,8,high,feet,color,F,C,G,Y,19,8_score.png,"Resources/G_C.png,Resources/Y_C.png,Resources/G_F.png,Resources/Y_F.png","low,low,high,high"
C,Y,Y_C.png,training,3,10,1,low,feet,color,F,C,G,Y,19,1_score.png,"Resources/G_C.png,Resources/Y_C.png,Resources/G_F.png,Resources/Y_F.png","low,low,high,high"
C,G,G_C.png,training,3,11,8,low,feet,color,F,C,G,Y,19,8_score.png,"Resources/G_C.png,Resources/Y_C.png,Resources/G_F.png,Resources/Y_F.png","low,low,high,high"
F,Y,Y_F.png,training,3,12,10,high,feet,color,F,C,G,Y,19,10_score.png,"Resources/G_C.png,Resources/Y_C.png,Resources/G_F.png,Resources/Y_F.png","low,low,high,high"
C,G,G_C.png,training,4,13,4,low,feet,color,F,C,G,Y,19,4_score.png,"Resources/G_C.png,Resources/Y_C.png,Resources/G_F.png,Resources/Y_F.png","low,low,high,high"
C,Y,Y_C.png,training,4,14,1,low,feet,color,F,C,G,Y,19,1_score.png,"Resources/G_C.png,Resources/Y_C.png,Resources/G_F.png,Resources/Y_F.png","low,low,high,high"
F,Y,Y_F.png,training,4,15,7,high,feet,color,F,C,G,Y,19,7_score.png,"Resources/G_C.png,Resources/Y_C.png,Resources/G_F.png,Resources/Y_F.png","low,low,high,high"
F,G,G_F.png,training,4,16,4,high,feet,color,F,C,G,Y,19,4_score.png,"Resources/G_C.png,Resources/Y_C.png,Resources/G_F.png,Resources/Y_F.png","low,low,high,high"
