feet,color,image_file,phase,rep,trial_num,fertility_score,category,relevant_dim,irrelevant_dim,feet_high,feet_low,color_high,color_low,participant_id,rep_image_file,images_list,testing_categories
F,Y,Y_F.png,training,1,1,10,high,feet,color,F,C,G,Y,175,10_score.png,"Resources/G_C.png,Resources/Y_C.png,Resources/G_F.png,Resources/Y_F.png","low,low,high,high"
F,G,G_F.png,training,1,2,7,high,feet,color,F,C,G,Y,175,7_score.png,"Resources/G_C.png,Resources/Y_C.png,Resources/G_F.png,Resources/Y_F.png","low,low,high,high"
C,G,G_C.png,training,1,3,6,low,feet,color,F,C,G,Y,175,6_score.png,"Resources/G_C.png,Resources/Y_C.png,Resources/G_F.png,Resources/Y_F.png","low,low,high,high"
C,Y,Y_C.png,training,1,4,4,low,feet,color,F,C,G,Y,175,4_score.png,"Resources/G_C.png,Resources/Y_C.png,Resources/G_F.png,Resources/Y_F.png","low,low,high,high"
C,Y,Y_C.png,training,2,5,4,low,feet,color,F,C,G,Y,175,4_score.png,"Resources/G_C.png,Resources/Y_C.png,Resources/G_F.png,Resources/Y_F.png","low,low,high,high"
F,G,G_F.png,training,2,6,6,high,feet,color,F,C,G,Y,175,6_score.png,"Resources/G_C.png,Resources/Y_C.png,Resources/G_F.png,Resources/Y_F.png","low,low,high,high"
C,G,G_C.png,training,2,7,5,low,feet,color,F,C,G,Y,175,5_score.png,"Resources/G_C.png,Resources/Y_C.png,Resources/G_F.png,Resources/Y_F.png","low,low,high,high"
F,Y,Y_F.png,training,2,8,8,high,feet,color,F,C,G,Y,175,8_score.png,"Resources/G_C.png,Resources/Y_C.png,Resources/G_F.png,Resources/Y_F.png","low,low,high,high"
C,Y,Y_C.png,training,3,9,5,low,feet,color,F,C,G,Y,175,5_score.png,"Resources/G_C.png,Resources/Y_C.png,Resources/G_F.png,Resources/Y_F.png","low,low,high,high"
F,Y,Y_F.png,training,3,10,9,high,feet,color,F,C,G,Y,175,9_score.png,"Resources/G_C.png,Resources/Y_C.png,Resources/G_F.png,Resources/Y_F.png","low,low,high,high"
C,G,G_C.png,training,3,11,7,low,feet,color,F,C,G,Y,175,7_score.png,"Resources/G_C.png,Resources/Y_C.png,Resources/G_F.png,Resources/Y_F.png","low,low,high,high"
F,G,G_F.png,training,3,12,10,high,feet,color,F,C,G,Y,175,10_score.png,"Resources/G_C.png,Resources/Y_C.png,Resources/G_F.png,Resources/Y_F.png","low,low,high,high"
F,G,G_F.png,training,4,13,9,high,feet,color,F,C,G,Y,175,9_score.png,"Resources/G_C.png,Resources/Y_C.png,Resources/G_F.png,Resources/Y_F.png","low,low,high,high"
F,Y,Y_F.png,training,4,14,7,high,feet,color,F,C,G,Y,175,7_score.png,"Resources/G_C.png,Resources/Y_C.png,Resources/G_F.png,Resources/Y_F.png","low,low,high,high"
C,Y,Y_C.png,training,4,15,1,low,feet,color,F,C,G,Y,175,1_score.png,"Resources/G_C.png,Resources/Y_C.png,Resources/G_F.png,Resources/Y_F.png","low,low,high,high"
C,G,G_C.png,training,4,16,7,low,feet,color,F,C,G,Y,175,7_score.png,"Resources/G_C.png,Resources/Y_C.png,Resources/G_F.png,Resources/Y_F.png","low,low,high,high"
