feet,color,image_file,phase,rep,trial_num,fertility_score,category,relevant_dim,irrelevant_dim,feet_high,feet_low,color_high,color_low,participant_id,rep_image_file,images_list,testing_categories
C,G,G_C.png,training,1,1,7,high,feet,color,C,F,Y,G,165,7_score.png,"Resources/G_C.png,Resources/Y_F.png,Resources/G_F.png,Resources/Y_C.png","high,low,low,high"
F,Y,Y_F.png,training,1,2,4,low,feet,color,C,F,Y,G,165,4_score.png,"Resources/G_C.png,Resources/Y_F.png,Resources/G_F.png,Resources/Y_C.png","high,low,low,high"
C,Y,Y_C.png,training,1,3,6,high,feet,color,C,F,Y,G,165,6_score.png,"Resources/G_C.png,Resources/Y_F.png,Resources/G_F.png,Resources/Y_C.png","high,low,low,high"
F,G,G_F.png,training,1,4,2,low,feet,color,C,F,Y,G,165,2_score.png,"Resources/G_C.png,Resources/Y_F.png,Resources/G_F.png,Resources/Y_C.png","high,low,low,high"
F,G,G_F.png,training,2,5,3,low,feet,color,C,F,Y,G,165,3_score.png,"Resources/G_C.png,Resources/Y_F.png,Resources/G_F.png,Resources/Y_C.png","high,low,low,high"
C,G,G_C.png,training,2,6,4,high,feet,color,C,F,Y,G,165,4_score.png,"Resources/G_C.png,Resources/Y_F.png,Resources/G_F.png,Resources/Y_C.png","high,low,low,high"
F,Y,Y_F.png,training,2,7,5,low,feet,color,C,F,Y,G,165,5_score.png,"Resources/G_C.png,Resources/Y_F.png,Resources/G_F.png,Resources/Y_C.png","high,low,low,high"
C,Y,Y_C.png,training,2,8,10,high,feet,color,C,F,Y,G,165,10_score.png,"Resources/G_C.png,Resources/Y_F.png,Resources/G_F.png,Resources/Y_C.png","high,low,low,high"
F,Y,Y_F.png,training,3,9,1,low,feet,color,C,F,Y,G,165,1_score.png,"Resources/G_C.png,Resources/Y_F.png,Resources/G_F.png,Resources/Y_C.png","high,low,low,high"
F,G,G_F.png,training,3,10,4,low,feet,color,C,F,Y,G,165,4_score.png,"Resources/G_C.png,Resources/Y_F.png,Resources/G_F.png,Resources/Y_C.png","high,low,low,high"
C,Y,Y_C.png,training,3,11,8,high,feet,color,C,F,Y,G,165,8_score.png,"Resources/G_C.png,Resources/Y_F.png,Resources/G_F.png,Resources/Y_C.png","high,low,low,high"
C,G,G_C.png,training,3,12,6,high,feet,color,C,F,Y,G,165,6_score.png,"Resources/G_C.png,Resources/Y_F.png,Resources/G_F.png,Resources/Y_C.png","high,low,low,high"
C,G,G_C.png,training,4,13,7,high,feet,color,C,F,Y,G,165,7_score.png,"Resources/G_C.png,Resources/Y_F.png,Resources/G_F.png,Resources/Y_C.png","high,low,low,high"
F,G,G_F.png,training,4,14,3,low,feet,color,C,F,Y,G,165,3_score.png,"Resources/G_C.png,Resources/Y_F.png,Resources/G_F.png,Resources/Y_C.png","high,low,low,high"
C,Y,Y_C.png,training,4,15,8,high,feet,color,C,F,Y,G,165,8_score.png,"Resources/G_C.png,Resources/Y_F.png,Resources/G_F.png,Resources/Y_C.png","high,low,low,high"
F,Y,Y_F.png,training,4,16,5,low,feet,color,C,F,Y,G,165,5_score.png,"Resources/G_C.png,Resources/Y_F.png,Resources/G_F.png,Resources/Y_C.png","high,low,low,high"
