feet,color,image_file,phase,rep,trial_num,fertility_score,category,relevant_dim,irrelevant_dim,feet_high,feet_low,color_high,color_low,participant_id,rep_image_file,images_list,testing_categories
C,Y,Y_C.png,training,1,1,3,low,feet,color,F,C,Y,G,147,3_score.png,"Resources/G_F.png,Resources/Y_C.png,Resources/G_C.png,Resources/Y_F.png","high,low,low,high"
F,G,G_F.png,training,1,2,8,high,feet,color,F,C,Y,G,147,8_score.png,"Resources/G_F.png,Resources/Y_C.png,Resources/G_C.png,Resources/Y_F.png","high,low,low,high"
C,G,G_C.png,training,1,3,5,low,feet,color,F,C,Y,G,147,5_score.png,"Resources/G_F.png,Resources/Y_C.png,Resources/G_C.png,Resources/Y_F.png","high,low,low,high"
F,Y,Y_F.png,training,1,4,6,high,feet,color,F,C,Y,G,147,6_score.png,"Resources/G_F.png,Resources/Y_C.png,Resources/G_C.png,Resources/Y_F.png","high,low,low,high"
C,Y,Y_C.png,training,2,5,4,low,feet,color,F,C,Y,G,147,4_score.png,"Resources/G_F.png,Resources/Y_C.png,Resources/G_C.png,Resources/Y_F.png","high,low,low,high"
F,Y,Y_F.png,training,2,6,2,high,feet,color,F,C,Y,G,147,2_score.png,"Resources/G_F.png,Resources/Y_C.png,Resources/G_C.png,Resources/Y_F.png","high,low,low,high"
F,G,G_F.png,training,2,7,10,high,feet,color,F,C,Y,G,147,10_score.png,"Resources/G_F.png,Resources/Y_C.png,Resources/G_C.png,Resources/Y_F.png","high,low,low,high"
C,G,G_C.png,training,2,8,1,low,feet,color,F,C,Y,G,147,1_score.png,"Resources/G_F.png,Resources/Y_C.png,Resources/G_C.png,Resources/Y_F.png","high,low,low,high"
F,G,G_F.png,training,3,9,9,high,feet,color,F,C,Y,G,147,9_score.png,"Resources/G_F.png,Resources/Y_C.png,Resources/G_C.png,Resources/Y_F.png","high,low,low,high"
C,G,G_C.png,training,3,10,2,low,feet,color,F,C,Y,G,147,2_score.png,"Resources/G_F.png,Resources/Y_C.png,Resources/G_C.png,Resources/Y_F.png","high,low,low,high"
C,Y,Y_C.png,training,3,11,4,low,feet,color,F,C,Y,G,147,4_score.png,"Resources/G_F.png,Resources/Y_C.png,Resources/G_C.png,Resources/Y_F.png","high,low,low,high"
F,Y,Y_F.png,training,3,12,10,high,feet,color,F,C,Y,G,147,10_score.png,"Resources/G_F.png,Resources/Y_C.png,Resources/G_C.png,Resources/Y_F.png","high,low,low,high"
C,G,G_C.png,training,4,13,2,low,feet,color,F,C,Y,G,147,2_score.png,"Resources/G_F.png,Resources/Y_C.png,Resources/G_C.png,Resources/Y_F.png","high,low,low,high"
F,G,G_F.png,training,4,14,2,high,feet,color,F,C,Y,G,147,2_score.png,"Resources/G_F.png,Resources/Y_C.png,Resources/G_C.png,Resources/Y_F.png","high,low,low,high"
C,Y,Y_C.png,training,4,15,6,low,feet,color,F,C,Y,G,147,6_score.png,"Resources/G_F.png,Resources/Y_C.png,Resources/G_C.png,Resources/Y_F.png","high,low,low,high"
F,Y,Y_F.png,training,4,16,9,high,feet,color,F,C,Y,G,147,9_score.png,"Resources/G_F.png,Resources/Y_C.png,Resources/G_C.png,Resources/Y_F.png","high,low,low,high"
