feet,color,image_file,phase,rep,trial_num,fertility_score,category,relevant_dim,irrelevant_dim,feet_high,feet_low,color_high,color_low,participant_id,rep_image_file,images_list,testing_categories
F,Y,Y_F.png,training,1,1,10,high,feet,color,F,C,Y,G,51,10_score.png,"Resources/Y_F.png,Resources/G_C.png,Resources/G_F.png,Resources/Y_C.png","high,low,high,low"
C,G,G_C.png,training,1,2,2,low,feet,color,F,C,Y,G,51,2_score.png,"Resources/Y_F.png,Resources/G_C.png,Resources/G_F.png,Resources/Y_C.png","high,low,high,low"
F,G,G_F.png,training,1,3,8,high,feet,color,F,C,Y,G,51,8_score.png,"Resources/Y_F.png,Resources/G_C.png,Resources/G_F.png,Resources/Y_C.png","high,low,high,low"
C,Y,Y_C.png,training,1,4,7,low,feet,color,F,C,Y,G,51,7_score.png,"Resources/Y_F.png,Resources/G_C.png,Resources/G_F.png,Resources/Y_C.png","high,low,high,low"
C,G,G_C.png,training,2,5,7,low,feet,color,F,C,Y,G,51,7_score.png,"Resources/Y_F.png,Resources/G_C.png,Resources/G_F.png,Resources/Y_C.png","high,low,high,low"
F,Y,Y_F.png,training,2,6,9,high,feet,color,F,C,Y,G,51,9_score.png,"Resources/Y_F.png,Resources/G_C.png,Resources/G_F.png,Resources/Y_C.png","high,low,high,low"
F,G,G_F.png,training,2,7,10,high,feet,color,F,C,Y,G,51,10_score.png,"Resources/Y_F.png,Resources/G_C.png,Resources/G_F.png,Resources/Y_C.png","high,low,high,low"
C,Y,Y_C.png,training,2,8,3,low,feet,color,F,C,Y,G,51,3_score.png,"Resources/Y_F.png,Resources/G_C.png,Resources/G_F.png,Resources/Y_C.png","high,low,high,low"
C,Y,Y_C.png,training,3,9,5,low,feet,color,F,C,Y,G,51,5_score.png,"Resources/Y_F.png,Resources/G_C.png,Resources/G_F.png,Resources/Y_C.png","high,low,high,low"
F,Y,Y_F.png,training,3,10,7,high,feet,color,F,C,Y,G,51,7_score.png,"Resources/Y_F.png,Resources/G_C.png,Resources/G_F.png,Resources/Y_C.png","high,low,high,low"
C,G,G_C.png,training,3,11,2,low,feet,color,F,C,Y,G,51,2_score.png,"Resources/Y_F.png,Resources/G_C.png,Resources/G_F.png,Resources/Y_C.png","high,low,high,low"
F,G,G_F.png,training,3,12,7,high,feet,color,F,C,Y,G,51,7_score.png,"Resources/Y_F.png,Resources/G_C.png,Resources/G_F.png,Resources/Y_C.png","high,low,high,low"
F,G,G_F.png,training,4,13,10,high,feet,color,F,C,Y,G,51,10_score.png,"Resources/Y_F.png,Resources/G_C.png,Resources/G_F.png,Resources/Y_C.png","high,low,high,low"
C,Y,Y_C.png,training,4,14,2,low,feet,color,F,C,Y,G,51,2_score.png,"Resources/Y_F.png,Resources/G_C.png,Resources/G_F.png,Resources/Y_C.png","high,low,high,low"
F,Y,Y_F.png,training,4,15,9,high,feet,color,F,C,Y,G,51,9_score.png,"Resources/Y_F.png,Resources/G_C.png,Resources/G_F.png,Resources/Y_C.png","high,low,high,low"
C,G,G_C.png,training,4,16,2,low,feet,color,F,C,Y,G,51,2_score.png,"Resources/Y_F.png,Resources/G_C.png,Resources/G_F.png,Resources/Y_C.png","high,low,high,low"
