tail,color,shape,image_file,phase,rep,trial_num,food_amount,category,relevant_dim_1,relevant_dim_2,irrelevant_dim,color_high,color_low,shape_high,shape_low,tail_rel,color_rel,shape_rel,tail_high,tail_low,participant_id,food_image_file,images_list,testing_categories
N,B,S,N_B_S.png,training,1,1,6,medium,color,shape,tail,Y,B,S,C,I1,L1,H2,N,T,46,6_food.png,"Resources/N_Y_S.png,Resources/T_Y_S.png,Resources/N_B_S.png,Resources/T_B_C.png,Resources/T_B_S.png,Resources/N_Y_C.png,Resources/N_B_C.png,Resources/T_Y_C.png","high,high,medium,low,medium,medium,low,medium"
N,Y,C,N_Y_C.png,training,1,2,5,medium,color,shape,tail,Y,B,S,C,I1,H1,L2,N,T,46,5_food.png,"Resources/N_Y_S.png,Resources/T_Y_S.png,Resources/N_B_S.png,Resources/T_B_C.png,Resources/T_B_S.png,Resources/N_Y_C.png,Resources/N_B_C.png,Resources/T_Y_C.png","high,high,medium,low,medium,medium,low,medium"
T,Y,S,T_Y_S.png,training,1,3,6,high,color,shape,tail,Y,B,S,C,I2,H1,H2,N,T,46,6_food.png,"Resources/N_Y_S.png,Resources/T_Y_S.png,Resources/N_B_S.png,Resources/T_B_C.png,Resources/T_B_S.png,Resources/N_Y_C.png,Resources/N_B_C.png,Resources/T_Y_C.png","high,high,medium,low,medium,medium,low,medium"
T,Y,C,T_Y_C.png,training,1,4,4,medium,color,shape,tail,Y,B,S,C,I2,H1,L2,N,T,46,4_food.png,"Resources/N_Y_S.png,Resources/T_Y_S.png,Resources/N_B_S.png,Resources/T_B_C.png,Resources/T_B_S.png,Resources/N_Y_C.png,Resources/N_B_C.png,Resources/T_Y_C.png","high,high,medium,low,medium,medium,low,medium"
T,B,S,T_B_S.png,training,1,5,8,medium,color,shape,tail,Y,B,S,C,I2,L1,H2,N,T,46,8_food.png,"Resources/N_Y_S.png,Resources/T_Y_S.png,Resources/N_B_S.png,Resources/T_B_C.png,Resources/T_B_S.png,Resources/N_Y_C.png,Resources/N_B_C.png,Resources/T_Y_C.png","high,high,medium,low,medium,medium,low,medium"
T,B,C,T_B_C.png,training,1,6,4,low,color,shape,tail,Y,B,S,C,I2,L1,L2,N,T,46,4_food.png,"Resources/N_Y_S.png,Resources/T_Y_S.png,Resources/N_B_S.png,Resources/T_B_C.png,Resources/T_B_S.png,Resources/N_Y_C.png,Resources/N_B_C.png,Resources/T_Y_C.png","high,high,medium,low,medium,medium,low,medium"
N,B,C,N_B_C.png,training,1,7,5,low,color,shape,tail,Y,B,S,C,I1,L1,L2,N,T,46,5_food.png,"Resources/N_Y_S.png,Resources/T_Y_S.png,Resources/N_B_S.png,Resources/T_B_C.png,Resources/T_B_S.png,Resources/N_Y_C.png,Resources/N_B_C.png,Resources/T_Y_C.png","high,high,medium,low,medium,medium,low,medium"
N,Y,S,N_Y_S.png,training,1,8,5,high,color,shape,tail,Y,B,S,C,I1,H1,H2,N,T,46,5_food.png,"Resources/N_Y_S.png,Resources/T_Y_S.png,Resources/N_B_S.png,Resources/T_B_C.png,Resources/T_B_S.png,Resources/N_Y_C.png,Resources/N_B_C.png,Resources/T_Y_C.png","high,high,medium,low,medium,medium,low,medium"
N,Y,C,N_Y_C.png,training,2,9,6,medium,color,shape,tail,Y,B,S,C,I1,H1,L2,N,T,46,6_food.png,"Resources/N_Y_S.png,Resources/T_Y_S.png,Resources/N_B_S.png,Resources/T_B_C.png,Resources/T_B_S.png,Resources/N_Y_C.png,Resources/N_B_C.png,Resources/T_Y_C.png","high,high,medium,low,medium,medium,low,medium"
N,Y,S,N_Y_S.png,training,2,10,7,high,color,shape,tail,Y,B,S,C,I1,H1,H2,N,T,46,7_food.png,"Resources/N_Y_S.png,Resources/T_Y_S.png,Resources/N_B_S.png,Resources/T_B_C.png,Resources/T_B_S.png,Resources/N_Y_C.png,Resources/N_B_C.png,Resources/T_Y_C.png","high,high,medium,low,medium,medium,low,medium"
T,Y,S,T_Y_S.png,training,2,11,8,high,color,shape,tail,Y,B,S,C,I2,H1,H2,N,T,46,8_food.png,"Resources/N_Y_S.png,Resources/T_Y_S.png,Resources/N_B_S.png,Resources/T_B_C.png,Resources/T_B_S.png,Resources/N_Y_C.png,Resources/N_B_C.png,Resources/T_Y_C.png","high,high,medium,low,medium,medium,low,medium"
T,B,S,T_B_S.png,training,2,12,3,medium,color,shape,tail,Y,B,S,C,I2,L1,H2,N,T,46,3_food.png,"Resources/N_Y_S.png,Resources/T_Y_S.png,Resources/N_B_S.png,Resources/T_B_C.png,Resources/T_B_S.png,Resources/N_Y_C.png,Resources/N_B_C.png,Resources/T_Y_C.png","high,high,medium,low,medium,medium,low,medium"
T,Y,C,T_Y_C.png,training,2,13,5,medium,color,shape,tail,Y,B,S,C,I2,H1,L2,N,T,46,5_food.png,"Resources/N_Y_S.png,Resources/T_Y_S.png,Resources/N_B_S.png,Resources/T_B_C.png,Resources/T_B_S.png,Resources/N_Y_C.png,Resources/N_B_C.png,Resources/T_Y_C.png","high,high,medium,low,medium,medium,low,medium"
N,B,C,N_B_C.png,training,2,14,2,low,color,shape,tail,Y,B,S,C,I1,L1,L2,N,T,46,2_food.png,"Resources/N_Y_S.png,Resources/T_Y_S.png,Resources/N_B_S.png,Resources/T_B_C.png,Resources/T_B_S.png,Resources/N_Y_C.png,Resources/N_B_C.png,Resources/T_Y_C.png","high,high,medium,low,medium,medium,low,medium"
N,B,S,N_B_S.png,training,2,15,6,medium,color,shape,tail,Y,B,S,C,I1,L1,H2,N,T,46,6_food.png,"Resources/N_Y_S.png,Resources/T_Y_S.png,Resources/N_B_S.png,Resources/T_B_C.png,Resources/T_B_S.png,Resources/N_Y_C.png,Resources/N_B_C.png,Resources/T_Y_C.png","high,high,medium,low,medium,medium,low,medium"
T,B,C,T_B_C.png,training,2,16,3,low,color,shape,tail,Y,B,S,C,I2,L1,L2,N,T,46,3_food.png,"Resources/N_Y_S.png,Resources/T_Y_S.png,Resources/N_B_S.png,Resources/T_B_C.png,Resources/T_B_S.png,Resources/N_Y_C.png,Resources/N_B_C.png,Resources/T_Y_C.png","high,high,medium,low,medium,medium,low,medium"
N,Y,C,N_Y_C.png,training,3,17,5,medium,color,shape,tail,Y,B,S,C,I1,H1,L2,N,T,46,5_food.png,"Resources/N_Y_S.png,Resources/T_Y_S.png,Resources/N_B_S.png,Resources/T_B_C.png,Resources/T_B_S.png,Resources/N_Y_C.png,Resources/N_B_C.png,Resources/T_Y_C.png","high,high,medium,low,medium,medium,low,medium"
T,Y,C,T_Y_C.png,training,3,18,5,medium,color,shape,tail,Y,B,S,C,I2,H1,L2,N,T,46,5_food.png,"Resources/N_Y_S.png,Resources/T_Y_S.png,Resources/N_B_S.png,Resources/T_B_C.png,Resources/T_B_S.png,Resources/N_Y_C.png,Resources/N_B_C.png,Resources/T_Y_C.png","high,high,medium,low,medium,medium,low,medium"
T,B,C,T_B_C.png,training,3,19,2,low,color,shape,tail,Y,B,S,C,I2,L1,L2,N,T,46,2_food.png,"Resources/N_Y_S.png,Resources/T_Y_S.png,Resources/N_B_S.png,Resources/T_B_C.png,Resources/T_B_S.png,Resources/N_Y_C.png,Resources/N_B_C.png,Resources/T_Y_C.png","high,high,medium,low,medium,medium,low,medium"
N,B,C,N_B_C.png,training,3,20,2,low,color,shape,tail,Y,B,S,C,I1,L1,L2,N,T,46,2_food.png,"Resources/N_Y_S.png,Resources/T_Y_S.png,Resources/N_B_S.png,Resources/T_B_C.png,Resources/T_B_S.png,Resources/N_Y_C.png,Resources/N_B_C.png,Resources/T_Y_C.png","high,high,medium,low,medium,medium,low,medium"
T,Y,S,T_Y_S.png,training,3,21,7,high,color,shape,tail,Y,B,S,C,I2,H1,H2,N,T,46,7_food.png,"Resources/N_Y_S.png,Resources/T_Y_S.png,Resources/N_B_S.png,Resources/T_B_C.png,Resources/T_B_S.png,Resources/N_Y_C.png,Resources/N_B_C.png,Resources/T_Y_C.png","high,high,medium,low,medium,medium,low,medium"
