tail,color,shape,image_file,phase,rep,trial_num,food_amount,category,relevant_dim_1,relevant_dim_2,irrelevant_dim,tail_high,tail_low,color_high,color_low,tail_rel,color_rel,shape_rel,shape_high,shape_low,participant_id,food_image_file,images_list,testing_categories
N,B,C,N_B_C.png,training,1,1,4,low,tail,color,shape,T,N,Y,B,L1,L2,I1,C,S,140,4_food.png,"Resources/T_Y_S.png,Resources/T_Y_C.png,Resources/T_B_S.png,Resources/N_Y_S.png,Resources/T_B_C.png,Resources/N_Y_C.png,Resources/N_B_S.png,Resources/N_B_C.png","high,high,medium,medium,medium,medium,low,low"
T,Y,C,T_Y_C.png,training,1,2,5,high,tail,color,shape,T,N,Y,B,H1,H2,I1,C,S,140,5_food.png,"Resources/T_Y_S.png,Resources/T_Y_C.png,Resources/T_B_S.png,Resources/N_Y_S.png,Resources/T_B_C.png,Resources/N_Y_C.png,Resources/N_B_S.png,Resources/N_B_C.png","high,high,medium,medium,medium,medium,low,low"
N,B,S,N_B_S.png,training,1,3,4,low,tail,color,shape,T,N,Y,B,L1,L2,I2,C,S,140,4_food.png,"Resources/T_Y_S.png,Resources/T_Y_C.png,Resources/T_B_S.png,Resources/N_Y_S.png,Resources/T_B_C.png,Resources/N_Y_C.png,Resources/N_B_S.png,Resources/N_B_C.png","high,high,medium,medium,medium,medium,low,low"
T,B,C,T_B_C.png,training,1,4,5,medium,tail,color,shape,T,N,Y,B,H1,L2,I1,C,S,140,5_food.png,"Resources/T_Y_S.png,Resources/T_Y_C.png,Resources/T_B_S.png,Resources/N_Y_S.png,Resources/T_B_C.png,Resources/N_Y_C.png,Resources/N_B_S.png,Resources/N_B_C.png","high,high,medium,medium,medium,medium,low,low"
T,B,S,T_B_S.png,training,1,5,4,medium,tail,color,shape,T,N,Y,B,H1,L2,I2,C,S,140,4_food.png,"Resources/T_Y_S.png,Resources/T_Y_C.png,Resources/T_B_S.png,Resources/N_Y_S.png,Resources/T_B_C.png,Resources/N_Y_C.png,Resources/N_B_S.png,Resources/N_B_C.png","high,high,medium,medium,medium,medium,low,low"
N,Y,C,N_Y_C.png,training,1,6,5,medium,tail,color,shape,T,N,Y,B,L1,H2,I1,C,S,140,5_food.png,"Resources/T_Y_S.png,Resources/T_Y_C.png,Resources/T_B_S.png,Resources/N_Y_S.png,Resources/T_B_C.png,Resources/N_Y_C.png,Resources/N_B_S.png,Resources/N_B_C.png","high,high,medium,medium,medium,medium,low,low"
N,Y,S,N_Y_S.png,training,1,7,4,medium,tail,color,shape,T,N,Y,B,L1,H2,I2,C,S,140,4_food.png,"Resources/T_Y_S.png,Resources/T_Y_C.png,Resources/T_B_S.png,Resources/N_Y_S.png,Resources/T_B_C.png,Resources/N_Y_C.png,Resources/N_B_S.png,Resources/N_B_C.png","high,high,medium,medium,medium,medium,low,low"
T,Y,S,T_Y_S.png,training,1,8,8,high,tail,color,shape,T,N,Y,B,H1,H2,I2,C,S,140,8_food.png,"Resources/T_Y_S.png,Resources/T_Y_C.png,Resources/T_B_S.png,Resources/N_Y_S.png,Resources/T_B_C.png,Resources/N_Y_C.png,Resources/N_B_S.png,Resources/N_B_C.png","high,high,medium,medium,medium,medium,low,low"
N,Y,C,N_Y_C.png,training,2,9,4,medium,tail,color,shape,T,N,Y,B,L1,H2,I1,C,S,140,4_food.png,"Resources/T_Y_S.png,Resources/T_Y_C.png,Resources/T_B_S.png,Resources/N_Y_S.png,Resources/T_B_C.png,Resources/N_Y_C.png,Resources/N_B_S.png,Resources/N_B_C.png","high,high,medium,medium,medium,medium,low,low"
N,B,S,N_B_S.png,training,2,10,5,low,tail,color,shape,T,N,Y,B,L1,L2,I2,C,S,140,5_food.png,"Resources/T_Y_S.png,Resources/T_Y_C.png,Resources/T_B_S.png,Resources/N_Y_S.png,Resources/T_B_C.png,Resources/N_Y_C.png,Resources/N_B_S.png,Resources/N_B_C.png","high,high,medium,medium,medium,medium,low,low"
T,B,S,T_B_S.png,training,2,11,5,medium,tail,color,shape,T,N,Y,B,H1,L2,I2,C,S,140,5_food.png,"Resources/T_Y_S.png,Resources/T_Y_C.png,Resources/T_B_S.png,Resources/N_Y_S.png,Resources/T_B_C.png,Resources/N_Y_C.png,Resources/N_B_S.png,Resources/N_B_C.png","high,high,medium,medium,medium,medium,low,low"
N,B,C,N_B_C.png,training,2,12,3,low,tail,color,shape,T,N,Y,B,L1,L2,I1,C,S,140,3_food.png,"Resources/T_Y_S.png,Resources/T_Y_C.png,Resources/T_B_S.png,Resources/N_Y_S.png,Resources/T_B_C.png,Resources/N_Y_C.png,Resources/N_B_S.png,Resources/N_B_C.png","high,high,medium,medium,medium,medium,low,low"
T,B,C,T_B_C.png,training,2,13,6,medium,tail,color,shape,T,N,Y,B,H1,L2,I1,C,S,140,6_food.png,"Resources/T_Y_S.png,Resources/T_Y_C.png,Resources/T_B_S.png,Resources/N_Y_S.png,Resources/T_B_C.png,Resources/N_Y_C.png,Resources/N_B_S.png,Resources/N_B_C.png","high,high,medium,medium,medium,medium,low,low"
N,Y,S,N_Y_S.png,training,2,14,3,medium,tail,color,shape,T,N,Y,B,L1,H2,I2,C,S,140,3_food.png,"Resources/T_Y_S.png,Resources/T_Y_C.png,Resources/T_B_S.png,Resources/N_Y_S.png,Resources/T_B_C.png,Resources/N_Y_C.png,Resources/N_B_S.png,Resources/N_B_C.png","high,high,medium,medium,medium,medium,low,low"
T,Y,C,T_Y_C.png,training,2,15,8,high,tail,color,shape,T,N,Y,B,H1,H2,I1,C,S,140,8_food.png,"Resources/T_Y_S.png,Resources/T_Y_C.png,Resources/T_B_S.png,Resources/N_Y_S.png,Resources/T_B_C.png,Resources/N_Y_C.png,Resources/N_B_S.png,Resources/N_B_C.png","high,high,medium,medium,medium,medium,low,low"
T,Y,S,T_Y_S.png,training,2,16,6,high,tail,color,shape,T,N,Y,B,H1,H2,I2,C,S,140,6_food.png,"Resources/T_Y_S.png,Resources/T_Y_C.png,Resources/T_B_S.png,Resources/N_Y_S.png,Resources/T_B_C.png,Resources/N_Y_C.png,Resources/N_B_S.png,Resources/N_B_C.png","high,high,medium,medium,medium,medium,low,low"
