tail,color,shape,image_file,phase,rep,trial_num,food_amount,category,relevant_dim_1,relevant_dim_2,irrelevant_dim,color_high,color_low,tail_high,tail_low,tail_rel,color_rel,shape_rel,shape_high,shape_low,participant_id,food_image_file,images_list,testing_categories
N,Y,S,N_Y_S.png,training,1,1,4,medium,color,tail,shape,Y,B,T,N,L2,H1,I1,C,S,9,4_food.png,"Resources/N_B_S.png,Resources/T_B_S.png,Resources/T_Y_S.png,Resources/N_B_C.png,Resources/N_Y_S.png,Resources/N_Y_C.png,Resources/T_Y_C.png,Resources/T_B_C.png","low,medium,high,low,medium,medium,high,medium"
T,Y,C,T_Y_C.png,training,1,2,7,high,color,tail,shape,Y,B,T,N,H2,H1,I2,C,S,9,7_food.png,"Resources/N_B_S.png,Resources/T_B_S.png,Resources/T_Y_S.png,Resources/N_B_C.png,Resources/N_Y_S.png,Resources/N_Y_C.png,Resources/T_Y_C.png,Resources/T_B_C.png","low,medium,high,low,medium,medium,high,medium"
T,Y,S,T_Y_S.png,training,1,3,5,high,color,tail,shape,Y,B,T,N,H2,H1,I1,C,S,9,5_food.png,"Resources/N_B_S.png,Resources/T_B_S.png,Resources/T_Y_S.png,Resources/N_B_C.png,Resources/N_Y_S.png,Resources/N_Y_C.png,Resources/T_Y_C.png,Resources/T_B_C.png","low,medium,high,low,medium,medium,high,medium"
N,Y,C,N_Y_C.png,training,1,4,4,medium,color,tail,shape,Y,B,T,N,L2,H1,I2,C,S,9,4_food.png,"Resources/N_B_S.png,Resources/T_B_S.png,Resources/T_Y_S.png,Resources/N_B_C.png,Resources/N_Y_S.png,Resources/N_Y_C.png,Resources/T_Y_C.png,Resources/T_B_C.png","low,medium,high,low,medium,medium,high,medium"
T,B,C,T_B_C.png,training,1,5,4,medium,color,tail,shape,Y,B,T,N,H2,L1,I2,C,S,9,4_food.png,"Resources/N_B_S.png,Resources/T_B_S.png,Resources/T_Y_S.png,Resources/N_B_C.png,Resources/N_Y_S.png,Resources/N_Y_C.png,Resources/T_Y_C.png,Resources/T_B_C.png","low,medium,high,low,medium,medium,high,medium"
T,B,S,T_B_S.png,training,1,6,4,medium,color,tail,shape,Y,B,T,N,H2,L1,I1,C,S,9,4_food.png,"Resources/N_B_S.png,Resources/T_B_S.png,Resources/T_Y_S.png,Resources/N_B_C.png,Resources/N_Y_S.png,Resources/N_Y_C.png,Resources/T_Y_C.png,Resources/T_B_C.png","low,medium,high,low,medium,medium,high,medium"
N,B,S,N_B_S.png,training,1,7,2,low,color,tail,shape,Y,B,T,N,L2,L1,I1,C,S,9,2_food.png,"Resources/N_B_S.png,Resources/T_B_S.png,Resources/T_Y_S.png,Resources/N_B_C.png,Resources/N_Y_S.png,Resources/N_Y_C.png,Resources/T_Y_C.png,Resources/T_B_C.png","low,medium,high,low,medium,medium,high,medium"
N,B,C,N_B_C.png,training,1,8,2,low,color,tail,shape,Y,B,T,N,L2,L1,I2,C,S,9,2_food.png,"Resources/N_B_S.png,Resources/T_B_S.png,Resources/T_Y_S.png,Resources/N_B_C.png,Resources/N_Y_S.png,Resources/N_Y_C.png,Resources/T_Y_C.png,Resources/T_B_C.png","low,medium,high,low,medium,medium,high,medium"
N,B,C,N_B_C.png,training,2,9,4,low,color,tail,shape,Y,B,T,N,L2,L1,I2,C,S,9,4_food.png,"Resources/N_B_S.png,Resources/T_B_S.png,Resources/T_Y_S.png,Resources/N_B_C.png,Resources/N_Y_S.png,Resources/N_Y_C.png,Resources/T_Y_C.png,Resources/T_B_C.png","low,medium,high,low,medium,medium,high,medium"
T,Y,C,T_Y_C.png,training,2,10,8,high,color,tail,shape,Y,B,T,N,H2,H1,I2,C,S,9,8_food.png,"Resources/N_B_S.png,Resources/T_B_S.png,Resources/T_Y_S.png,Resources/N_B_C.png,Resources/N_Y_S.png,Resources/N_Y_C.png,Resources/T_Y_C.png,Resources/T_B_C.png","low,medium,high,low,medium,medium,high,medium"
