tail,color,shape,image_file,phase,rep,trial_num,food_amount,category,relevant_dim_1,relevant_dim_2,irrelevant_dim,tail_high,tail_low,color_high,color_low,tail_rel,color_rel,shape_rel,shape_high,shape_low,participant_id,food_image_file,images_list,testing_categories
N,B,S,N_B_S.png,training,1,1,3,low,tail,color,shape,T,N,Y,B,L1,L2,I1,S,C,150,3_food.png,"Resources/T_Y_C.png,Resources/N_Y_S.png,Resources/T_B_S.png,Resources/N_Y_C.png,Resources/N_B_S.png,Resources/T_Y_S.png,Resources/T_B_C.png,Resources/N_B_C.png","high,medium,medium,medium,low,high,medium,low"
T,B,S,T_B_S.png,training,1,2,5,medium,tail,color,shape,T,N,Y,B,H1,L2,I1,S,C,150,5_food.png,"Resources/T_Y_C.png,Resources/N_Y_S.png,Resources/T_B_S.png,Resources/N_Y_C.png,Resources/N_B_S.png,Resources/T_Y_S.png,Resources/T_B_C.png,Resources/N_B_C.png","high,medium,medium,medium,low,high,medium,low"
N,Y,S,N_Y_S.png,training,1,3,5,medium,tail,color,shape,T,N,Y,B,L1,H2,I1,S,C,150,5_food.png,"Resources/T_Y_C.png,Resources/N_Y_S.png,Resources/T_B_S.png,Resources/N_Y_C.png,Resources/N_B_S.png,Resources/T_Y_S.png,Resources/T_B_C.png,Resources/N_B_C.png","high,medium,medium,medium,low,high,medium,low"
N,Y,C,N_Y_C.png,training,1,4,4,medium,tail,color,shape,T,N,Y,B,L1,H2,I2,S,C,150,4_food.png,"Resources/T_Y_C.png,Resources/N_Y_S.png,Resources/T_B_S.png,Resources/N_Y_C.png,Resources/N_B_S.png,Resources/T_Y_S.png,Resources/T_B_C.png,Resources/N_B_C.png","high,medium,medium,medium,low,high,medium,low"
T,Y,S,T_Y_S.png,training,1,5,10,high,tail,color,shape,T,N,Y,B,H1,H2,I1,S,C,150,10_food.png,"Resources/T_Y_C.png,Resources/N_Y_S.png,Resources/T_B_S.png,Resources/N_Y_C.png,Resources/N_B_S.png,Resources/T_Y_S.png,Resources/T_B_C.png,Resources/N_B_C.png","high,medium,medium,medium,low,high,medium,low"
T,Y,C,T_Y_C.png,training,1,6,6,high,tail,color,shape,T,N,Y,B,H1,H2,I2,S,C,150,6_food.png,"Resources/T_Y_C.png,Resources/N_Y_S.png,Resources/T_B_S.png,Resources/N_Y_C.png,Resources/N_B_S.png,Resources/T_Y_S.png,Resources/T_B_C.png,Resources/N_B_C.png","high,medium,medium,medium,low,high,medium,low"
N,B,C,N_B_C.png,training,1,7,3,low,tail,color,shape,T,N,Y,B,L1,L2,I2,S,C,150,3_food.png,"Resources/T_Y_C.png,Resources/N_Y_S.png,Resources/T_B_S.png,Resources/N_Y_C.png,Resources/N_B_S.png,Resources/T_Y_S.png,Resources/T_B_C.png,Resources/N_B_C.png","high,medium,medium,medium,low,high,medium,low"
T,B,C,T_B_C.png,training,1,8,3,medium,tail,color,shape,T,N,Y,B,H1,L2,I2,S,C,150,3_food.png,"Resources/T_Y_C.png,Resources/N_Y_S.png,Resources/T_B_S.png,Resources/N_Y_C.png,Resources/N_B_S.png,Resources/T_Y_S.png,Resources/T_B_C.png,Resources/N_B_C.png","high,medium,medium,medium,low,high,medium,low"
T,B,S,T_B_S.png,training,2,9,7,medium,tail,color,shape,T,N,Y,B,H1,L2,I1,S,C,150,7_food.png,"Resources/T_Y_C.png,Resources/N_Y_S.png,Resources/T_B_S.png,Resources/N_Y_C.png,Resources/N_B_S.png,Resources/T_Y_S.png,Resources/T_B_C.png,Resources/N_B_C.png","high,medium,medium,medium,low,high,medium,low"
N,B,C,N_B_C.png,training,2,10,3,low,tail,color,shape,T,N,Y,B,L1,L2,I2,S,C,150,3_food.png,"Resources/T_Y_C.png,Resources/N_Y_S.png,Resources/T_B_S.png,Resources/N_Y_C.png,Resources/N_B_S.png,Resources/T_Y_S.png,Resources/T_B_C.png,Resources/N_B_C.png","high,medium,medium,medium,low,high,medium,low"
