tail,color,shape,image_file,phase,rep,trial_num,food_amount,category,relevant_dim_1,relevant_dim_2,irrelevant_dim,tail_high,tail_low,shape_high,shape_low,tail_rel,color_rel,shape_rel,color_high,color_low,participant_id,food_image_file,images_list,testing_categories
N,B,C,N_B_C.png,training,1,1,5,medium,tail,shape,color,N,T,S,C,H1,I1,L2,Y,B,115,5_food.png,"Resources/N_Y_S.png,Resources/N_B_S.png,Resources/N_Y_C.png,Resources/N_B_C.png,Resources/T_B_C.png,Resources/T_Y_S.png,Resources/T_Y_C.png,Resources/T_B_S.png","high,high,medium,medium,low,medium,low,medium"
T,Y,C,T_Y_C.png,training,1,2,4,low,tail,shape,color,N,T,S,C,L1,I2,L2,Y,B,115,4_food.png,"Resources/N_Y_S.png,Resources/N_B_S.png,Resources/N_Y_C.png,Resources/N_B_C.png,Resources/T_B_C.png,Resources/T_Y_S.png,Resources/T_Y_C.png,Resources/T_B_S.png","high,high,medium,medium,low,medium,low,medium"
T,B,C,T_B_C.png,training,1,3,3,low,tail,shape,color,N,T,S,C,L1,I1,L2,Y,B,115,3_food.png,"Resources/N_Y_S.png,Resources/N_B_S.png,Resources/N_Y_C.png,Resources/N_B_C.png,Resources/T_B_C.png,Resources/T_Y_S.png,Resources/T_Y_C.png,Resources/T_B_S.png","high,high,medium,medium,low,medium,low,medium"
N,B,S,N_B_S.png,training,1,4,9,high,tail,shape,color,N,T,S,C,H1,I1,H2,Y,B,115,9_food.png,"Resources/N_Y_S.png,Resources/N_B_S.png,Resources/N_Y_C.png,Resources/N_B_C.png,Resources/T_B_C.png,Resources/T_Y_S.png,Resources/T_Y_C.png,Resources/T_B_S.png","high,high,medium,medium,low,medium,low,medium"
N,Y,C,N_Y_C.png,training,1,5,8,medium,tail,shape,color,N,T,S,C,H1,I2,L2,Y,B,115,8_food.png,"Resources/N_Y_S.png,Resources/N_B_S.png,Resources/N_Y_C.png,Resources/N_B_C.png,Resources/T_B_C.png,Resources/T_Y_S.png,Resources/T_Y_C.png,Resources/T_B_S.png","high,high,medium,medium,low,medium,low,medium"
T,Y,S,T_Y_S.png,training,1,6,5,medium,tail,shape,color,N,T,S,C,L1,I2,H2,Y,B,115,5_food.png,"Resources/N_Y_S.png,Resources/N_B_S.png,Resources/N_Y_C.png,Resources/N_B_C.png,Resources/T_B_C.png,Resources/T_Y_S.png,Resources/T_Y_C.png,Resources/T_B_S.png","high,high,medium,medium,low,medium,low,medium"
N,Y,S,N_Y_S.png,training,1,7,8,high,tail,shape,color,N,T,S,C,H1,I2,H2,Y,B,115,8_food.png,"Resources/N_Y_S.png,Resources/N_B_S.png,Resources/N_Y_C.png,Resources/N_B_C.png,Resources/T_B_C.png,Resources/T_Y_S.png,Resources/T_Y_C.png,Resources/T_B_S.png","high,high,medium,medium,low,medium,low,medium"
T,B,S,T_B_S.png,training,1,8,3,medium,tail,shape,color,N,T,S,C,L1,I1,H2,Y,B,115,3_food.png,"Resources/N_Y_S.png,Resources/N_B_S.png,Resources/N_Y_C.png,Resources/N_B_C.png,Resources/T_B_C.png,Resources/T_Y_S.png,Resources/T_Y_C.png,Resources/T_B_S.png","high,high,medium,medium,low,medium,low,medium"
T,B,S,T_B_S.png,training,2,9,5,medium,tail,shape,color,N,T,S,C,L1,I1,H2,Y,B,115,5_food.png,"Resources/N_Y_S.png,Resources/N_B_S.png,Resources/N_Y_C.png,Resources/N_B_C.png,Resources/T_B_C.png,Resources/T_Y_S.png,Resources/T_Y_C.png,Resources/T_B_S.png","high,high,medium,medium,low,medium,low,medium"
N,Y,S,N_Y_S.png,training,2,10,5,high,tail,shape,color,N,T,S,C,H1,I2,H2,Y,B,115,5_food.png,"Resources/N_Y_S.png,Resources/N_B_S.png,Resources/N_Y_C.png,Resources/N_B_C.png,Resources/T_B_C.png,Resources/T_Y_S.png,Resources/T_Y_C.png,Resources/T_B_S.png","high,high,medium,medium,low,medium,low,medium"
N,B,C,N_B_C.png,training,2,11,7,medium,tail,shape,color,N,T,S,C,H1,I1,L2,Y,B,115,7_food.png,"Resources/N_Y_S.png,Resources/N_B_S.png,Resources/N_Y_C.png,Resources/N_B_C.png,Resources/T_B_C.png,Resources/T_Y_S.png,Resources/T_Y_C.png,Resources/T_B_S.png","high,high,medium,medium,low,medium,low,medium"
N,Y,C,N_Y_C.png,training,2,12,6,medium,tail,shape,color,N,T,S,C,H1,I2,L2,Y,B,115,6_food.png,"Resources/N_Y_S.png,Resources/N_B_S.png,Resources/N_Y_C.png,Resources/N_B_C.png,Resources/T_B_C.png,Resources/T_Y_S.png,Resources/T_Y_C.png,Resources/T_B_S.png","high,high,medium,medium,low,medium,low,medium"
T,Y,C,T_Y_C.png,training,2,13,4,low,tail,shape,color,N,T,S,C,L1,I2,L2,Y,B,115,4_food.png,"Resources/N_Y_S.png,Resources/N_B_S.png,Resources/N_Y_C.png,Resources/N_B_C.png,Resources/T_B_C.png,Resources/T_Y_S.png,Resources/T_Y_C.png,Resources/T_B_S.png","high,high,medium,medium,low,medium,low,medium"
T,B,C,T_B_C.png,training,2,14,4,low,tail,shape,color,N,T,S,C,L1,I1,L2,Y,B,115,4_food.png,"Resources/N_Y_S.png,Resources/N_B_S.png,Resources/N_Y_C.png,Resources/N_B_C.png,Resources/T_B_C.png,Resources/T_Y_S.png,Resources/T_Y_C.png,Resources/T_B_S.png","high,high,medium,medium,low,medium,low,medium"
N,B,S,N_B_S.png,training,2,15,7,high,tail,shape,color,N,T,S,C,H1,I1,H2,Y,B,115,7_food.png,"Resources/N_Y_S.png,Resources/N_B_S.png,Resources/N_Y_C.png,Resources/N_B_C.png,Resources/T_B_C.png,Resources/T_Y_S.png,Resources/T_Y_C.png,Resources/T_B_S.png","high,high,medium,medium,low,medium,low,medium"
T,Y,S,T_Y_S.png,training,2,16,4,medium,tail,shape,color,N,T,S,C,L1,I2,H2,Y,B,115,4_food.png,"Resources/N_Y_S.png,Resources/N_B_S.png,Resources/N_Y_C.png,Resources/N_B_C.png,Resources/T_B_C.png,Resources/T_Y_S.png,Resources/T_Y_C.png,Resources/T_B_S.png","high,high,medium,medium,low,medium,low,medium"
N,B,C,N_B_C.png,training,3,17,5,medium,tail,shape,color,N,T,S,C,H1,I1,L2,Y,B,115,5_food.png,"Resources/N_Y_S.png,Resources/N_B_S.png,Resources/N_Y_C.png,Resources/N_B_C.png,Resources/T_B_C.png,Resources/T_Y_S.png,Resources/T_Y_C.png,Resources/T_B_S.png","high,high,medium,medium,low,medium,low,medium"
T,B,S,T_B_S.png,training,3,18,4,medium,tail,shape,color,N,T,S,C,L1,I1,H2,Y,B,115,4_food.png,"Resources/N_Y_S.png,Resources/N_B_S.png,Resources/N_Y_C.png,Resources/N_B_C.png,Resources/T_B_C.png,Resources/T_Y_S.png,Resources/T_Y_C.png,Resources/T_B_S.png","high,high,medium,medium,low,medium,low,medium"
T,B,C,T_B_C.png,training,3,19,4,low,tail,shape,color,N,T,S,C,L1,I1,L2,Y,B,115,4_food.png,"Resources/N_Y_S.png,Resources/N_B_S.png,Resources/N_Y_C.png,Resources/N_B_C.png,Resources/T_B_C.png,Resources/T_Y_S.png,Resources/T_Y_C.png,Resources/T_B_S.png","high,high,medium,medium,low,medium,low,medium"
N,Y,C,N_Y_C.png,training,3,20,4,medium,tail,shape,color,N,T,S,C,H1,I2,L2,Y,B,115,4_food.png,"Resources/N_Y_S.png,Resources/N_B_S.png,Resources/N_Y_C.png,Resources/N_B_C.png,Resources/T_B_C.png,Resources/T_Y_S.png,Resources/T_Y_C.png,Resources/T_B_S.png","high,high,medium,medium,low,medium,low,medium"
T,Y,S,T_Y_S.png,training,3,21,9,medium,tail,shape,color,N,T,S,C,L1,I2,H2,Y,B,115,9_food.png,"Resources/N_Y_S.png,Resources/N_B_S.png,Resources/N_Y_C.png,Resources/N_B_C.png,Resources/T_B_C.png,Resources/T_Y_S.png,Resources/T_Y_C.png,Resources/T_B_S.png","high,high,medium,medium,low,medium,low,medium"
N,B,S,N_B_S.png,training,3,22,6,high,tail,shape,color,N,T,S,C,H1,I1,H2,Y,B,115,6_food.png,"Resources/N_Y_S.png,Resources/N_B_S.png,Resources/N_Y_C.png,Resources/N_B_C.png,Resources/T_B_C.png,Resources/T_Y_S.png,Resources/T_Y_C.png,Resources/T_B_S.png","high,high,medium,medium,low,medium,low,medium"
N,Y,S,N_Y_S.png,training,3,23,9,high,tail,shape,color,N,T,S,C,H1,I2,H2,Y,B,115,9_food.png,"Resources/N_Y_S.png,Resources/N_B_S.png,Resources/N_Y_C.png,Resources/N_B_C.png,Resources/T_B_C.png,Resources/T_Y_S.png,Resources/T_Y_C.png,Resources/T_B_S.png","high,high,medium,medium,low,medium,low,medium"
T,Y,C,T_Y_C.png,training,3,24,3,low,tail,shape,color,N,T,S,C,L1,I2,L2,Y,B,115,3_food.png,"Resources/N_Y_S.png,Resources/N_B_S.png,Resources/N_Y_C.png,Resources/N_B_C.png,Resources/T_B_C.png,Resources/T_Y_S.png,Resources/T_Y_C.png,Resources/T_B_S.png","high,high,medium,medium,low,medium,low,medium"
