tail,color,shape,image_file,phase,rep,trial_num,food_amount,category,relevant_dim_1,relevant_dim_2,irrelevant_dim,tail_high,tail_low,shape_high,shape_low,tail_rel,color_rel,shape_rel,color_high,color_low,participant_id,food_image_file,images_list,testing_categories
T,B,S,T_B_S.png,training,1,1,6,medium,tail,shape,color,T,N,C,S,H1,I2,L2,Y,B,54,6_food.png,"Resources/N_B_C.png,Resources/N_B_S.png,Resources/T_B_S.png,Resources/T_Y_C.png,Resources/T_B_C.png,Resources/N_Y_C.png,Resources/N_Y_S.png,Resources/T_Y_S.png","medium,low,medium,high,high,medium,low,medium"
N,Y,C,N_Y_C.png,training,1,2,5,medium,tail,shape,color,T,N,C,S,L1,I1,H2,Y,B,54,5_food.png,"Resources/N_B_C.png,Resources/N_B_S.png,Resources/T_B_S.png,Resources/T_Y_C.png,Resources/T_B_C.png,Resources/N_Y_C.png,Resources/N_Y_S.png,Resources/T_Y_S.png","medium,low,medium,high,high,medium,low,medium"
T,Y,C,T_Y_C.png,training,1,3,9,high,tail,shape,color,T,N,C,S,H1,I1,H2,Y,B,54,9_food.png,"Resources/N_B_C.png,Resources/N_B_S.png,Resources/T_B_S.png,Resources/T_Y_C.png,Resources/T_B_C.png,Resources/N_Y_C.png,Resources/N_Y_S.png,Resources/T_Y_S.png","medium,low,medium,high,high,medium,low,medium"
T,Y,S,T_Y_S.png,training,1,4,8,medium,tail,shape,color,T,N,C,S,H1,I1,L2,Y,B,54,8_food.png,"Resources/N_B_C.png,Resources/N_B_S.png,Resources/T_B_S.png,Resources/T_Y_C.png,Resources/T_B_C.png,Resources/N_Y_C.png,Resources/N_Y_S.png,Resources/T_Y_S.png","medium,low,medium,high,high,medium,low,medium"
N,Y,S,N_Y_S.png,training,1,5,1,low,tail,shape,color,T,N,C,S,L1,I1,L2,Y,B,54,1_food.png,"Resources/N_B_C.png,Resources/N_B_S.png,Resources/T_B_S.png,Resources/T_Y_C.png,Resources/T_B_C.png,Resources/N_Y_C.png,Resources/N_Y_S.png,Resources/T_Y_S.png","medium,low,medium,high,high,medium,low,medium"
T,B,C,T_B_C.png,training,1,6,8,high,tail,shape,color,T,N,C,S,H1,I2,H2,Y,B,54,8_food.png,"Resources/N_B_C.png,Resources/N_B_S.png,Resources/T_B_S.png,Resources/T_Y_C.png,Resources/T_B_C.png,Resources/N_Y_C.png,Resources/N_Y_S.png,Resources/T_Y_S.png","medium,low,medium,high,high,medium,low,medium"
N,B,S,N_B_S.png,training,1,7,2,low,tail,shape,color,T,N,C,S,L1,I2,L2,Y,B,54,2_food.png,"Resources/N_B_C.png,Resources/N_B_S.png,Resources/T_B_S.png,Resources/T_Y_C.png,Resources/T_B_C.png,Resources/N_Y_C.png,Resources/N_Y_S.png,Resources/T_Y_S.png","medium,low,medium,high,high,medium,low,medium"
N,B,C,N_B_C.png,training,1,8,5,medium,tail,shape,color,T,N,C,S,L1,I2,H2,Y,B,54,5_food.png,"Resources/N_B_C.png,Resources/N_B_S.png,Resources/T_B_S.png,Resources/T_Y_C.png,Resources/T_B_C.png,Resources/N_Y_C.png,Resources/N_Y_S.png,Resources/T_Y_S.png","medium,low,medium,high,high,medium,low,medium"
T,Y,C,T_Y_C.png,training,2,9,7,high,tail,shape,color,T,N,C,S,H1,I1,H2,Y,B,54,7_food.png,"Resources/N_B_C.png,Resources/N_B_S.png,Resources/T_B_S.png,Resources/T_Y_C.png,Resources/T_B_C.png,Resources/N_Y_C.png,Resources/N_Y_S.png,Resources/T_Y_S.png","medium,low,medium,high,high,medium,low,medium"
N,Y,S,N_Y_S.png,training,2,10,3,low,tail,shape,color,T,N,C,S,L1,I1,L2,Y,B,54,3_food.png,"Resources/N_B_C.png,Resources/N_B_S.png,Resources/T_B_S.png,Resources/T_Y_C.png,Resources/T_B_C.png,Resources/N_Y_C.png,Resources/N_Y_S.png,Resources/T_Y_S.png","medium,low,medium,high,high,medium,low,medium"
