tail,color,shape,image_file,phase,rep,trial_num,food_amount,category,relevant_dim_1,relevant_dim_2,irrelevant_dim,tail_high,tail_low,color_high,color_low,tail_rel,color_rel,shape_rel,shape_high,shape_low,participant_id,food_image_file,images_list,testing_categories
T,B,S,T_B_S.png,training,1,1,6,medium,tail,color,shape,T,N,Y,B,H1,L2,I1,S,C,14,6_food.png,"Resources/N_Y_C.png,Resources/T_B_S.png,Resources/N_Y_S.png,Resources/T_Y_S.png,Resources/N_B_S.png,Resources/N_B_C.png,Resources/T_B_C.png,Resources/T_Y_C.png","medium,medium,medium,high,low,low,medium,high"
N,Y,C,N_Y_C.png,training,1,2,6,medium,tail,color,shape,T,N,Y,B,L1,H2,I2,S,C,14,6_food.png,"Resources/N_Y_C.png,Resources/T_B_S.png,Resources/N_Y_S.png,Resources/T_Y_S.png,Resources/N_B_S.png,Resources/N_B_C.png,Resources/T_B_C.png,Resources/T_Y_C.png","medium,medium,medium,high,low,low,medium,high"
N,B,S,N_B_S.png,training,1,3,2,low,tail,color,shape,T,N,Y,B,L1,L2,I1,S,C,14,2_food.png,"Resources/N_Y_C.png,Resources/T_B_S.png,Resources/N_Y_S.png,Resources/T_Y_S.png,Resources/N_B_S.png,Resources/N_B_C.png,Resources/T_B_C.png,Resources/T_Y_C.png","medium,medium,medium,high,low,low,medium,high"
N,B,C,N_B_C.png,training,1,4,2,low,tail,color,shape,T,N,Y,B,L1,L2,I2,S,C,14,2_food.png,"Resources/N_Y_C.png,Resources/T_B_S.png,Resources/N_Y_S.png,Resources/T_Y_S.png,Resources/N_B_S.png,Resources/N_B_C.png,Resources/T_B_C.png,Resources/T_Y_C.png","medium,medium,medium,high,low,low,medium,high"
T,Y,C,T_Y_C.png,training,1,5,5,high,tail,color,shape,T,N,Y,B,H1,H2,I2,S,C,14,5_food.png,"Resources/N_Y_C.png,Resources/T_B_S.png,Resources/N_Y_S.png,Resources/T_Y_S.png,Resources/N_B_S.png,Resources/N_B_C.png,Resources/T_B_C.png,Resources/T_Y_C.png","medium,medium,medium,high,low,low,medium,high"
T,B,C,T_B_C.png,training,1,6,4,medium,tail,color,shape,T,N,Y,B,H1,L2,I2,S,C,14,4_food.png,"Resources/N_Y_C.png,Resources/T_B_S.png,Resources/N_Y_S.png,Resources/T_Y_S.png,Resources/N_B_S.png,Resources/N_B_C.png,Resources/T_B_C.png,Resources/T_Y_C.png","medium,medium,medium,high,low,low,medium,high"
N,Y,S,N_Y_S.png,training,1,7,7,medium,tail,color,shape,T,N,Y,B,L1,H2,I1,S,C,14,7_food.png,"Resources/N_Y_C.png,Resources/T_B_S.png,Resources/N_Y_S.png,Resources/T_Y_S.png,Resources/N_B_S.png,Resources/N_B_C.png,Resources/T_B_C.png,Resources/T_Y_C.png","medium,medium,medium,high,low,low,medium,high"
T,Y,S,T_Y_S.png,training,1,8,6,high,tail,color,shape,T,N,Y,B,H1,H2,I1,S,C,14,6_food.png,"Resources/N_Y_C.png,Resources/T_B_S.png,Resources/N_Y_S.png,Resources/T_Y_S.png,Resources/N_B_S.png,Resources/N_B_C.png,Resources/T_B_C.png,Resources/T_Y_C.png","medium,medium,medium,high,low,low,medium,high"
T,B,S,T_B_S.png,training,2,9,5,medium,tail,color,shape,T,N,Y,B,H1,L2,I1,S,C,14,5_food.png,"Resources/N_Y_C.png,Resources/T_B_S.png,Resources/N_Y_S.png,Resources/T_Y_S.png,Resources/N_B_S.png,Resources/N_B_C.png,Resources/T_B_C.png,Resources/T_Y_C.png","medium,medium,medium,high,low,low,medium,high"
T,B,C,T_B_C.png,training,2,10,3,medium,tail,color,shape,T,N,Y,B,H1,L2,I2,S,C,14,3_food.png,"Resources/N_Y_C.png,Resources/T_B_S.png,Resources/N_Y_S.png,Resources/T_Y_S.png,Resources/N_B_S.png,Resources/N_B_C.png,Resources/T_B_C.png,Resources/T_Y_C.png","medium,medium,medium,high,low,low,medium,high"
