tail,color,shape,image_file,phase,rep,trial_num,food_amount,category,relevant_dim_1,relevant_dim_2,irrelevant_dim,color_high,color_low,tail_high,tail_low,tail_rel,color_rel,shape_rel,shape_high,shape_low,participant_id,food_image_file,images_list,testing_categories
T,B,S,T_B_S.png,training,1,1,5,medium,color,tail,shape,Y,B,T,N,H2,L1,I2,C,S,10,5_food.png,"Resources/T_Y_S.png,Resources/T_Y_C.png,Resources/N_Y_S.png,Resources/T_B_S.png,Resources/T_B_C.png,Resources/N_B_S.png,Resources/N_B_C.png,Resources/N_Y_C.png","high,high,medium,medium,medium,low,low,medium"
N,Y,S,N_Y_S.png,training,1,2,5,medium,color,tail,shape,Y,B,T,N,L2,H1,I2,C,S,10,5_food.png,"Resources/T_Y_S.png,Resources/T_Y_C.png,Resources/N_Y_S.png,Resources/T_B_S.png,Resources/T_B_C.png,Resources/N_B_S.png,Resources/N_B_C.png,Resources/N_Y_C.png","high,high,medium,medium,medium,low,low,medium"
N,B,C,N_B_C.png,training,1,3,3,low,color,tail,shape,Y,B,T,N,L2,L1,I1,C,S,10,3_food.png,"Resources/T_Y_S.png,Resources/T_Y_C.png,Resources/N_Y_S.png,Resources/T_B_S.png,Resources/T_B_C.png,Resources/N_B_S.png,Resources/N_B_C.png,Resources/N_Y_C.png","high,high,medium,medium,medium,low,low,medium"
T,B,C,T_B_C.png,training,1,4,7,medium,color,tail,shape,Y,B,T,N,H2,L1,I1,C,S,10,7_food.png,"Resources/T_Y_S.png,Resources/T_Y_C.png,Resources/N_Y_S.png,Resources/T_B_S.png,Resources/T_B_C.png,Resources/N_B_S.png,Resources/N_B_C.png,Resources/N_Y_C.png","high,high,medium,medium,medium,low,low,medium"
N,Y,C,N_Y_C.png,training,1,5,5,medium,color,tail,shape,Y,B,T,N,L2,H1,I1,C,S,10,5_food.png,"Resources/T_Y_S.png,Resources/T_Y_C.png,Resources/N_Y_S.png,Resources/T_B_S.png,Resources/T_B_C.png,Resources/N_B_S.png,Resources/N_B_C.png,Resources/N_Y_C.png","high,high,medium,medium,medium,low,low,medium"
T,Y,C,T_Y_C.png,training,1,6,7,high,color,tail,shape,Y,B,T,N,H2,H1,I1,C,S,10,7_food.png,"Resources/T_Y_S.png,Resources/T_Y_C.png,Resources/N_Y_S.png,Resources/T_B_S.png,Resources/T_B_C.png,Resources/N_B_S.png,Resources/N_B_C.png,Resources/N_Y_C.png","high,high,medium,medium,medium,low,low,medium"
T,Y,S,T_Y_S.png,training,1,7,5,high,color,tail,shape,Y,B,T,N,H2,H1,I2,C,S,10,5_food.png,"Resources/T_Y_S.png,Resources/T_Y_C.png,Resources/N_Y_S.png,Resources/T_B_S.png,Resources/T_B_C.png,Resources/N_B_S.png,Resources/N_B_C.png,Resources/N_Y_C.png","high,high,medium,medium,medium,low,low,medium"
N,B,S,N_B_S.png,training,1,8,3,low,color,tail,shape,Y,B,T,N,L2,L1,I2,C,S,10,3_food.png,"Resources/T_Y_S.png,Resources/T_Y_C.png,Resources/N_Y_S.png,Resources/T_B_S.png,Resources/T_B_C.png,Resources/N_B_S.png,Resources/N_B_C.png,Resources/N_Y_C.png","high,high,medium,medium,medium,low,low,medium"
N,B,S,N_B_S.png,training,2,9,2,low,color,tail,shape,Y,B,T,N,L2,L1,I2,C,S,10,2_food.png,"Resources/T_Y_S.png,Resources/T_Y_C.png,Resources/N_Y_S.png,Resources/T_B_S.png,Resources/T_B_C.png,Resources/N_B_S.png,Resources/N_B_C.png,Resources/N_Y_C.png","high,high,medium,medium,medium,low,low,medium"
T,B,C,T_B_C.png,training,2,10,8,medium,color,tail,shape,Y,B,T,N,H2,L1,I1,C,S,10,8_food.png,"Resources/T_Y_S.png,Resources/T_Y_C.png,Resources/N_Y_S.png,Resources/T_B_S.png,Resources/T_B_C.png,Resources/N_B_S.png,Resources/N_B_C.png,Resources/N_Y_C.png","high,high,medium,medium,medium,low,low,medium"
