tail,color,shape,image_file,phase,rep,trial_num,food_amount,category,relevant_dim_1,relevant_dim_2,irrelevant_dim,color_high,color_low,shape_high,shape_low,tail_rel,color_rel,shape_rel,tail_high,tail_low,participant_id,food_image_file,images_list,testing_categories
T,Y,S,T_Y_S.png,training,1,1,5,medium,color,shape,tail,B,Y,S,C,I2,L1,H2,N,T,25,5_food.png,"Resources/T_B_S.png,Resources/T_Y_C.png,Resources/N_Y_C.png,Resources/N_B_C.png,Resources/N_Y_S.png,Resources/T_Y_S.png,Resources/T_B_C.png,Resources/N_B_S.png","high,low,low,medium,medium,medium,medium,high"
T,B,C,T_B_C.png,training,1,2,1,medium,color,shape,tail,B,Y,S,C,I2,H1,L2,N,T,25,1_food.png,"Resources/T_B_S.png,Resources/T_Y_C.png,Resources/N_Y_C.png,Resources/N_B_C.png,Resources/N_Y_S.png,Resources/T_Y_S.png,Resources/T_B_C.png,Resources/N_B_S.png","high,low,low,medium,medium,medium,medium,high"
T,B,S,T_B_S.png,training,1,3,8,high,color,shape,tail,B,Y,S,C,I2,H1,H2,N,T,25,8_food.png,"Resources/T_B_S.png,Resources/T_Y_C.png,Resources/N_Y_C.png,Resources/N_B_C.png,Resources/N_Y_S.png,Resources/T_Y_S.png,Resources/T_B_C.png,Resources/N_B_S.png","high,low,low,medium,medium,medium,medium,high"
N,Y,S,N_Y_S.png,training,1,4,4,medium,color,shape,tail,B,Y,S,C,I1,L1,H2,N,T,25,4_food.png,"Resources/T_B_S.png,Resources/T_Y_C.png,Resources/N_Y_C.png,Resources/N_B_C.png,Resources/N_Y_S.png,Resources/T_Y_S.png,Resources/T_B_C.png,Resources/N_B_S.png","high,low,low,medium,medium,medium,medium,high"
N,Y,C,N_Y_C.png,training,1,5,3,low,color,shape,tail,B,Y,S,C,I1,L1,L2,N,T,25,3_food.png,"Resources/T_B_S.png,Resources/T_Y_C.png,Resources/N_Y_C.png,Resources/N_B_C.png,Resources/N_Y_S.png,Resources/T_Y_S.png,Resources/T_B_C.png,Resources/N_B_S.png","high,low,low,medium,medium,medium,medium,high"
T,Y,C,T_Y_C.png,training,1,6,4,low,color,shape,tail,B,Y,S,C,I2,L1,L2,N,T,25,4_food.png,"Resources/T_B_S.png,Resources/T_Y_C.png,Resources/N_Y_C.png,Resources/N_B_C.png,Resources/N_Y_S.png,Resources/T_Y_S.png,Resources/T_B_C.png,Resources/N_B_S.png","high,low,low,medium,medium,medium,medium,high"
N,B,C,N_B_C.png,training,1,7,6,medium,color,shape,tail,B,Y,S,C,I1,H1,L2,N,T,25,6_food.png,"Resources/T_B_S.png,Resources/T_Y_C.png,Resources/N_Y_C.png,Resources/N_B_C.png,Resources/N_Y_S.png,Resources/T_Y_S.png,Resources/T_B_C.png,Resources/N_B_S.png","high,low,low,medium,medium,medium,medium,high"
N,B,S,N_B_S.png,training,1,8,8,high,color,shape,tail,B,Y,S,C,I1,H1,H2,N,T,25,8_food.png,"Resources/T_B_S.png,Resources/T_Y_C.png,Resources/N_Y_C.png,Resources/N_B_C.png,Resources/N_Y_S.png,Resources/T_Y_S.png,Resources/T_B_C.png,Resources/N_B_S.png","high,low,low,medium,medium,medium,medium,high"
N,Y,C,N_Y_C.png,training,2,9,4,low,color,shape,tail,B,Y,S,C,I1,L1,L2,N,T,25,4_food.png,"Resources/T_B_S.png,Resources/T_Y_C.png,Resources/N_Y_C.png,Resources/N_B_C.png,Resources/N_Y_S.png,Resources/T_Y_S.png,Resources/T_B_C.png,Resources/N_B_S.png","high,low,low,medium,medium,medium,medium,high"
N,B,C,N_B_C.png,training,2,10,6,medium,color,shape,tail,B,Y,S,C,I1,H1,L2,N,T,25,6_food.png,"Resources/T_B_S.png,Resources/T_Y_C.png,Resources/N_Y_C.png,Resources/N_B_C.png,Resources/N_Y_S.png,Resources/T_Y_S.png,Resources/T_B_C.png,Resources/N_B_S.png","high,low,low,medium,medium,medium,medium,high"
T,B,C,T_B_C.png,training,2,11,4,medium,color,shape,tail,B,Y,S,C,I2,H1,L2,N,T,25,4_food.png,"Resources/T_B_S.png,Resources/T_Y_C.png,Resources/N_Y_C.png,Resources/N_B_C.png,Resources/N_Y_S.png,Resources/T_Y_S.png,Resources/T_B_C.png,Resources/N_B_S.png","high,low,low,medium,medium,medium,medium,high"
T,B,S,T_B_S.png,training,2,12,6,high,color,shape,tail,B,Y,S,C,I2,H1,H2,N,T,25,6_food.png,"Resources/T_B_S.png,Resources/T_Y_C.png,Resources/N_Y_C.png,Resources/N_B_C.png,Resources/N_Y_S.png,Resources/T_Y_S.png,Resources/T_B_C.png,Resources/N_B_S.png","high,low,low,medium,medium,medium,medium,high"
T,Y,C,T_Y_C.png,training,2,13,5,low,color,shape,tail,B,Y,S,C,I2,L1,L2,N,T,25,5_food.png,"Resources/T_B_S.png,Resources/T_Y_C.png,Resources/N_Y_C.png,Resources/N_B_C.png,Resources/N_Y_S.png,Resources/T_Y_S.png,Resources/T_B_C.png,Resources/N_B_S.png","high,low,low,medium,medium,medium,medium,high"
N,Y,S,N_Y_S.png,training,2,14,3,medium,color,shape,tail,B,Y,S,C,I1,L1,H2,N,T,25,3_food.png,"Resources/T_B_S.png,Resources/T_Y_C.png,Resources/N_Y_C.png,Resources/N_B_C.png,Resources/N_Y_S.png,Resources/T_Y_S.png,Resources/T_B_C.png,Resources/N_B_S.png","high,low,low,medium,medium,medium,medium,high"
T,Y,S,T_Y_S.png,training,2,15,5,medium,color,shape,tail,B,Y,S,C,I2,L1,H2,N,T,25,5_food.png,"Resources/T_B_S.png,Resources/T_Y_C.png,Resources/N_Y_C.png,Resources/N_B_C.png,Resources/N_Y_S.png,Resources/T_Y_S.png,Resources/T_B_C.png,Resources/N_B_S.png","high,low,low,medium,medium,medium,medium,high"
N,B,S,N_B_S.png,training,2,16,6,high,color,shape,tail,B,Y,S,C,I1,H1,H2,N,T,25,6_food.png,"Resources/T_B_S.png,Resources/T_Y_C.png,Resources/N_Y_C.png,Resources/N_B_C.png,Resources/N_Y_S.png,Resources/T_Y_S.png,Resources/T_B_C.png,Resources/N_B_S.png","high,low,low,medium,medium,medium,medium,high"
N,B,S,N_B_S.png,training,3,17,7,high,color,shape,tail,B,Y,S,C,I1,H1,H2,N,T,25,7_food.png,"Resources/T_B_S.png,Resources/T_Y_C.png,Resources/N_Y_C.png,Resources/N_B_C.png,Resources/N_Y_S.png,Resources/T_Y_S.png,Resources/T_B_C.png,Resources/N_B_S.png","high,low,low,medium,medium,medium,medium,high"
T,Y,C,T_Y_C.png,training,3,18,3,low,color,shape,tail,B,Y,S,C,I2,L1,L2,N,T,25,3_food.png,"Resources/T_B_S.png,Resources/T_Y_C.png,Resources/N_Y_C.png,Resources/N_B_C.png,Resources/N_Y_S.png,Resources/T_Y_S.png,Resources/T_B_C.png,Resources/N_B_S.png","high,low,low,medium,medium,medium,medium,high"
N,Y,S,N_Y_S.png,training,3,19,6,medium,color,shape,tail,B,Y,S,C,I1,L1,H2,N,T,25,6_food.png,"Resources/T_B_S.png,Resources/T_Y_C.png,Resources/N_Y_C.png,Resources/N_B_C.png,Resources/N_Y_S.png,Resources/T_Y_S.png,Resources/T_B_C.png,Resources/N_B_S.png","high,low,low,medium,medium,medium,medium,high"
T,Y,S,T_Y_S.png,training,3,20,3,medium,color,shape,tail,B,Y,S,C,I2,L1,H2,N,T,25,3_food.png,"Resources/T_B_S.png,Resources/T_Y_C.png,Resources/N_Y_C.png,Resources/N_B_C.png,Resources/N_Y_S.png,Resources/T_Y_S.png,Resources/T_B_C.png,Resources/N_B_S.png","high,low,low,medium,medium,medium,medium,high"
N,B,C,N_B_C.png,training,3,21,5,medium,color,shape,tail,B,Y,S,C,I1,H1,L2,N,T,25,5_food.png,"Resources/T_B_S.png,Resources/T_Y_C.png,Resources/N_Y_C.png,Resources/N_B_C.png,Resources/N_Y_S.png,Resources/T_Y_S.png,Resources/T_B_C.png,Resources/N_B_S.png","high,low,low,medium,medium,medium,medium,high"
N,Y,C,N_Y_C.png,training,3,22,2,low,color,shape,tail,B,Y,S,C,I1,L1,L2,N,T,25,2_food.png,"Resources/T_B_S.png,Resources/T_Y_C.png,Resources/N_Y_C.png,Resources/N_B_C.png,Resources/N_Y_S.png,Resources/T_Y_S.png,Resources/T_B_C.png,Resources/N_B_S.png","high,low,low,medium,medium,medium,medium,high"
T,B,S,T_B_S.png,training,3,23,8,high,color,shape,tail,B,Y,S,C,I2,H1,H2,N,T,25,8_food.png,"Resources/T_B_S.png,Resources/T_Y_C.png,Resources/N_Y_C.png,Resources/N_B_C.png,Resources/N_Y_S.png,Resources/T_Y_S.png,Resources/T_B_C.png,Resources/N_B_S.png","high,low,low,medium,medium,medium,medium,high"
T,B,C,T_B_C.png,training,3,24,4,medium,color,shape,tail,B,Y,S,C,I2,H1,L2,N,T,25,4_food.png,"Resources/T_B_S.png,Resources/T_Y_C.png,Resources/N_Y_C.png,Resources/N_B_C.png,Resources/N_Y_S.png,Resources/T_Y_S.png,Resources/T_B_C.png,Resources/N_B_S.png","high,low,low,medium,medium,medium,medium,high"
