tail,color,shape,image_file,phase,rep,trial_num,food_amount,category,relevant_dim_1,relevant_dim_2,irrelevant_dim,color_high,color_low,tail_high,tail_low,tail_rel,color_rel,shape_rel,shape_high,shape_low,participant_id,food_image_file,images_list,testing_categories
T,B,C,T_B_C.png,training,1,1,9,high,color,tail,shape,B,Y,T,N,H2,H1,I1,S,C,19,9_food.png,"Resources/N_B_C.png,Resources/T_B_C.png,Resources/N_Y_S.png,Resources/N_Y_C.png,Resources/T_Y_C.png,Resources/T_B_S.png,Resources/T_Y_S.png,Resources/N_B_S.png","medium,high,low,low,medium,high,medium,medium"
N,Y,S,N_Y_S.png,training,1,2,3,low,color,tail,shape,B,Y,T,N,L2,L1,I2,S,C,19,3_food.png,"Resources/N_B_C.png,Resources/T_B_C.png,Resources/N_Y_S.png,Resources/N_Y_C.png,Resources/T_Y_C.png,Resources/T_B_S.png,Resources/T_Y_S.png,Resources/N_B_S.png","medium,high,low,low,medium,high,medium,medium"
T,Y,S,T_Y_S.png,training,1,3,4,medium,color,tail,shape,B,Y,T,N,H2,L1,I2,S,C,19,4_food.png,"Resources/N_B_C.png,Resources/T_B_C.png,Resources/N_Y_S.png,Resources/N_Y_C.png,Resources/T_Y_C.png,Resources/T_B_S.png,Resources/T_Y_S.png,Resources/N_B_S.png","medium,high,low,low,medium,high,medium,medium"
T,Y,C,T_Y_C.png,training,1,4,4,medium,color,tail,shape,B,Y,T,N,H2,L1,I1,S,C,19,4_food.png,"Resources/N_B_C.png,Resources/T_B_C.png,Resources/N_Y_S.png,Resources/N_Y_C.png,Resources/T_Y_C.png,Resources/T_B_S.png,Resources/T_Y_S.png,Resources/N_B_S.png","medium,high,low,low,medium,high,medium,medium"
N,B,C,N_B_C.png,training,1,5,4,medium,color,tail,shape,B,Y,T,N,L2,H1,I1,S,C,19,4_food.png,"Resources/N_B_C.png,Resources/T_B_C.png,Resources/N_Y_S.png,Resources/N_Y_C.png,Resources/T_Y_C.png,Resources/T_B_S.png,Resources/T_Y_S.png,Resources/N_B_S.png","medium,high,low,low,medium,high,medium,medium"
T,B,S,T_B_S.png,training,1,6,7,high,color,tail,shape,B,Y,T,N,H2,H1,I2,S,C,19,7_food.png,"Resources/N_B_C.png,Resources/T_B_C.png,Resources/N_Y_S.png,Resources/N_Y_C.png,Resources/T_Y_C.png,Resources/T_B_S.png,Resources/T_Y_S.png,Resources/N_B_S.png","medium,high,low,low,medium,high,medium,medium"
N,B,S,N_B_S.png,training,1,7,7,medium,color,tail,shape,B,Y,T,N,L2,H1,I2,S,C,19,7_food.png,"Resources/N_B_C.png,Resources/T_B_C.png,Resources/N_Y_S.png,Resources/N_Y_C.png,Resources/T_Y_C.png,Resources/T_B_S.png,Resources/T_Y_S.png,Resources/N_B_S.png","medium,high,low,low,medium,high,medium,medium"
N,Y,C,N_Y_C.png,training,1,8,3,low,color,tail,shape,B,Y,T,N,L2,L1,I1,S,C,19,3_food.png,"Resources/N_B_C.png,Resources/T_B_C.png,Resources/N_Y_S.png,Resources/N_Y_C.png,Resources/T_Y_C.png,Resources/T_B_S.png,Resources/T_Y_S.png,Resources/N_B_S.png","medium,high,low,low,medium,high,medium,medium"
N,B,C,N_B_C.png,training,2,9,6,medium,color,tail,shape,B,Y,T,N,L2,H1,I1,S,C,19,6_food.png,"Resources/N_B_C.png,Resources/T_B_C.png,Resources/N_Y_S.png,Resources/N_Y_C.png,Resources/T_Y_C.png,Resources/T_B_S.png,Resources/T_Y_S.png,Resources/N_B_S.png","medium,high,low,low,medium,high,medium,medium"
T,Y,C,T_Y_C.png,training,2,10,5,medium,color,tail,shape,B,Y,T,N,H2,L1,I1,S,C,19,5_food.png,"Resources/N_B_C.png,Resources/T_B_C.png,Resources/N_Y_S.png,Resources/N_Y_C.png,Resources/T_Y_C.png,Resources/T_B_S.png,Resources/T_Y_S.png,Resources/N_B_S.png","medium,high,low,low,medium,high,medium,medium"
T,B,C,T_B_C.png,training,2,11,5,high,color,tail,shape,B,Y,T,N,H2,H1,I1,S,C,19,5_food.png,"Resources/N_B_C.png,Resources/T_B_C.png,Resources/N_Y_S.png,Resources/N_Y_C.png,Resources/T_Y_C.png,Resources/T_B_S.png,Resources/T_Y_S.png,Resources/N_B_S.png","medium,high,low,low,medium,high,medium,medium"
N,Y,S,N_Y_S.png,training,2,12,2,low,color,tail,shape,B,Y,T,N,L2,L1,I2,S,C,19,2_food.png,"Resources/N_B_C.png,Resources/T_B_C.png,Resources/N_Y_S.png,Resources/N_Y_C.png,Resources/T_Y_C.png,Resources/T_B_S.png,Resources/T_Y_S.png,Resources/N_B_S.png","medium,high,low,low,medium,high,medium,medium"
