tail,color,shape,image_file,phase,rep,trial_num,food_amount,category,relevant_dim_1,relevant_dim_2,irrelevant_dim,tail_high,tail_low,color_high,color_low,tail_rel,color_rel,shape_rel,shape_high,shape_low,participant_id,food_image_file,images_list,testing_categories
T,B,C,T_B_C.png,training,1,1,4,medium,tail,color,shape,N,T,B,Y,L1,H2,I2,C,S,81,4_food.png,"Resources/N_Y_C.png,Resources/T_Y_C.png,Resources/T_Y_S.png,Resources/N_B_C.png,Resources/T_B_S.png,Resources/N_Y_S.png,Resources/N_B_S.png,Resources/T_B_C.png","medium,low,low,high,medium,medium,high,medium"
N,Y,S,N_Y_S.png,training,1,2,5,medium,tail,color,shape,N,T,B,Y,H1,L2,I1,C,S,81,5_food.png,"Resources/N_Y_C.png,Resources/T_Y_C.png,Resources/T_Y_S.png,Resources/N_B_C.png,Resources/T_B_S.png,Resources/N_Y_S.png,Resources/N_B_S.png,Resources/T_B_C.png","medium,low,low,high,medium,medium,high,medium"
T,Y,C,T_Y_C.png,training,1,3,3,low,tail,color,shape,N,T,B,Y,L1,L2,I2,C,S,81,3_food.png,"Resources/N_Y_C.png,Resources/T_Y_C.png,Resources/T_Y_S.png,Resources/N_B_C.png,Resources/T_B_S.png,Resources/N_Y_S.png,Resources/N_B_S.png,Resources/T_B_C.png","medium,low,low,high,medium,medium,high,medium"
T,Y,S,T_Y_S.png,training,1,4,4,low,tail,color,shape,N,T,B,Y,L1,L2,I1,C,S,81,4_food.png,"Resources/N_Y_C.png,Resources/T_Y_C.png,Resources/T_Y_S.png,Resources/N_B_C.png,Resources/T_B_S.png,Resources/N_Y_S.png,Resources/N_B_S.png,Resources/T_B_C.png","medium,low,low,high,medium,medium,high,medium"
T,B,S,T_B_S.png,training,1,5,6,medium,tail,color,shape,N,T,B,Y,L1,H2,I1,C,S,81,6_food.png,"Resources/N_Y_C.png,Resources/T_Y_C.png,Resources/T_Y_S.png,Resources/N_B_C.png,Resources/T_B_S.png,Resources/N_Y_S.png,Resources/N_B_S.png,Resources/T_B_C.png","medium,low,low,high,medium,medium,high,medium"
N,Y,C,N_Y_C.png,training,1,6,6,medium,tail,color,shape,N,T,B,Y,H1,L2,I2,C,S,81,6_food.png,"Resources/N_Y_C.png,Resources/T_Y_C.png,Resources/T_Y_S.png,Resources/N_B_C.png,Resources/T_B_S.png,Resources/N_Y_S.png,Resources/N_B_S.png,Resources/T_B_C.png","medium,low,low,high,medium,medium,high,medium"
N,B,S,N_B_S.png,training,1,7,8,high,tail,color,shape,N,T,B,Y,H1,H2,I1,C,S,81,8_food.png,"Resources/N_Y_C.png,Resources/T_Y_C.png,Resources/T_Y_S.png,Resources/N_B_C.png,Resources/T_B_S.png,Resources/N_Y_S.png,Resources/N_B_S.png,Resources/T_B_C.png","medium,low,low,high,medium,medium,high,medium"
N,B,C,N_B_C.png,training,1,8,6,high,tail,color,shape,N,T,B,Y,H1,H2,I2,C,S,81,6_food.png,"Resources/N_Y_C.png,Resources/T_Y_C.png,Resources/T_Y_S.png,Resources/N_B_C.png,Resources/T_B_S.png,Resources/N_Y_S.png,Resources/N_B_S.png,Resources/T_B_C.png","medium,low,low,high,medium,medium,high,medium"
T,Y,C,T_Y_C.png,training,2,9,7,low,tail,color,shape,N,T,B,Y,L1,L2,I2,C,S,81,7_food.png,"Resources/N_Y_C.png,Resources/T_Y_C.png,Resources/T_Y_S.png,Resources/N_B_C.png,Resources/T_B_S.png,Resources/N_Y_S.png,Resources/N_B_S.png,Resources/T_B_C.png","medium,low,low,high,medium,medium,high,medium"
T,Y,S,T_Y_S.png,training,2,10,2,low,tail,color,shape,N,T,B,Y,L1,L2,I1,C,S,81,2_food.png,"Resources/N_Y_C.png,Resources/T_Y_C.png,Resources/T_Y_S.png,Resources/N_B_C.png,Resources/T_B_S.png,Resources/N_Y_S.png,Resources/N_B_S.png,Resources/T_B_C.png","medium,low,low,high,medium,medium,high,medium"
N,B,S,N_B_S.png,training,2,11,9,high,tail,color,shape,N,T,B,Y,H1,H2,I1,C,S,81,9_food.png,"Resources/N_Y_C.png,Resources/T_Y_C.png,Resources/T_Y_S.png,Resources/N_B_C.png,Resources/T_B_S.png,Resources/N_Y_S.png,Resources/N_B_S.png,Resources/T_B_C.png","medium,low,low,high,medium,medium,high,medium"
N,Y,C,N_Y_C.png,training,2,12,4,medium,tail,color,shape,N,T,B,Y,H1,L2,I2,C,S,81,4_food.png,"Resources/N_Y_C.png,Resources/T_Y_C.png,Resources/T_Y_S.png,Resources/N_B_C.png,Resources/T_B_S.png,Resources/N_Y_S.png,Resources/N_B_S.png,Resources/T_B_C.png","medium,low,low,high,medium,medium,high,medium"
N,B,C,N_B_C.png,training,2,13,8,high,tail,color,shape,N,T,B,Y,H1,H2,I2,C,S,81,8_food.png,"Resources/N_Y_C.png,Resources/T_Y_C.png,Resources/T_Y_S.png,Resources/N_B_C.png,Resources/T_B_S.png,Resources/N_Y_S.png,Resources/N_B_S.png,Resources/T_B_C.png","medium,low,low,high,medium,medium,high,medium"
