tail,color,shape,image_file,phase,rep,trial_num,food_amount,category,relevant_dim_1,relevant_dim_2,irrelevant_dim,shape_high,shape_low,color_high,color_low,tail_rel,color_rel,shape_rel,tail_high,tail_low,participant_id,food_image_file,images_list,testing_categories
N,B,S,N_B_S.png,training,1,1,5,medium,shape,color,tail,C,S,B,Y,I1,H2,L1,T,N,123,5_food.png,"Resources/N_B_C.png,Resources/T_Y_S.png,Resources/N_Y_C.png,Resources/T_B_S.png,Resources/N_B_S.png,Resources/N_Y_S.png,Resources/T_Y_C.png,Resources/T_B_C.png","high,low,medium,medium,medium,low,medium,high"
N,Y,S,N_Y_S.png,training,1,2,3,low,shape,color,tail,C,S,B,Y,I1,L2,L1,T,N,123,3_food.png,"Resources/N_B_C.png,Resources/T_Y_S.png,Resources/N_Y_C.png,Resources/T_B_S.png,Resources/N_B_S.png,Resources/N_Y_S.png,Resources/T_Y_C.png,Resources/T_B_C.png","high,low,medium,medium,medium,low,medium,high"
T,B,S,T_B_S.png,training,1,3,6,medium,shape,color,tail,C,S,B,Y,I2,H2,L1,T,N,123,6_food.png,"Resources/N_B_C.png,Resources/T_Y_S.png,Resources/N_Y_C.png,Resources/T_B_S.png,Resources/N_B_S.png,Resources/N_Y_S.png,Resources/T_Y_C.png,Resources/T_B_C.png","high,low,medium,medium,medium,low,medium,high"
T,B,C,T_B_C.png,training,1,4,8,high,shape,color,tail,C,S,B,Y,I2,H2,H1,T,N,123,8_food.png,"Resources/N_B_C.png,Resources/T_Y_S.png,Resources/N_Y_C.png,Resources/T_B_S.png,Resources/N_B_S.png,Resources/N_Y_S.png,Resources/T_Y_C.png,Resources/T_B_C.png","high,low,medium,medium,medium,low,medium,high"
T,Y,S,T_Y_S.png,training,1,5,2,low,shape,color,tail,C,S,B,Y,I2,L2,L1,T,N,123,2_food.png,"Resources/N_B_C.png,Resources/T_Y_S.png,Resources/N_Y_C.png,Resources/T_B_S.png,Resources/N_B_S.png,Resources/N_Y_S.png,Resources/T_Y_C.png,Resources/T_B_C.png","high,low,medium,medium,medium,low,medium,high"
T,Y,C,T_Y_C.png,training,1,6,5,medium,shape,color,tail,C,S,B,Y,I2,L2,H1,T,N,123,5_food.png,"Resources/N_B_C.png,Resources/T_Y_S.png,Resources/N_Y_C.png,Resources/T_B_S.png,Resources/N_B_S.png,Resources/N_Y_S.png,Resources/T_Y_C.png,Resources/T_B_C.png","high,low,medium,medium,medium,low,medium,high"
N,Y,C,N_Y_C.png,training,1,7,4,medium,shape,color,tail,C,S,B,Y,I1,L2,H1,T,N,123,4_food.png,"Resources/N_B_C.png,Resources/T_Y_S.png,Resources/N_Y_C.png,Resources/T_B_S.png,Resources/N_B_S.png,Resources/N_Y_S.png,Resources/T_Y_C.png,Resources/T_B_C.png","high,low,medium,medium,medium,low,medium,high"
N,B,C,N_B_C.png,training,1,8,6,high,shape,color,tail,C,S,B,Y,I1,H2,H1,T,N,123,6_food.png,"Resources/N_B_C.png,Resources/T_Y_S.png,Resources/N_Y_C.png,Resources/T_B_S.png,Resources/N_B_S.png,Resources/N_Y_S.png,Resources/T_Y_C.png,Resources/T_B_C.png","high,low,medium,medium,medium,low,medium,high"
N,B,S,N_B_S.png,training,2,9,7,medium,shape,color,tail,C,S,B,Y,I1,H2,L1,T,N,123,7_food.png,"Resources/N_B_C.png,Resources/T_Y_S.png,Resources/N_Y_C.png,Resources/T_B_S.png,Resources/N_B_S.png,Resources/N_Y_S.png,Resources/T_Y_C.png,Resources/T_B_C.png","high,low,medium,medium,medium,low,medium,high"
T,B,S,T_B_S.png,training,2,10,3,medium,shape,color,tail,C,S,B,Y,I2,H2,L1,T,N,123,3_food.png,"Resources/N_B_C.png,Resources/T_Y_S.png,Resources/N_Y_C.png,Resources/T_B_S.png,Resources/N_B_S.png,Resources/N_Y_S.png,Resources/T_Y_C.png,Resources/T_B_C.png","high,low,medium,medium,medium,low,medium,high"
T,Y,C,T_Y_C.png,training,2,11,4,medium,shape,color,tail,C,S,B,Y,I2,L2,H1,T,N,123,4_food.png,"Resources/N_B_C.png,Resources/T_Y_S.png,Resources/N_Y_C.png,Resources/T_B_S.png,Resources/N_B_S.png,Resources/N_Y_S.png,Resources/T_Y_C.png,Resources/T_B_C.png","high,low,medium,medium,medium,low,medium,high"
T,B,C,T_B_C.png,training,2,12,7,high,shape,color,tail,C,S,B,Y,I2,H2,H1,T,N,123,7_food.png,"Resources/N_B_C.png,Resources/T_Y_S.png,Resources/N_Y_C.png,Resources/T_B_S.png,Resources/N_B_S.png,Resources/N_Y_S.png,Resources/T_Y_C.png,Resources/T_B_C.png","high,low,medium,medium,medium,low,medium,high"
N,Y,C,N_Y_C.png,training,2,13,4,medium,shape,color,tail,C,S,B,Y,I1,L2,H1,T,N,123,4_food.png,"Resources/N_B_C.png,Resources/T_Y_S.png,Resources/N_Y_C.png,Resources/T_B_S.png,Resources/N_B_S.png,Resources/N_Y_S.png,Resources/T_Y_C.png,Resources/T_B_C.png","high,low,medium,medium,medium,low,medium,high"
N,B,C,N_B_C.png,training,2,14,9,high,shape,color,tail,C,S,B,Y,I1,H2,H1,T,N,123,9_food.png,"Resources/N_B_C.png,Resources/T_Y_S.png,Resources/N_Y_C.png,Resources/T_B_S.png,Resources/N_B_S.png,Resources/N_Y_S.png,Resources/T_Y_C.png,Resources/T_B_C.png","high,low,medium,medium,medium,low,medium,high"
T,Y,S,T_Y_S.png,training,2,15,3,low,shape,color,tail,C,S,B,Y,I2,L2,L1,T,N,123,3_food.png,"Resources/N_B_C.png,Resources/T_Y_S.png,Resources/N_Y_C.png,Resources/T_B_S.png,Resources/N_B_S.png,Resources/N_Y_S.png,Resources/T_Y_C.png,Resources/T_B_C.png","high,low,medium,medium,medium,low,medium,high"
N,Y,S,N_Y_S.png,training,2,16,2,low,shape,color,tail,C,S,B,Y,I1,L2,L1,T,N,123,2_food.png,"Resources/N_B_C.png,Resources/T_Y_S.png,Resources/N_Y_C.png,Resources/T_B_S.png,Resources/N_B_S.png,Resources/N_Y_S.png,Resources/T_Y_C.png,Resources/T_B_C.png","high,low,medium,medium,medium,low,medium,high"
T,B,C,T_B_C.png,training,3,17,9,high,shape,color,tail,C,S,B,Y,I2,H2,H1,T,N,123,9_food.png,"Resources/N_B_C.png,Resources/T_Y_S.png,Resources/N_Y_C.png,Resources/T_B_S.png,Resources/N_B_S.png,Resources/N_Y_S.png,Resources/T_Y_C.png,Resources/T_B_C.png","high,low,medium,medium,medium,low,medium,high"
