feet,color,variant,image_file,phase,rep,trial_num,fertility_score,category,relevant_dim,irrelevant_dim,feet_high,feet_low,color_high,color_low,participant_id,rep_image_file,images_list,testing_categories
F,G,1,G_F1.png,training,1,1,5,low,feet,color,C,F,Y,G,65,5_score.png,"Resources/G_F1.png,Resources/Y_F2.png,Resources/G_C2.png,Resources/G_F2.png,Resources/G_C1.png,Resources/Y_C1.png,Resources/Y_C2.png,Resources/Y_F1.png","low,low,high,low,high,high,high,low"
C,G,1,G_C1.png,training,1,2,6,high,feet,color,C,F,Y,G,65,6_score.png,"Resources/G_F1.png,Resources/Y_F2.png,Resources/G_C2.png,Resources/G_F2.png,Resources/G_C1.png,Resources/Y_C1.png,Resources/Y_C2.png,Resources/Y_F1.png","low,low,high,low,high,high,high,low"
F,Y,1,Y_F1.png,training,1,3,1,low,feet,color,C,F,Y,G,65,1_score.png,"Resources/G_F1.png,Resources/Y_F2.png,Resources/G_C2.png,Resources/G_F2.png,Resources/G_C1.png,Resources/Y_C1.png,Resources/Y_C2.png,Resources/Y_F1.png","low,low,high,low,high,high,high,low"
F,G,2,G_F2.png,training,1,4,3,low,feet,color,C,F,Y,G,65,3_score.png,"Resources/G_F1.png,Resources/Y_F2.png,Resources/G_C2.png,Resources/G_F2.png,Resources/G_C1.png,Resources/Y_C1.png,Resources/Y_C2.png,Resources/Y_F1.png","low,low,high,low,high,high,high,low"
C,Y,1,Y_C1.png,training,1,5,6,high,feet,color,C,F,Y,G,65,6_score.png,"Resources/G_F1.png,Resources/Y_F2.png,Resources/G_C2.png,Resources/G_F2.png,Resources/G_C1.png,Resources/Y_C1.png,Resources/Y_C2.png,Resources/Y_F1.png","low,low,high,low,high,high,high,low"
C,Y,2,Y_C2.png,training,1,6,9,high,feet,color,C,F,Y,G,65,9_score.png,"Resources/G_F1.png,Resources/Y_F2.png,Resources/G_C2.png,Resources/G_F2.png,Resources/G_C1.png,Resources/Y_C1.png,Resources/Y_C2.png,Resources/Y_F1.png","low,low,high,low,high,high,high,low"
F,Y,2,Y_F2.png,training,1,7,4,low,feet,color,C,F,Y,G,65,4_score.png,"Resources/G_F1.png,Resources/Y_F2.png,Resources/G_C2.png,Resources/G_F2.png,Resources/G_C1.png,Resources/Y_C1.png,Resources/Y_C2.png,Resources/Y_F1.png","low,low,high,low,high,high,high,low"
C,G,2,G_C2.png,training,1,8,10,high,feet,color,C,F,Y,G,65,10_score.png,"Resources/G_F1.png,Resources/Y_F2.png,Resources/G_C2.png,Resources/G_F2.png,Resources/G_C1.png,Resources/Y_C1.png,Resources/Y_C2.png,Resources/Y_F1.png","low,low,high,low,high,high,high,low"
C,Y,2,Y_C2.png,training,2,9,7,high,feet,color,C,F,Y,G,65,7_score.png,"Resources/G_F1.png,Resources/Y_F2.png,Resources/G_C2.png,Resources/G_F2.png,Resources/G_C1.png,Resources/Y_C1.png,Resources/Y_C2.png,Resources/Y_F1.png","low,low,high,low,high,high,high,low"
C,G,2,G_C2.png,training,2,10,4,high,feet,color,C,F,Y,G,65,4_score.png,"Resources/G_F1.png,Resources/Y_F2.png,Resources/G_C2.png,Resources/G_F2.png,Resources/G_C1.png,Resources/Y_C1.png,Resources/Y_C2.png,Resources/Y_F1.png","low,low,high,low,high,high,high,low"
F,Y,2,Y_F2.png,training,2,11,1,low,feet,color,C,F,Y,G,65,1_score.png,"Resources/G_F1.png,Resources/Y_F2.png,Resources/G_C2.png,Resources/G_F2.png,Resources/G_C1.png,Resources/Y_C1.png,Resources/Y_C2.png,Resources/Y_F1.png","low,low,high,low,high,high,high,low"
F,G,2,G_F2.png,training,2,12,1,low,feet,color,C,F,Y,G,65,1_score.png,"Resources/G_F1.png,Resources/Y_F2.png,Resources/G_C2.png,Resources/G_F2.png,Resources/G_C1.png,Resources/Y_C1.png,Resources/Y_C2.png,Resources/Y_F1.png","low,low,high,low,high,high,high,low"
C,Y,1,Y_C1.png,training,2,13,9,high,feet,color,C,F,Y,G,65,9_score.png,"Resources/G_F1.png,Resources/Y_F2.png,Resources/G_C2.png,Resources/G_F2.png,Resources/G_C1.png,Resources/Y_C1.png,Resources/Y_C2.png,Resources/Y_F1.png","low,low,high,low,high,high,high,low"
F,Y,1,Y_F1.png,training,2,14,4,low,feet,color,C,F,Y,G,65,4_score.png,"Resources/G_F1.png,Resources/Y_F2.png,Resources/G_C2.png,Resources/G_F2.png,Resources/G_C1.png,Resources/Y_C1.png,Resources/Y_C2.png,Resources/Y_F1.png","low,low,high,low,high,high,high,low"
C,G,1,G_C1.png,training,2,15,9,high,feet,color,C,F,Y,G,65,9_score.png,"Resources/G_F1.png,Resources/Y_F2.png,Resources/G_C2.png,Resources/G_F2.png,Resources/G_C1.png,Resources/Y_C1.png,Resources/Y_C2.png,Resources/Y_F1.png","low,low,high,low,high,high,high,low"
F,G,1,G_F1.png,training,2,16,1,low,feet,color,C,F,Y,G,65,1_score.png,"Resources/G_F1.png,Resources/Y_F2.png,Resources/G_C2.png,Resources/G_F2.png,Resources/G_C1.png,Resources/Y_C1.png,Resources/Y_C2.png,Resources/Y_F1.png","low,low,high,low,high,high,high,low"
F,G,1,G_F1.png,training,3,17,3,low,feet,color,C,F,Y,G,65,3_score.png,"Resources/G_F1.png,Resources/Y_F2.png,Resources/G_C2.png,Resources/G_F2.png,Resources/G_C1.png,Resources/Y_C1.png,Resources/Y_C2.png,Resources/Y_F1.png","low,low,high,low,high,high,high,low"
F,G,2,G_F2.png,training,3,18,5,low,feet,color,C,F,Y,G,65,5_score.png,"Resources/G_F1.png,Resources/Y_F2.png,Resources/G_C2.png,Resources/G_F2.png,Resources/G_C1.png,Resources/Y_C1.png,Resources/Y_C2.png,Resources/Y_F1.png","low,low,high,low,high,high,high,low"
F,Y,2,Y_F2.png,training,3,19,5,low,feet,color,C,F,Y,G,65,5_score.png,"Resources/G_F1.png,Resources/Y_F2.png,Resources/G_C2.png,Resources/G_F2.png,Resources/G_C1.png,Resources/Y_C1.png,Resources/Y_C2.png,Resources/Y_F1.png","low,low,high,low,high,high,high,low"
C,Y,1,Y_C1.png,training,3,20,10,high,feet,color,C,F,Y,G,65,10_score.png,"Resources/G_F1.png,Resources/Y_F2.png,Resources/G_C2.png,Resources/G_F2.png,Resources/G_C1.png,Resources/Y_C1.png,Resources/Y_C2.png,Resources/Y_F1.png","low,low,high,low,high,high,high,low"
F,Y,1,Y_F1.png,training,3,21,5,low,feet,color,C,F,Y,G,65,5_score.png,"Resources/G_F1.png,Resources/Y_F2.png,Resources/G_C2.png,Resources/G_F2.png,Resources/G_C1.png,Resources/Y_C1.png,Resources/Y_C2.png,Resources/Y_F1.png","low,low,high,low,high,high,high,low"
C,Y,2,Y_C2.png,training,3,22,9,high,feet,color,C,F,Y,G,65,9_score.png,"Resources/G_F1.png,Resources/Y_F2.png,Resources/G_C2.png,Resources/G_F2.png,Resources/G_C1.png,Resources/Y_C1.png,Resources/Y_C2.png,Resources/Y_F1.png","low,low,high,low,high,high,high,low"
C,G,1,G_C1.png,training,3,23,6,high,feet,color,C,F,Y,G,65,6_score.png,"Resources/G_F1.png,Resources/Y_F2.png,Resources/G_C2.png,Resources/G_F2.png,Resources/G_C1.png,Resources/Y_C1.png,Resources/Y_C2.png,Resources/Y_F1.png","low,low,high,low,high,high,high,low"
C,G,2,G_C2.png,training,3,24,7,high,feet,color,C,F,Y,G,65,7_score.png,"Resources/G_F1.png,Resources/Y_F2.png,Resources/G_C2.png,Resources/G_F2.png,Resources/G_C1.png,Resources/Y_C1.png,Resources/Y_C2.png,Resources/Y_F1.png","low,low,high,low,high,high,high,low"
