feet,color,variant,image_file,phase,rep,trial_num,fertility_score,category,relevant_dim,irrelevant_dim,color_high,color_low,feet_high,feet_low,participant_id,rep_image_file,images_list,testing_categories
F,Y,2,Y_F2.png,training,1,1,2,low,color,feet,G,Y,C,F,78,2_score.png,"Resources/G_C1.png,Resources/G_F2.png,Resources/G_F1.png,Resources/Y_C1.png,Resources/Y_C2.png,Resources/Y_F2.png,Resources/G_C2.png,Resources/Y_F1.png","high,high,high,low,low,low,high,low"
C,Y,2,Y_C2.png,training,1,2,5,low,color,feet,G,Y,C,F,78,5_score.png,"Resources/G_C1.png,Resources/G_F2.png,Resources/G_F1.png,Resources/Y_C1.png,Resources/Y_C2.png,Resources/Y_F2.png,Resources/G_C2.png,Resources/Y_F1.png","high,high,high,low,low,low,high,low"
C,G,2,G_C2.png,training,1,3,9,high,color,feet,G,Y,C,F,78,9_score.png,"Resources/G_C1.png,Resources/G_F2.png,Resources/G_F1.png,Resources/Y_C1.png,Resources/Y_C2.png,Resources/Y_F2.png,Resources/G_C2.png,Resources/Y_F1.png","high,high,high,low,low,low,high,low"
C,Y,1,Y_C1.png,training,1,4,4,low,color,feet,G,Y,C,F,78,4_score.png,"Resources/G_C1.png,Resources/G_F2.png,Resources/G_F1.png,Resources/Y_C1.png,Resources/Y_C2.png,Resources/Y_F2.png,Resources/G_C2.png,Resources/Y_F1.png","high,high,high,low,low,low,high,low"
F,Y,1,Y_F1.png,training,1,5,3,low,color,feet,G,Y,C,F,78,3_score.png,"Resources/G_C1.png,Resources/G_F2.png,Resources/G_F1.png,Resources/Y_C1.png,Resources/Y_C2.png,Resources/Y_F2.png,Resources/G_C2.png,Resources/Y_F1.png","high,high,high,low,low,low,high,low"
F,G,2,G_F2.png,training,1,6,8,high,color,feet,G,Y,C,F,78,8_score.png,"Resources/G_C1.png,Resources/G_F2.png,Resources/G_F1.png,Resources/Y_C1.png,Resources/Y_C2.png,Resources/Y_F2.png,Resources/G_C2.png,Resources/Y_F1.png","high,high,high,low,low,low,high,low"
F,G,1,G_F1.png,training,1,7,7,high,color,feet,G,Y,C,F,78,7_score.png,"Resources/G_C1.png,Resources/G_F2.png,Resources/G_F1.png,Resources/Y_C1.png,Resources/Y_C2.png,Resources/Y_F2.png,Resources/G_C2.png,Resources/Y_F1.png","high,high,high,low,low,low,high,low"
C,G,1,G_C1.png,training,1,8,7,high,color,feet,G,Y,C,F,78,7_score.png,"Resources/G_C1.png,Resources/G_F2.png,Resources/G_F1.png,Resources/Y_C1.png,Resources/Y_C2.png,Resources/Y_F2.png,Resources/G_C2.png,Resources/Y_F1.png","high,high,high,low,low,low,high,low"
C,G,1,G_C1.png,training,2,9,7,high,color,feet,G,Y,C,F,78,7_score.png,"Resources/G_C1.png,Resources/G_F2.png,Resources/G_F1.png,Resources/Y_C1.png,Resources/Y_C2.png,Resources/Y_F2.png,Resources/G_C2.png,Resources/Y_F1.png","high,high,high,low,low,low,high,low"
C,G,2,G_C2.png,training,2,10,10,high,color,feet,G,Y,C,F,78,10_score.png,"Resources/G_C1.png,Resources/G_F2.png,Resources/G_F1.png,Resources/Y_C1.png,Resources/Y_C2.png,Resources/Y_F2.png,Resources/G_C2.png,Resources/Y_F1.png","high,high,high,low,low,low,high,low"
F,G,1,G_F1.png,training,2,11,7,high,color,feet,G,Y,C,F,78,7_score.png,"Resources/G_C1.png,Resources/G_F2.png,Resources/G_F1.png,Resources/Y_C1.png,Resources/Y_C2.png,Resources/Y_F2.png,Resources/G_C2.png,Resources/Y_F1.png","high,high,high,low,low,low,high,low"
C,Y,2,Y_C2.png,training,2,12,4,low,color,feet,G,Y,C,F,78,4_score.png,"Resources/G_C1.png,Resources/G_F2.png,Resources/G_F1.png,Resources/Y_C1.png,Resources/Y_C2.png,Resources/Y_F2.png,Resources/G_C2.png,Resources/Y_F1.png","high,high,high,low,low,low,high,low"
C,Y,1,Y_C1.png,training,2,13,4,low,color,feet,G,Y,C,F,78,4_score.png,"Resources/G_C1.png,Resources/G_F2.png,Resources/G_F1.png,Resources/Y_C1.png,Resources/Y_C2.png,Resources/Y_F2.png,Resources/G_C2.png,Resources/Y_F1.png","high,high,high,low,low,low,high,low"
F,G,2,G_F2.png,training,2,14,5,high,color,feet,G,Y,C,F,78,5_score.png,"Resources/G_C1.png,Resources/G_F2.png,Resources/G_F1.png,Resources/Y_C1.png,Resources/Y_C2.png,Resources/Y_F2.png,Resources/G_C2.png,Resources/Y_F1.png","high,high,high,low,low,low,high,low"
F,Y,1,Y_F1.png,training,2,15,2,low,color,feet,G,Y,C,F,78,2_score.png,"Resources/G_C1.png,Resources/G_F2.png,Resources/G_F1.png,Resources/Y_C1.png,Resources/Y_C2.png,Resources/Y_F2.png,Resources/G_C2.png,Resources/Y_F1.png","high,high,high,low,low,low,high,low"
F,Y,2,Y_F2.png,training,2,16,4,low,color,feet,G,Y,C,F,78,4_score.png,"Resources/G_C1.png,Resources/G_F2.png,Resources/G_F1.png,Resources/Y_C1.png,Resources/Y_C2.png,Resources/Y_F2.png,Resources/G_C2.png,Resources/Y_F1.png","high,high,high,low,low,low,high,low"
C,Y,2,Y_C2.png,training,3,17,3,low,color,feet,G,Y,C,F,78,3_score.png,"Resources/G_C1.png,Resources/G_F2.png,Resources/G_F1.png,Resources/Y_C1.png,Resources/Y_C2.png,Resources/Y_F2.png,Resources/G_C2.png,Resources/Y_F1.png","high,high,high,low,low,low,high,low"
F,G,1,G_F1.png,training,3,18,8,high,color,feet,G,Y,C,F,78,8_score.png,"Resources/G_C1.png,Resources/G_F2.png,Resources/G_F1.png,Resources/Y_C1.png,Resources/Y_C2.png,Resources/Y_F2.png,Resources/G_C2.png,Resources/Y_F1.png","high,high,high,low,low,low,high,low"
C,G,1,G_C1.png,training,3,19,4,high,color,feet,G,Y,C,F,78,4_score.png,"Resources/G_C1.png,Resources/G_F2.png,Resources/G_F1.png,Resources/Y_C1.png,Resources/Y_C2.png,Resources/Y_F2.png,Resources/G_C2.png,Resources/Y_F1.png","high,high,high,low,low,low,high,low"
F,G,2,G_F2.png,training,3,20,6,high,color,feet,G,Y,C,F,78,6_score.png,"Resources/G_C1.png,Resources/G_F2.png,Resources/G_F1.png,Resources/Y_C1.png,Resources/Y_C2.png,Resources/Y_F2.png,Resources/G_C2.png,Resources/Y_F1.png","high,high,high,low,low,low,high,low"
C,Y,1,Y_C1.png,training,3,21,2,low,color,feet,G,Y,C,F,78,2_score.png,"Resources/G_C1.png,Resources/G_F2.png,Resources/G_F1.png,Resources/Y_C1.png,Resources/Y_C2.png,Resources/Y_F2.png,Resources/G_C2.png,Resources/Y_F1.png","high,high,high,low,low,low,high,low"
F,Y,1,Y_F1.png,training,3,22,1,low,color,feet,G,Y,C,F,78,1_score.png,"Resources/G_C1.png,Resources/G_F2.png,Resources/G_F1.png,Resources/Y_C1.png,Resources/Y_C2.png,Resources/Y_F2.png,Resources/G_C2.png,Resources/Y_F1.png","high,high,high,low,low,low,high,low"
F,Y,2,Y_F2.png,training,3,23,4,low,color,feet,G,Y,C,F,78,4_score.png,"Resources/G_C1.png,Resources/G_F2.png,Resources/G_F1.png,Resources/Y_C1.png,Resources/Y_C2.png,Resources/Y_F2.png,Resources/G_C2.png,Resources/Y_F1.png","high,high,high,low,low,low,high,low"
C,G,2,G_C2.png,training,3,24,10,high,color,feet,G,Y,C,F,78,10_score.png,"Resources/G_C1.png,Resources/G_F2.png,Resources/G_F1.png,Resources/Y_C1.png,Resources/Y_C2.png,Resources/Y_F2.png,Resources/G_C2.png,Resources/Y_F1.png","high,high,high,low,low,low,high,low"
