feet,color,variant,image_file,phase,rep,trial_num,fertility_score,category,relevant_dim,irrelevant_dim,feet_high,feet_low,color_high,color_low,participant_id,rep_image_file,images_list,testing_categories
F,Y,2,Y_F2.png,training,1,1,1,low,feet,color,C,F,Y,G,169,1_score.png,"Resources/G_F2.png,Resources/G_F1.png,Resources/Y_F1.png,Resources/Y_F2.png,Resources/Y_C1.png,Resources/Y_C2.png,Resources/G_C2.png,Resources/G_C1.png","low,low,low,low,high,high,high,high"
F,G,1,G_F1.png,training,1,2,5,low,feet,color,C,F,Y,G,169,5_score.png,"Resources/G_F2.png,Resources/G_F1.png,Resources/Y_F1.png,Resources/Y_F2.png,Resources/Y_C1.png,Resources/Y_C2.png,Resources/G_C2.png,Resources/G_C1.png","low,low,low,low,high,high,high,high"
C,G,1,G_C1.png,training,1,3,8,high,feet,color,C,F,Y,G,169,8_score.png,"Resources/G_F2.png,Resources/G_F1.png,Resources/Y_F1.png,Resources/Y_F2.png,Resources/Y_C1.png,Resources/Y_C2.png,Resources/G_C2.png,Resources/G_C1.png","low,low,low,low,high,high,high,high"
F,Y,1,Y_F1.png,training,1,4,3,low,feet,color,C,F,Y,G,169,3_score.png,"Resources/G_F2.png,Resources/G_F1.png,Resources/Y_F1.png,Resources/Y_F2.png,Resources/Y_C1.png,Resources/Y_C2.png,Resources/G_C2.png,Resources/G_C1.png","low,low,low,low,high,high,high,high"
C,Y,2,Y_C2.png,training,1,5,6,high,feet,color,C,F,Y,G,169,6_score.png,"Resources/G_F2.png,Resources/G_F1.png,Resources/Y_F1.png,Resources/Y_F2.png,Resources/Y_C1.png,Resources/Y_C2.png,Resources/G_C2.png,Resources/G_C1.png","low,low,low,low,high,high,high,high"
F,G,2,G_F2.png,training,1,6,3,low,feet,color,C,F,Y,G,169,3_score.png,"Resources/G_F2.png,Resources/G_F1.png,Resources/Y_F1.png,Resources/Y_F2.png,Resources/Y_C1.png,Resources/Y_C2.png,Resources/G_C2.png,Resources/G_C1.png","low,low,low,low,high,high,high,high"
C,Y,1,Y_C1.png,training,1,7,7,high,feet,color,C,F,Y,G,169,7_score.png,"Resources/G_F2.png,Resources/G_F1.png,Resources/Y_F1.png,Resources/Y_F2.png,Resources/Y_C1.png,Resources/Y_C2.png,Resources/G_C2.png,Resources/G_C1.png","low,low,low,low,high,high,high,high"
C,G,2,G_C2.png,training,1,8,5,high,feet,color,C,F,Y,G,169,5_score.png,"Resources/G_F2.png,Resources/G_F1.png,Resources/Y_F1.png,Resources/Y_F2.png,Resources/Y_C1.png,Resources/Y_C2.png,Resources/G_C2.png,Resources/G_C1.png","low,low,low,low,high,high,high,high"
F,G,1,G_F1.png,training,2,9,2,low,feet,color,C,F,Y,G,169,2_score.png,"Resources/G_F2.png,Resources/G_F1.png,Resources/Y_F1.png,Resources/Y_F2.png,Resources/Y_C1.png,Resources/Y_C2.png,Resources/G_C2.png,Resources/G_C1.png","low,low,low,low,high,high,high,high"
F,G,2,G_F2.png,training,2,10,2,low,feet,color,C,F,Y,G,169,2_score.png,"Resources/G_F2.png,Resources/G_F1.png,Resources/Y_F1.png,Resources/Y_F2.png,Resources/Y_C1.png,Resources/Y_C2.png,Resources/G_C2.png,Resources/G_C1.png","low,low,low,low,high,high,high,high"
C,G,2,G_C2.png,training,2,11,8,high,feet,color,C,F,Y,G,169,8_score.png,"Resources/G_F2.png,Resources/G_F1.png,Resources/Y_F1.png,Resources/Y_F2.png,Resources/Y_C1.png,Resources/Y_C2.png,Resources/G_C2.png,Resources/G_C1.png","low,low,low,low,high,high,high,high"
F,Y,1,Y_F1.png,training,2,12,6,low,feet,color,C,F,Y,G,169,6_score.png,"Resources/G_F2.png,Resources/G_F1.png,Resources/Y_F1.png,Resources/Y_F2.png,Resources/Y_C1.png,Resources/Y_C2.png,Resources/G_C2.png,Resources/G_C1.png","low,low,low,low,high,high,high,high"
C,Y,1,Y_C1.png,training,2,13,8,high,feet,color,C,F,Y,G,169,8_score.png,"Resources/G_F2.png,Resources/G_F1.png,Resources/Y_F1.png,Resources/Y_F2.png,Resources/Y_C1.png,Resources/Y_C2.png,Resources/G_C2.png,Resources/G_C1.png","low,low,low,low,high,high,high,high"
C,G,1,G_C1.png,training,2,14,7,high,feet,color,C,F,Y,G,169,7_score.png,"Resources/G_F2.png,Resources/G_F1.png,Resources/Y_F1.png,Resources/Y_F2.png,Resources/Y_C1.png,Resources/Y_C2.png,Resources/G_C2.png,Resources/G_C1.png","low,low,low,low,high,high,high,high"
F,Y,2,Y_F2.png,training,2,15,4,low,feet,color,C,F,Y,G,169,4_score.png,"Resources/G_F2.png,Resources/G_F1.png,Resources/Y_F1.png,Resources/Y_F2.png,Resources/Y_C1.png,Resources/Y_C2.png,Resources/G_C2.png,Resources/G_C1.png","low,low,low,low,high,high,high,high"
C,Y,2,Y_C2.png,training,2,16,8,high,feet,color,C,F,Y,G,169,8_score.png,"Resources/G_F2.png,Resources/G_F1.png,Resources/Y_F1.png,Resources/Y_F2.png,Resources/Y_C1.png,Resources/Y_C2.png,Resources/G_C2.png,Resources/G_C1.png","low,low,low,low,high,high,high,high"
F,G,2,G_F2.png,training,3,17,2,low,feet,color,C,F,Y,G,169,2_score.png,"Resources/G_F2.png,Resources/G_F1.png,Resources/Y_F1.png,Resources/Y_F2.png,Resources/Y_C1.png,Resources/Y_C2.png,Resources/G_C2.png,Resources/G_C1.png","low,low,low,low,high,high,high,high"
C,Y,1,Y_C1.png,training,3,18,6,high,feet,color,C,F,Y,G,169,6_score.png,"Resources/G_F2.png,Resources/G_F1.png,Resources/Y_F1.png,Resources/Y_F2.png,Resources/Y_C1.png,Resources/Y_C2.png,Resources/G_C2.png,Resources/G_C1.png","low,low,low,low,high,high,high,high"
C,Y,2,Y_C2.png,training,3,19,8,high,feet,color,C,F,Y,G,169,8_score.png,"Resources/G_F2.png,Resources/G_F1.png,Resources/Y_F1.png,Resources/Y_F2.png,Resources/Y_C1.png,Resources/Y_C2.png,Resources/G_C2.png,Resources/G_C1.png","low,low,low,low,high,high,high,high"
F,Y,2,Y_F2.png,training,3,20,3,low,feet,color,C,F,Y,G,169,3_score.png,"Resources/G_F2.png,Resources/G_F1.png,Resources/Y_F1.png,Resources/Y_F2.png,Resources/Y_C1.png,Resources/Y_C2.png,Resources/G_C2.png,Resources/G_C1.png","low,low,low,low,high,high,high,high"
F,G,1,G_F1.png,training,3,21,3,low,feet,color,C,F,Y,G,169,3_score.png,"Resources/G_F2.png,Resources/G_F1.png,Resources/Y_F1.png,Resources/Y_F2.png,Resources/Y_C1.png,Resources/Y_C2.png,Resources/G_C2.png,Resources/G_C1.png","low,low,low,low,high,high,high,high"
C,G,1,G_C1.png,training,3,22,5,high,feet,color,C,F,Y,G,169,5_score.png,"Resources/G_F2.png,Resources/G_F1.png,Resources/Y_F1.png,Resources/Y_F2.png,Resources/Y_C1.png,Resources/Y_C2.png,Resources/G_C2.png,Resources/G_C1.png","low,low,low,low,high,high,high,high"
