feet,color,variant,image_file,phase,rep,trial_num,fertility_score,category,relevant_dim,irrelevant_dim,color_high,color_low,feet_high,feet_low,participant_id,rep_image_file,images_list,testing_categories
F,Y,2,Y_F2.png,training,1,1,7,high,color,feet,Y,G,C,F,124,7_score.png,"Resources/Y_C2.png,Resources/G_C2.png,Resources/Y_C1.png,Resources/Y_F2.png,Resources/Y_F1.png,Resources/G_F2.png,Resources/G_C1.png,Resources/G_F1.png","high,low,high,high,high,low,low,low"
F,G,2,G_F2.png,training,1,2,2,low,color,feet,Y,G,C,F,124,2_score.png,"Resources/Y_C2.png,Resources/G_C2.png,Resources/Y_C1.png,Resources/Y_F2.png,Resources/Y_F1.png,Resources/G_F2.png,Resources/G_C1.png,Resources/G_F1.png","high,low,high,high,high,low,low,low"
C,Y,1,Y_C1.png,training,1,3,8,high,color,feet,Y,G,C,F,124,8_score.png,"Resources/Y_C2.png,Resources/G_C2.png,Resources/Y_C1.png,Resources/Y_F2.png,Resources/Y_F1.png,Resources/G_F2.png,Resources/G_C1.png,Resources/G_F1.png","high,low,high,high,high,low,low,low"
F,Y,1,Y_F1.png,training,1,4,6,high,color,feet,Y,G,C,F,124,6_score.png,"Resources/Y_C2.png,Resources/G_C2.png,Resources/Y_C1.png,Resources/Y_F2.png,Resources/Y_F1.png,Resources/G_F2.png,Resources/G_C1.png,Resources/G_F1.png","high,low,high,high,high,low,low,low"
C,G,2,G_C2.png,training,1,5,3,low,color,feet,Y,G,C,F,124,3_score.png,"Resources/Y_C2.png,Resources/G_C2.png,Resources/Y_C1.png,Resources/Y_F2.png,Resources/Y_F1.png,Resources/G_F2.png,Resources/G_C1.png,Resources/G_F1.png","high,low,high,high,high,low,low,low"
F,G,1,G_F1.png,training,1,6,3,low,color,feet,Y,G,C,F,124,3_score.png,"Resources/Y_C2.png,Resources/G_C2.png,Resources/Y_C1.png,Resources/Y_F2.png,Resources/Y_F1.png,Resources/G_F2.png,Resources/G_C1.png,Resources/G_F1.png","high,low,high,high,high,low,low,low"
C,Y,2,Y_C2.png,training,1,7,6,high,color,feet,Y,G,C,F,124,6_score.png,"Resources/Y_C2.png,Resources/G_C2.png,Resources/Y_C1.png,Resources/Y_F2.png,Resources/Y_F1.png,Resources/G_F2.png,Resources/G_C1.png,Resources/G_F1.png","high,low,high,high,high,low,low,low"
C,G,1,G_C1.png,training,1,8,4,low,color,feet,Y,G,C,F,124,4_score.png,"Resources/Y_C2.png,Resources/G_C2.png,Resources/Y_C1.png,Resources/Y_F2.png,Resources/Y_F1.png,Resources/G_F2.png,Resources/G_C1.png,Resources/G_F1.png","high,low,high,high,high,low,low,low"
C,G,1,G_C1.png,training,2,9,6,low,color,feet,Y,G,C,F,124,6_score.png,"Resources/Y_C2.png,Resources/G_C2.png,Resources/Y_C1.png,Resources/Y_F2.png,Resources/Y_F1.png,Resources/G_F2.png,Resources/G_C1.png,Resources/G_F1.png","high,low,high,high,high,low,low,low"
F,Y,1,Y_F1.png,training,2,10,6,high,color,feet,Y,G,C,F,124,6_score.png,"Resources/Y_C2.png,Resources/G_C2.png,Resources/Y_C1.png,Resources/Y_F2.png,Resources/Y_F1.png,Resources/G_F2.png,Resources/G_C1.png,Resources/G_F1.png","high,low,high,high,high,low,low,low"
C,G,2,G_C2.png,training,2,11,3,low,color,feet,Y,G,C,F,124,3_score.png,"Resources/Y_C2.png,Resources/G_C2.png,Resources/Y_C1.png,Resources/Y_F2.png,Resources/Y_F1.png,Resources/G_F2.png,Resources/G_C1.png,Resources/G_F1.png","high,low,high,high,high,low,low,low"
F,G,2,G_F2.png,training,2,12,5,low,color,feet,Y,G,C,F,124,5_score.png,"Resources/Y_C2.png,Resources/G_C2.png,Resources/Y_C1.png,Resources/Y_F2.png,Resources/Y_F1.png,Resources/G_F2.png,Resources/G_C1.png,Resources/G_F1.png","high,low,high,high,high,low,low,low"
F,G,1,G_F1.png,training,2,13,4,low,color,feet,Y,G,C,F,124,4_score.png,"Resources/Y_C2.png,Resources/G_C2.png,Resources/Y_C1.png,Resources/Y_F2.png,Resources/Y_F1.png,Resources/G_F2.png,Resources/G_C1.png,Resources/G_F1.png","high,low,high,high,high,low,low,low"
C,Y,2,Y_C2.png,training,2,14,7,high,color,feet,Y,G,C,F,124,7_score.png,"Resources/Y_C2.png,Resources/G_C2.png,Resources/Y_C1.png,Resources/Y_F2.png,Resources/Y_F1.png,Resources/G_F2.png,Resources/G_C1.png,Resources/G_F1.png","high,low,high,high,high,low,low,low"
F,Y,2,Y_F2.png,training,2,15,6,high,color,feet,Y,G,C,F,124,6_score.png,"Resources/Y_C2.png,Resources/G_C2.png,Resources/Y_C1.png,Resources/Y_F2.png,Resources/Y_F1.png,Resources/G_F2.png,Resources/G_C1.png,Resources/G_F1.png","high,low,high,high,high,low,low,low"
C,Y,1,Y_C1.png,training,2,16,9,high,color,feet,Y,G,C,F,124,9_score.png,"Resources/Y_C2.png,Resources/G_C2.png,Resources/Y_C1.png,Resources/Y_F2.png,Resources/Y_F1.png,Resources/G_F2.png,Resources/G_C1.png,Resources/G_F1.png","high,low,high,high,high,low,low,low"
F,G,1,G_F1.png,training,3,17,2,low,color,feet,Y,G,C,F,124,2_score.png,"Resources/Y_C2.png,Resources/G_C2.png,Resources/Y_C1.png,Resources/Y_F2.png,Resources/Y_F1.png,Resources/G_F2.png,Resources/G_C1.png,Resources/G_F1.png","high,low,high,high,high,low,low,low"
F,Y,1,Y_F1.png,training,3,18,7,high,color,feet,Y,G,C,F,124,7_score.png,"Resources/Y_C2.png,Resources/G_C2.png,Resources/Y_C1.png,Resources/Y_F2.png,Resources/Y_F1.png,Resources/G_F2.png,Resources/G_C1.png,Resources/G_F1.png","high,low,high,high,high,low,low,low"
F,Y,2,Y_F2.png,training,3,19,5,high,color,feet,Y,G,C,F,124,5_score.png,"Resources/Y_C2.png,Resources/G_C2.png,Resources/Y_C1.png,Resources/Y_F2.png,Resources/Y_F1.png,Resources/G_F2.png,Resources/G_C1.png,Resources/G_F1.png","high,low,high,high,high,low,low,low"
C,Y,2,Y_C2.png,training,3,20,7,high,color,feet,Y,G,C,F,124,7_score.png,"Resources/Y_C2.png,Resources/G_C2.png,Resources/Y_C1.png,Resources/Y_F2.png,Resources/Y_F1.png,Resources/G_F2.png,Resources/G_C1.png,Resources/G_F1.png","high,low,high,high,high,low,low,low"
C,Y,1,Y_C1.png,training,3,21,7,high,color,feet,Y,G,C,F,124,7_score.png,"Resources/Y_C2.png,Resources/G_C2.png,Resources/Y_C1.png,Resources/Y_F2.png,Resources/Y_F1.png,Resources/G_F2.png,Resources/G_C1.png,Resources/G_F1.png","high,low,high,high,high,low,low,low"
C,G,1,G_C1.png,training,3,22,5,low,color,feet,Y,G,C,F,124,5_score.png,"Resources/Y_C2.png,Resources/G_C2.png,Resources/Y_C1.png,Resources/Y_F2.png,Resources/Y_F1.png,Resources/G_F2.png,Resources/G_C1.png,Resources/G_F1.png","high,low,high,high,high,low,low,low"
F,G,2,G_F2.png,training,3,23,4,low,color,feet,Y,G,C,F,124,4_score.png,"Resources/Y_C2.png,Resources/G_C2.png,Resources/Y_C1.png,Resources/Y_F2.png,Resources/Y_F1.png,Resources/G_F2.png,Resources/G_C1.png,Resources/G_F1.png","high,low,high,high,high,low,low,low"
