feet,color,variant,image_file,phase,rep,trial_num,fertility_score,category,relevant_dim,irrelevant_dim,color_high,color_low,feet_high,feet_low,participant_id,rep_image_file,images_list,testing_categories
C,Y,1,Y_C1.png,training,1,1,5,high,color,feet,Y,G,C,F,104,5_score.png,"Resources/G_C2.png,Resources/G_C1.png,Resources/G_F2.png,Resources/Y_F2.png,Resources/Y_C1.png,Resources/G_F1.png,Resources/Y_C2.png,Resources/Y_F1.png","low,low,low,high,high,low,high,high"
F,G,1,G_F1.png,training,1,2,4,low,color,feet,Y,G,C,F,104,4_score.png,"Resources/G_C2.png,Resources/G_C1.png,Resources/G_F2.png,Resources/Y_F2.png,Resources/Y_C1.png,Resources/G_F1.png,Resources/Y_C2.png,Resources/Y_F1.png","low,low,low,high,high,low,high,high"
F,Y,1,Y_F1.png,training,1,3,7,high,color,feet,Y,G,C,F,104,7_score.png,"Resources/G_C2.png,Resources/G_C1.png,Resources/G_F2.png,Resources/Y_F2.png,Resources/Y_C1.png,Resources/G_F1.png,Resources/Y_C2.png,Resources/Y_F1.png","low,low,low,high,high,low,high,high"
F,G,2,G_F2.png,training,1,4,2,low,color,feet,Y,G,C,F,104,2_score.png,"Resources/G_C2.png,Resources/G_C1.png,Resources/G_F2.png,Resources/Y_F2.png,Resources/Y_C1.png,Resources/G_F1.png,Resources/Y_C2.png,Resources/Y_F1.png","low,low,low,high,high,low,high,high"
F,Y,2,Y_F2.png,training,1,5,8,high,color,feet,Y,G,C,F,104,8_score.png,"Resources/G_C2.png,Resources/G_C1.png,Resources/G_F2.png,Resources/Y_F2.png,Resources/Y_C1.png,Resources/G_F1.png,Resources/Y_C2.png,Resources/Y_F1.png","low,low,low,high,high,low,high,high"
C,G,2,G_C2.png,training,1,6,6,low,color,feet,Y,G,C,F,104,6_score.png,"Resources/G_C2.png,Resources/G_C1.png,Resources/G_F2.png,Resources/Y_F2.png,Resources/Y_C1.png,Resources/G_F1.png,Resources/Y_C2.png,Resources/Y_F1.png","low,low,low,high,high,low,high,high"
C,Y,2,Y_C2.png,training,1,7,7,high,color,feet,Y,G,C,F,104,7_score.png,"Resources/G_C2.png,Resources/G_C1.png,Resources/G_F2.png,Resources/Y_F2.png,Resources/Y_C1.png,Resources/G_F1.png,Resources/Y_C2.png,Resources/Y_F1.png","low,low,low,high,high,low,high,high"
C,G,1,G_C1.png,training,1,8,6,low,color,feet,Y,G,C,F,104,6_score.png,"Resources/G_C2.png,Resources/G_C1.png,Resources/G_F2.png,Resources/Y_F2.png,Resources/Y_C1.png,Resources/G_F1.png,Resources/Y_C2.png,Resources/Y_F1.png","low,low,low,high,high,low,high,high"
F,G,2,G_F2.png,training,2,9,3,low,color,feet,Y,G,C,F,104,3_score.png,"Resources/G_C2.png,Resources/G_C1.png,Resources/G_F2.png,Resources/Y_F2.png,Resources/Y_C1.png,Resources/G_F1.png,Resources/Y_C2.png,Resources/Y_F1.png","low,low,low,high,high,low,high,high"
F,G,1,G_F1.png,training,2,10,2,low,color,feet,Y,G,C,F,104,2_score.png,"Resources/G_C2.png,Resources/G_C1.png,Resources/G_F2.png,Resources/Y_F2.png,Resources/Y_C1.png,Resources/G_F1.png,Resources/Y_C2.png,Resources/Y_F1.png","low,low,low,high,high,low,high,high"
