feet,color,variant,image_file,phase,rep,trial_num,fertility_score,category,relevant_dim,irrelevant_dim,color_high,color_low,feet_high,feet_low,participant_id,rep_image_file,images_list,testing_categories
F,G,2,G_F2.png,training,1,1,4,high,color,feet,G,Y,F,C,198,4_score.png,"Resources/G_F2.png,Resources/Y_C1.png,Resources/G_F1.png,Resources/Y_C2.png,Resources/G_C1.png,Resources/Y_F2.png,Resources/Y_F1.png,Resources/G_C2.png","high,low,high,low,high,low,low,high"
C,Y,2,Y_C2.png,training,1,2,3,low,color,feet,G,Y,F,C,198,3_score.png,"Resources/G_F2.png,Resources/Y_C1.png,Resources/G_F1.png,Resources/Y_C2.png,Resources/G_C1.png,Resources/Y_F2.png,Resources/Y_F1.png,Resources/G_C2.png","high,low,high,low,high,low,low,high"
F,G,1,G_F1.png,training,1,3,8,high,color,feet,G,Y,F,C,198,8_score.png,"Resources/G_F2.png,Resources/Y_C1.png,Resources/G_F1.png,Resources/Y_C2.png,Resources/G_C1.png,Resources/Y_F2.png,Resources/Y_F1.png,Resources/G_C2.png","high,low,high,low,high,low,low,high"
C,Y,1,Y_C1.png,training,1,4,2,low,color,feet,G,Y,F,C,198,2_score.png,"Resources/G_F2.png,Resources/Y_C1.png,Resources/G_F1.png,Resources/Y_C2.png,Resources/G_C1.png,Resources/Y_F2.png,Resources/Y_F1.png,Resources/G_C2.png","high,low,high,low,high,low,low,high"
F,Y,1,Y_F1.png,training,1,5,5,low,color,feet,G,Y,F,C,198,5_score.png,"Resources/G_F2.png,Resources/Y_C1.png,Resources/G_F1.png,Resources/Y_C2.png,Resources/G_C1.png,Resources/Y_F2.png,Resources/Y_F1.png,Resources/G_C2.png","high,low,high,low,high,low,low,high"
C,G,2,G_C2.png,training,1,6,7,high,color,feet,G,Y,F,C,198,7_score.png,"Resources/G_F2.png,Resources/Y_C1.png,Resources/G_F1.png,Resources/Y_C2.png,Resources/G_C1.png,Resources/Y_F2.png,Resources/Y_F1.png,Resources/G_C2.png","high,low,high,low,high,low,low,high"
C,G,1,G_C1.png,training,1,7,5,high,color,feet,G,Y,F,C,198,5_score.png,"Resources/G_F2.png,Resources/Y_C1.png,Resources/G_F1.png,Resources/Y_C2.png,Resources/G_C1.png,Resources/Y_F2.png,Resources/Y_F1.png,Resources/G_C2.png","high,low,high,low,high,low,low,high"
F,Y,2,Y_F2.png,training,1,8,4,low,color,feet,G,Y,F,C,198,4_score.png,"Resources/G_F2.png,Resources/Y_C1.png,Resources/G_F1.png,Resources/Y_C2.png,Resources/G_C1.png,Resources/Y_F2.png,Resources/Y_F1.png,Resources/G_C2.png","high,low,high,low,high,low,low,high"
F,Y,2,Y_F2.png,training,2,9,5,low,color,feet,G,Y,F,C,198,5_score.png,"Resources/G_F2.png,Resources/Y_C1.png,Resources/G_F1.png,Resources/Y_C2.png,Resources/G_C1.png,Resources/Y_F2.png,Resources/Y_F1.png,Resources/G_C2.png","high,low,high,low,high,low,low,high"
C,G,2,G_C2.png,training,2,10,10,high,color,feet,G,Y,F,C,198,10_score.png,"Resources/G_F2.png,Resources/Y_C1.png,Resources/G_F1.png,Resources/Y_C2.png,Resources/G_C1.png,Resources/Y_F2.png,Resources/Y_F1.png,Resources/G_C2.png","high,low,high,low,high,low,low,high"
F,G,2,G_F2.png,training,2,11,8,high,color,feet,G,Y,F,C,198,8_score.png,"Resources/G_F2.png,Resources/Y_C1.png,Resources/G_F1.png,Resources/Y_C2.png,Resources/G_C1.png,Resources/Y_F2.png,Resources/Y_F1.png,Resources/G_C2.png","high,low,high,low,high,low,low,high"
