feet,color,variant,image_file,phase,rep,trial_num,fertility_score,category,relevant_dim,irrelevant_dim,feet_high,feet_low,color_high,color_low,participant_id,rep_image_file,images_list,testing_categories
F,Y,1,Y_F1.png,training,1,1,7,high,feet,color,F,C,G,Y,63,7_score.png,"Resources/Y_C2.png,Resources/G_F2.png,Resources/Y_F1.png,Resources/G_C2.png,Resources/Y_C1.png,Resources/Y_F2.png,Resources/G_F1.png,Resources/G_C1.png","low,high,high,low,low,high,high,low"
F,G,2,G_F2.png,training,1,2,8,high,feet,color,F,C,G,Y,63,8_score.png,"Resources/Y_C2.png,Resources/G_F2.png,Resources/Y_F1.png,Resources/G_C2.png,Resources/Y_C1.png,Resources/Y_F2.png,Resources/G_F1.png,Resources/G_C1.png","low,high,high,low,low,high,high,low"
C,G,1,G_C1.png,training,1,3,6,low,feet,color,F,C,G,Y,63,6_score.png,"Resources/Y_C2.png,Resources/G_F2.png,Resources/Y_F1.png,Resources/G_C2.png,Resources/Y_C1.png,Resources/Y_F2.png,Resources/G_F1.png,Resources/G_C1.png","low,high,high,low,low,high,high,low"
C,G,2,G_C2.png,training,1,4,6,low,feet,color,F,C,G,Y,63,6_score.png,"Resources/Y_C2.png,Resources/G_F2.png,Resources/Y_F1.png,Resources/G_C2.png,Resources/Y_C1.png,Resources/Y_F2.png,Resources/G_F1.png,Resources/G_C1.png","low,high,high,low,low,high,high,low"
C,Y,1,Y_C1.png,training,1,5,3,low,feet,color,F,C,G,Y,63,3_score.png,"Resources/Y_C2.png,Resources/G_F2.png,Resources/Y_F1.png,Resources/G_C2.png,Resources/Y_C1.png,Resources/Y_F2.png,Resources/G_F1.png,Resources/G_C1.png","low,high,high,low,low,high,high,low"
C,Y,2,Y_C2.png,training,1,6,3,low,feet,color,F,C,G,Y,63,3_score.png,"Resources/Y_C2.png,Resources/G_F2.png,Resources/Y_F1.png,Resources/G_C2.png,Resources/Y_C1.png,Resources/Y_F2.png,Resources/G_F1.png,Resources/G_C1.png","low,high,high,low,low,high,high,low"
F,G,1,G_F1.png,training,1,7,5,high,feet,color,F,C,G,Y,63,5_score.png,"Resources/Y_C2.png,Resources/G_F2.png,Resources/Y_F1.png,Resources/G_C2.png,Resources/Y_C1.png,Resources/Y_F2.png,Resources/G_F1.png,Resources/G_C1.png","low,high,high,low,low,high,high,low"
F,Y,2,Y_F2.png,training,1,8,8,high,feet,color,F,C,G,Y,63,8_score.png,"Resources/Y_C2.png,Resources/G_F2.png,Resources/Y_F1.png,Resources/G_C2.png,Resources/Y_C1.png,Resources/Y_F2.png,Resources/G_F1.png,Resources/G_C1.png","low,high,high,low,low,high,high,low"
C,Y,2,Y_C2.png,training,2,9,2,low,feet,color,F,C,G,Y,63,2_score.png,"Resources/Y_C2.png,Resources/G_F2.png,Resources/Y_F1.png,Resources/G_C2.png,Resources/Y_C1.png,Resources/Y_F2.png,Resources/G_F1.png,Resources/G_C1.png","low,high,high,low,low,high,high,low"
C,Y,1,Y_C1.png,training,2,10,1,low,feet,color,F,C,G,Y,63,1_score.png,"Resources/Y_C2.png,Resources/G_F2.png,Resources/Y_F1.png,Resources/G_C2.png,Resources/Y_C1.png,Resources/Y_F2.png,Resources/G_F1.png,Resources/G_C1.png","low,high,high,low,low,high,high,low"
C,G,1,G_C1.png,training,2,11,3,low,feet,color,F,C,G,Y,63,3_score.png,"Resources/Y_C2.png,Resources/G_F2.png,Resources/Y_F1.png,Resources/G_C2.png,Resources/Y_C1.png,Resources/Y_F2.png,Resources/G_F1.png,Resources/G_C1.png","low,high,high,low,low,high,high,low"
F,G,2,G_F2.png,training,2,12,9,high,feet,color,F,C,G,Y,63,9_score.png,"Resources/Y_C2.png,Resources/G_F2.png,Resources/Y_F1.png,Resources/G_C2.png,Resources/Y_C1.png,Resources/Y_F2.png,Resources/G_F1.png,Resources/G_C1.png","low,high,high,low,low,high,high,low"
F,Y,1,Y_F1.png,training,2,13,8,high,feet,color,F,C,G,Y,63,8_score.png,"Resources/Y_C2.png,Resources/G_F2.png,Resources/Y_F1.png,Resources/G_C2.png,Resources/Y_C1.png,Resources/Y_F2.png,Resources/G_F1.png,Resources/G_C1.png","low,high,high,low,low,high,high,low"
