feet,color,variant,image_file,phase,rep,trial_num,fertility_score,category,relevant_dim,irrelevant_dim,feet_high,feet_low,color_high,color_low,participant_id,rep_image_file,images_list,testing_categories
C,Y,2,Y_C2.png,training,1,1,4,low,feet,color,F,C,G,Y,119,4_score.png,"Resources/G_F1.png,Resources/Y_C2.png,Resources/Y_C1.png,Resources/G_F2.png,Resources/Y_F2.png,Resources/Y_F1.png,Resources/G_C1.png,Resources/G_C2.png","high,low,low,high,high,high,low,low"
F,Y,1,Y_F1.png,training,1,2,7,high,feet,color,F,C,G,Y,119,7_score.png,"Resources/G_F1.png,Resources/Y_C2.png,Resources/Y_C1.png,Resources/G_F2.png,Resources/Y_F2.png,Resources/Y_F1.png,Resources/G_C1.png,Resources/G_C2.png","high,low,low,high,high,high,low,low"
F,Y,2,Y_F2.png,training,1,3,10,high,feet,color,F,C,G,Y,119,10_score.png,"Resources/G_F1.png,Resources/Y_C2.png,Resources/Y_C1.png,Resources/G_F2.png,Resources/Y_F2.png,Resources/Y_F1.png,Resources/G_C1.png,Resources/G_C2.png","high,low,low,high,high,high,low,low"
C,Y,1,Y_C1.png,training,1,4,2,low,feet,color,F,C,G,Y,119,2_score.png,"Resources/G_F1.png,Resources/Y_C2.png,Resources/Y_C1.png,Resources/G_F2.png,Resources/Y_F2.png,Resources/Y_F1.png,Resources/G_C1.png,Resources/G_C2.png","high,low,low,high,high,high,low,low"
C,G,1,G_C1.png,training,1,5,4,low,feet,color,F,C,G,Y,119,4_score.png,"Resources/G_F1.png,Resources/Y_C2.png,Resources/Y_C1.png,Resources/G_F2.png,Resources/Y_F2.png,Resources/Y_F1.png,Resources/G_C1.png,Resources/G_C2.png","high,low,low,high,high,high,low,low"
C,G,2,G_C2.png,training,1,6,6,low,feet,color,F,C,G,Y,119,6_score.png,"Resources/G_F1.png,Resources/Y_C2.png,Resources/Y_C1.png,Resources/G_F2.png,Resources/Y_F2.png,Resources/Y_F1.png,Resources/G_C1.png,Resources/G_C2.png","high,low,low,high,high,high,low,low"
F,G,2,G_F2.png,training,1,7,8,high,feet,color,F,C,G,Y,119,8_score.png,"Resources/G_F1.png,Resources/Y_C2.png,Resources/Y_C1.png,Resources/G_F2.png,Resources/Y_F2.png,Resources/Y_F1.png,Resources/G_C1.png,Resources/G_C2.png","high,low,low,high,high,high,low,low"
F,G,1,G_F1.png,training,1,8,8,high,feet,color,F,C,G,Y,119,8_score.png,"Resources/G_F1.png,Resources/Y_C2.png,Resources/Y_C1.png,Resources/G_F2.png,Resources/Y_F2.png,Resources/Y_F1.png,Resources/G_C1.png,Resources/G_C2.png","high,low,low,high,high,high,low,low"
F,Y,2,Y_F2.png,training,2,9,4,high,feet,color,F,C,G,Y,119,4_score.png,"Resources/G_F1.png,Resources/Y_C2.png,Resources/Y_C1.png,Resources/G_F2.png,Resources/Y_F2.png,Resources/Y_F1.png,Resources/G_C1.png,Resources/G_C2.png","high,low,low,high,high,high,low,low"
C,Y,1,Y_C1.png,training,2,10,5,low,feet,color,F,C,G,Y,119,5_score.png,"Resources/G_F1.png,Resources/Y_C2.png,Resources/Y_C1.png,Resources/G_F2.png,Resources/Y_F2.png,Resources/Y_F1.png,Resources/G_C1.png,Resources/G_C2.png","high,low,low,high,high,high,low,low"
C,G,2,G_C2.png,training,2,11,3,low,feet,color,F,C,G,Y,119,3_score.png,"Resources/G_F1.png,Resources/Y_C2.png,Resources/Y_C1.png,Resources/G_F2.png,Resources/Y_F2.png,Resources/Y_F1.png,Resources/G_C1.png,Resources/G_C2.png","high,low,low,high,high,high,low,low"
F,Y,1,Y_F1.png,training,2,12,9,high,feet,color,F,C,G,Y,119,9_score.png,"Resources/G_F1.png,Resources/Y_C2.png,Resources/Y_C1.png,Resources/G_F2.png,Resources/Y_F2.png,Resources/Y_F1.png,Resources/G_C1.png,Resources/G_C2.png","high,low,low,high,high,high,low,low"
C,Y,2,Y_C2.png,training,2,13,4,low,feet,color,F,C,G,Y,119,4_score.png,"Resources/G_F1.png,Resources/Y_C2.png,Resources/Y_C1.png,Resources/G_F2.png,Resources/Y_F2.png,Resources/Y_F1.png,Resources/G_C1.png,Resources/G_C2.png","high,low,low,high,high,high,low,low"
F,G,2,G_F2.png,training,2,14,10,high,feet,color,F,C,G,Y,119,10_score.png,"Resources/G_F1.png,Resources/Y_C2.png,Resources/Y_C1.png,Resources/G_F2.png,Resources/Y_F2.png,Resources/Y_F1.png,Resources/G_C1.png,Resources/G_C2.png","high,low,low,high,high,high,low,low"
C,G,1,G_C1.png,training,2,15,4,low,feet,color,F,C,G,Y,119,4_score.png,"Resources/G_F1.png,Resources/Y_C2.png,Resources/Y_C1.png,Resources/G_F2.png,Resources/Y_F2.png,Resources/Y_F1.png,Resources/G_C1.png,Resources/G_C2.png","high,low,low,high,high,high,low,low"
F,G,1,G_F1.png,training,2,16,9,high,feet,color,F,C,G,Y,119,9_score.png,"Resources/G_F1.png,Resources/Y_C2.png,Resources/Y_C1.png,Resources/G_F2.png,Resources/Y_F2.png,Resources/Y_F1.png,Resources/G_C1.png,Resources/G_C2.png","high,low,low,high,high,high,low,low"
C,G,1,G_C1.png,training,3,17,2,low,feet,color,F,C,G,Y,119,2_score.png,"Resources/G_F1.png,Resources/Y_C2.png,Resources/Y_C1.png,Resources/G_F2.png,Resources/Y_F2.png,Resources/Y_F1.png,Resources/G_C1.png,Resources/G_C2.png","high,low,low,high,high,high,low,low"
C,G,2,G_C2.png,training,3,18,6,low,feet,color,F,C,G,Y,119,6_score.png,"Resources/G_F1.png,Resources/Y_C2.png,Resources/Y_C1.png,Resources/G_F2.png,Resources/Y_F2.png,Resources/Y_F1.png,Resources/G_C1.png,Resources/G_C2.png","high,low,low,high,high,high,low,low"
F,G,1,G_F1.png,training,3,19,8,high,feet,color,F,C,G,Y,119,8_score.png,"Resources/G_F1.png,Resources/Y_C2.png,Resources/Y_C1.png,Resources/G_F2.png,Resources/Y_F2.png,Resources/Y_F1.png,Resources/G_C1.png,Resources/G_C2.png","high,low,low,high,high,high,low,low"
F,Y,2,Y_F2.png,training,3,20,10,high,feet,color,F,C,G,Y,119,10_score.png,"Resources/G_F1.png,Resources/Y_C2.png,Resources/Y_C1.png,Resources/G_F2.png,Resources/Y_F2.png,Resources/Y_F1.png,Resources/G_C1.png,Resources/G_C2.png","high,low,low,high,high,high,low,low"
