tail,color,shape,image_file,phase,rep,trial_num,food_amount,category,relevant_dim_1,relevant_dim_2,irrelevant_dim,shape_high,shape_low,color_high,color_low,tail_rel,color_rel,shape_rel,tail_high,tail_low,participant_id,food_image_file,images_list,testing_categories
T,B,C,T_B_C.png,training,1,1,3,low,shape,color,tail,S,C,Y,B,I2,L2,L1,N,T,4,3_food.png,"Resources/N_B_S.png,Resources/T_Y_S.png,Resources/T_B_C.png,Resources/T_B_S.png,Resources/T_Y_C.png,Resources/N_B_C.png,Resources/N_Y_S.png,Resources/N_Y_C.png","medium,high,low,medium,medium,low,high,medium"
N,B,S,N_B_S.png,training,1,2,7,medium,shape,color,tail,S,C,Y,B,I1,L2,H1,N,T,4,7_food.png,"Resources/N_B_S.png,Resources/T_Y_S.png,Resources/T_B_C.png,Resources/T_B_S.png,Resources/T_Y_C.png,Resources/N_B_C.png,Resources/N_Y_S.png,Resources/N_Y_C.png","medium,high,low,medium,medium,low,high,medium"
N,Y,S,N_Y_S.png,training,1,3,5,high,shape,color,tail,S,C,Y,B,I1,H2,H1,N,T,4,5_food.png,"Resources/N_B_S.png,Resources/T_Y_S.png,Resources/T_B_C.png,Resources/T_B_S.png,Resources/T_Y_C.png,Resources/N_B_C.png,Resources/N_Y_S.png,Resources/N_Y_C.png","medium,high,low,medium,medium,low,high,medium"
T,Y,C,T_Y_C.png,training,1,4,6,medium,shape,color,tail,S,C,Y,B,I2,H2,L1,N,T,4,6_food.png,"Resources/N_B_S.png,Resources/T_Y_S.png,Resources/T_B_C.png,Resources/T_B_S.png,Resources/T_Y_C.png,Resources/N_B_C.png,Resources/N_Y_S.png,Resources/N_Y_C.png","medium,high,low,medium,medium,low,high,medium"
N,B,C,N_B_C.png,training,1,5,6,low,shape,color,tail,S,C,Y,B,I1,L2,L1,N,T,4,6_food.png,"Resources/N_B_S.png,Resources/T_Y_S.png,Resources/T_B_C.png,Resources/T_B_S.png,Resources/T_Y_C.png,Resources/N_B_C.png,Resources/N_Y_S.png,Resources/N_Y_C.png","medium,high,low,medium,medium,low,high,medium"
T,B,S,T_B_S.png,training,1,6,5,medium,shape,color,tail,S,C,Y,B,I2,L2,H1,N,T,4,5_food.png,"Resources/N_B_S.png,Resources/T_Y_S.png,Resources/T_B_C.png,Resources/T_B_S.png,Resources/T_Y_C.png,Resources/N_B_C.png,Resources/N_Y_S.png,Resources/N_Y_C.png","medium,high,low,medium,medium,low,high,medium"
N,Y,C,N_Y_C.png,training,1,7,7,medium,shape,color,tail,S,C,Y,B,I1,H2,L1,N,T,4,7_food.png,"Resources/N_B_S.png,Resources/T_Y_S.png,Resources/T_B_C.png,Resources/T_B_S.png,Resources/T_Y_C.png,Resources/N_B_C.png,Resources/N_Y_S.png,Resources/N_Y_C.png","medium,high,low,medium,medium,low,high,medium"
T,Y,S,T_Y_S.png,training,1,8,7,high,shape,color,tail,S,C,Y,B,I2,H2,H1,N,T,4,7_food.png,"Resources/N_B_S.png,Resources/T_Y_S.png,Resources/T_B_C.png,Resources/T_B_S.png,Resources/T_Y_C.png,Resources/N_B_C.png,Resources/N_Y_S.png,Resources/N_Y_C.png","medium,high,low,medium,medium,low,high,medium"
N,B,C,N_B_C.png,training,2,9,1,low,shape,color,tail,S,C,Y,B,I1,L2,L1,N,T,4,1_food.png,"Resources/N_B_S.png,Resources/T_Y_S.png,Resources/T_B_C.png,Resources/T_B_S.png,Resources/T_Y_C.png,Resources/N_B_C.png,Resources/N_Y_S.png,Resources/N_Y_C.png","medium,high,low,medium,medium,low,high,medium"
T,Y,S,T_Y_S.png,training,2,10,5,high,shape,color,tail,S,C,Y,B,I2,H2,H1,N,T,4,5_food.png,"Resources/N_B_S.png,Resources/T_Y_S.png,Resources/T_B_C.png,Resources/T_B_S.png,Resources/T_Y_C.png,Resources/N_B_C.png,Resources/N_Y_S.png,Resources/N_Y_C.png","medium,high,low,medium,medium,low,high,medium"
T,Y,C,T_Y_C.png,training,2,11,8,medium,shape,color,tail,S,C,Y,B,I2,H2,L1,N,T,4,8_food.png,"Resources/N_B_S.png,Resources/T_Y_S.png,Resources/T_B_C.png,Resources/T_B_S.png,Resources/T_Y_C.png,Resources/N_B_C.png,Resources/N_Y_S.png,Resources/N_Y_C.png","medium,high,low,medium,medium,low,high,medium"
N,Y,C,N_Y_C.png,training,2,12,4,medium,shape,color,tail,S,C,Y,B,I1,H2,L1,N,T,4,4_food.png,"Resources/N_B_S.png,Resources/T_Y_S.png,Resources/T_B_C.png,Resources/T_B_S.png,Resources/T_Y_C.png,Resources/N_B_C.png,Resources/N_Y_S.png,Resources/N_Y_C.png","medium,high,low,medium,medium,low,high,medium"
N,B,S,N_B_S.png,training,2,13,4,medium,shape,color,tail,S,C,Y,B,I1,L2,H1,N,T,4,4_food.png,"Resources/N_B_S.png,Resources/T_Y_S.png,Resources/T_B_C.png,Resources/T_B_S.png,Resources/T_Y_C.png,Resources/N_B_C.png,Resources/N_Y_S.png,Resources/N_Y_C.png","medium,high,low,medium,medium,low,high,medium"
