tail,color,shape,image_file,phase,rep,trial_num,food_amount,category,mapping,tail_rel,color_rel,shape_rel,participant_id,food_image_file,images_list,testing_categories
T,Y,C,T_Y_C.png,training,1,1,8,high,"{'relevant_dims': ['tail', 'color'], 'irrelevant_dim': 'shape', 'assignments': {'tail': {'high': 'T', 'low': 'N'}, 'color': {'high': 'Y', 'low': 'B'}}}",R1,R2,I1,2,8_food.png,"Resources/N_Y_C.png,Resources/N_B_S.png,Resources/N_Y_S.png,Resources/T_B_C.png,Resources/T_Y_S.png,Resources/T_Y_C.png,Resources/T_B_S.png,Resources/N_B_C.png","medium,low,medium,medium,high,high,medium,low"
T,B,C,T_B_C.png,training,1,2,6,medium,"{'relevant_dims': ['tail', 'color'], 'irrelevant_dim': 'shape', 'assignments': {'tail': {'high': 'T', 'low': 'N'}, 'color': {'high': 'Y', 'low': 'B'}}}",R1,L2,I1,2,6_food.png,"Resources/N_Y_C.png,Resources/N_B_S.png,Resources/N_Y_S.png,Resources/T_B_C.png,Resources/T_Y_S.png,Resources/T_Y_C.png,Resources/T_B_S.png,Resources/N_B_C.png","medium,low,medium,medium,high,high,medium,low"
N,B,C,N_B_C.png,training,1,3,6,low,"{'relevant_dims': ['tail', 'color'], 'irrelevant_dim': 'shape', 'assignments': {'tail': {'high': 'T', 'low': 'N'}, 'color': {'high': 'Y', 'low': 'B'}}}",L1,L2,I1,2,6_food.png,"Resources/N_Y_C.png,Resources/N_B_S.png,Resources/N_Y_S.png,Resources/T_B_C.png,Resources/T_Y_S.png,Resources/T_Y_C.png,Resources/T_B_S.png,Resources/N_B_C.png","medium,low,medium,medium,high,high,medium,low"
T,B,S,T_B_S.png,training,1,4,3,medium,"{'relevant_dims': ['tail', 'color'], 'irrelevant_dim': 'shape', 'assignments': {'tail': {'high': 'T', 'low': 'N'}, 'color': {'high': 'Y', 'low': 'B'}}}",R1,L2,I2,2,3_food.png,"Resources/N_Y_C.png,Resources/N_B_S.png,Resources/N_Y_S.png,Resources/T_B_C.png,Resources/T_Y_S.png,Resources/T_Y_C.png,Resources/T_B_S.png,Resources/N_B_C.png","medium,low,medium,medium,high,high,medium,low"
N,Y,S,N_Y_S.png,training,1,5,6,medium,"{'relevant_dims': ['tail', 'color'], 'irrelevant_dim': 'shape', 'assignments': {'tail': {'high': 'T', 'low': 'N'}, 'color': {'high': 'Y', 'low': 'B'}}}",L1,R2,I2,2,6_food.png,"Resources/N_Y_C.png,Resources/N_B_S.png,Resources/N_Y_S.png,Resources/T_B_C.png,Resources/T_Y_S.png,Resources/T_Y_C.png,Resources/T_B_S.png,Resources/N_B_C.png","medium,low,medium,medium,high,high,medium,low"
N,B,S,N_B_S.png,training,1,6,4,low,"{'relevant_dims': ['tail', 'color'], 'irrelevant_dim': 'shape', 'assignments': {'tail': {'high': 'T', 'low': 'N'}, 'color': {'high': 'Y', 'low': 'B'}}}",L1,L2,I2,2,4_food.png,"Resources/N_Y_C.png,Resources/N_B_S.png,Resources/N_Y_S.png,Resources/T_B_C.png,Resources/T_Y_S.png,Resources/T_Y_C.png,Resources/T_B_S.png,Resources/N_B_C.png","medium,low,medium,medium,high,high,medium,low"
N,Y,C,N_Y_C.png,training,1,7,3,medium,"{'relevant_dims': ['tail', 'color'], 'irrelevant_dim': 'shape', 'assignments': {'tail': {'high': 'T', 'low': 'N'}, 'color': {'high': 'Y', 'low': 'B'}}}",L1,R2,I1,2,3_food.png,"Resources/N_Y_C.png,Resources/N_B_S.png,Resources/N_Y_S.png,Resources/T_B_C.png,Resources/T_Y_S.png,Resources/T_Y_C.png,Resources/T_B_S.png,Resources/N_B_C.png","medium,low,medium,medium,high,high,medium,low"
T,Y,S,T_Y_S.png,training,1,8,10,high,"{'relevant_dims': ['tail', 'color'], 'irrelevant_dim': 'shape', 'assignments': {'tail': {'high': 'T', 'low': 'N'}, 'color': {'high': 'Y', 'low': 'B'}}}",R1,R2,I2,2,10_food.png,"Resources/N_Y_C.png,Resources/N_B_S.png,Resources/N_Y_S.png,Resources/T_B_C.png,Resources/T_Y_S.png,Resources/T_Y_C.png,Resources/T_B_S.png,Resources/N_B_C.png","medium,low,medium,medium,high,high,medium,low"
T,Y,S,T_Y_S.png,training,2,9,8,high,"{'relevant_dims': ['tail', 'color'], 'irrelevant_dim': 'shape', 'assignments': {'tail': {'high': 'T', 'low': 'N'}, 'color': {'high': 'Y', 'low': 'B'}}}",R1,R2,I2,2,8_food.png,"Resources/N_Y_C.png,Resources/N_B_S.png,Resources/N_Y_S.png,Resources/T_B_C.png,Resources/T_Y_S.png,Resources/T_Y_C.png,Resources/T_B_S.png,Resources/N_B_C.png","medium,low,medium,medium,high,high,medium,low"
T,B,S,T_B_S.png,training,2,10,6,medium,"{'relevant_dims': ['tail', 'color'], 'irrelevant_dim': 'shape', 'assignments': {'tail': {'high': 'T', 'low': 'N'}, 'color': {'high': 'Y', 'low': 'B'}}}",R1,L2,I2,2,6_food.png,"Resources/N_Y_C.png,Resources/N_B_S.png,Resources/N_Y_S.png,Resources/T_B_C.png,Resources/T_Y_S.png,Resources/T_Y_C.png,Resources/T_B_S.png,Resources/N_B_C.png","medium,low,medium,medium,high,high,medium,low"
