tail,color,shape,image_file,phase,rep,trial_num,food_amount,category,mapping,tail_rel,color_rel,shape_rel,participant_id,food_image_file,images_list,testing_categories
T,B,S,T_B_S.png,training,1,1,5,medium,"{'relevant_dims': ['tail', 'color'], 'irrelevant_dim': 'shape', 'assignments': {'tail': {'high': 'T', 'low': 'N'}, 'color': {'high': 'Y', 'low': 'B'}}}",R1,L2,I1,3,5_food.png,"Resources/T_B_S.png,Resources/T_Y_C.png,Resources/T_Y_S.png,Resources/N_B_S.png,Resources/N_Y_S.png,Resources/N_Y_C.png,Resources/N_B_C.png,Resources/T_B_C.png","medium,high,high,low,medium,medium,low,medium"
T,Y,S,T_Y_S.png,training,1,2,9,high,"{'relevant_dims': ['tail', 'color'], 'irrelevant_dim': 'shape', 'assignments': {'tail': {'high': 'T', 'low': 'N'}, 'color': {'high': 'Y', 'low': 'B'}}}",R1,R2,I1,3,9_food.png,"Resources/T_B_S.png,Resources/T_Y_C.png,Resources/T_Y_S.png,Resources/N_B_S.png,Resources/N_Y_S.png,Resources/N_Y_C.png,Resources/N_B_C.png,Resources/T_B_C.png","medium,high,high,low,medium,medium,low,medium"
T,B,C,T_B_C.png,training,1,3,6,medium,"{'relevant_dims': ['tail', 'color'], 'irrelevant_dim': 'shape', 'assignments': {'tail': {'high': 'T', 'low': 'N'}, 'color': {'high': 'Y', 'low': 'B'}}}",R1,L2,I2,3,6_food.png,"Resources/T_B_S.png,Resources/T_Y_C.png,Resources/T_Y_S.png,Resources/N_B_S.png,Resources/N_Y_S.png,Resources/N_Y_C.png,Resources/N_B_C.png,Resources/T_B_C.png","medium,high,high,low,medium,medium,low,medium"
N,B,S,N_B_S.png,training,1,4,3,low,"{'relevant_dims': ['tail', 'color'], 'irrelevant_dim': 'shape', 'assignments': {'tail': {'high': 'T', 'low': 'N'}, 'color': {'high': 'Y', 'low': 'B'}}}",L1,L2,I1,3,3_food.png,"Resources/T_B_S.png,Resources/T_Y_C.png,Resources/T_Y_S.png,Resources/N_B_S.png,Resources/N_Y_S.png,Resources/N_Y_C.png,Resources/N_B_C.png,Resources/T_B_C.png","medium,high,high,low,medium,medium,low,medium"
N,Y,C,N_Y_C.png,training,1,5,6,medium,"{'relevant_dims': ['tail', 'color'], 'irrelevant_dim': 'shape', 'assignments': {'tail': {'high': 'T', 'low': 'N'}, 'color': {'high': 'Y', 'low': 'B'}}}",L1,R2,I2,3,6_food.png,"Resources/T_B_S.png,Resources/T_Y_C.png,Resources/T_Y_S.png,Resources/N_B_S.png,Resources/N_Y_S.png,Resources/N_Y_C.png,Resources/N_B_C.png,Resources/T_B_C.png","medium,high,high,low,medium,medium,low,medium"
N,B,C,N_B_C.png,training,1,6,5,low,"{'relevant_dims': ['tail', 'color'], 'irrelevant_dim': 'shape', 'assignments': {'tail': {'high': 'T', 'low': 'N'}, 'color': {'high': 'Y', 'low': 'B'}}}",L1,L2,I2,3,5_food.png,"Resources/T_B_S.png,Resources/T_Y_C.png,Resources/T_Y_S.png,Resources/N_B_S.png,Resources/N_Y_S.png,Resources/N_Y_C.png,Resources/N_B_C.png,Resources/T_B_C.png","medium,high,high,low,medium,medium,low,medium"
N,Y,S,N_Y_S.png,training,1,7,5,medium,"{'relevant_dims': ['tail', 'color'], 'irrelevant_dim': 'shape', 'assignments': {'tail': {'high': 'T', 'low': 'N'}, 'color': {'high': 'Y', 'low': 'B'}}}",L1,R2,I1,3,5_food.png,"Resources/T_B_S.png,Resources/T_Y_C.png,Resources/T_Y_S.png,Resources/N_B_S.png,Resources/N_Y_S.png,Resources/N_Y_C.png,Resources/N_B_C.png,Resources/T_B_C.png","medium,high,high,low,medium,medium,low,medium"
T,Y,C,T_Y_C.png,training,1,8,7,high,"{'relevant_dims': ['tail', 'color'], 'irrelevant_dim': 'shape', 'assignments': {'tail': {'high': 'T', 'low': 'N'}, 'color': {'high': 'Y', 'low': 'B'}}}",R1,R2,I2,3,7_food.png,"Resources/T_B_S.png,Resources/T_Y_C.png,Resources/T_Y_S.png,Resources/N_B_S.png,Resources/N_Y_S.png,Resources/N_Y_C.png,Resources/N_B_C.png,Resources/T_B_C.png","medium,high,high,low,medium,medium,low,medium"
N,Y,C,N_Y_C.png,training,2,9,7,medium,"{'relevant_dims': ['tail', 'color'], 'irrelevant_dim': 'shape', 'assignments': {'tail': {'high': 'T', 'low': 'N'}, 'color': {'high': 'Y', 'low': 'B'}}}",L1,R2,I2,3,7_food.png,"Resources/T_B_S.png,Resources/T_Y_C.png,Resources/T_Y_S.png,Resources/N_B_S.png,Resources/N_Y_S.png,Resources/N_Y_C.png,Resources/N_B_C.png,Resources/T_B_C.png","medium,high,high,low,medium,medium,low,medium"
T,B,C,T_B_C.png,training,2,10,5,medium,"{'relevant_dims': ['tail', 'color'], 'irrelevant_dim': 'shape', 'assignments': {'tail': {'high': 'T', 'low': 'N'}, 'color': {'high': 'Y', 'low': 'B'}}}",R1,L2,I2,3,5_food.png,"Resources/T_B_S.png,Resources/T_Y_C.png,Resources/T_Y_S.png,Resources/N_B_S.png,Resources/N_Y_S.png,Resources/N_Y_C.png,Resources/N_B_C.png,Resources/T_B_C.png","medium,high,high,low,medium,medium,low,medium"
