wing,color,tail,image_file,phase,rep,trial_num,food_amount,category,relevant_dim_1,relevant_dim_2,irrelevant_dim,tail_high,tail_low,wing_high,wing_low,wing_rel,color_rel,tail_rel,color_high,color_low,participant_id,food_image_file,images_list,testing_categories
T,B,S,T_B_S.png,training,1,1,6,medium,tail,wing,color,C,S,T,N,H2,I2,L1,Y,B,129,6_food.png,"Resources/N_Y_C.png,Resources/N_B_C.png,Resources/N_Y_S.png,Resources/T_B_C.png,Resources/N_B_S.png,Resources/T_Y_S.png,Resources/T_B_S.png,Resources/T_Y_C.png","medium,medium,low,high,low,medium,medium,high"
N,B,C,N_B_C.png,training,1,2,7,medium,tail,wing,color,C,S,T,N,L2,I2,H1,Y,B,129,7_food.png,"Resources/N_Y_C.png,Resources/N_B_C.png,Resources/N_Y_S.png,Resources/T_B_C.png,Resources/N_B_S.png,Resources/T_Y_S.png,Resources/T_B_S.png,Resources/T_Y_C.png","medium,medium,low,high,low,medium,medium,high"
T,B,C,T_B_C.png,training,1,3,8,high,tail,wing,color,C,S,T,N,H2,I2,H1,Y,B,129,8_food.png,"Resources/N_Y_C.png,Resources/N_B_C.png,Resources/N_Y_S.png,Resources/T_B_C.png,Resources/N_B_S.png,Resources/T_Y_S.png,Resources/T_B_S.png,Resources/T_Y_C.png","medium,medium,low,high,low,medium,medium,high"
N,Y,S,N_Y_S.png,training,1,4,6,low,tail,wing,color,C,S,T,N,L2,I1,L1,Y,B,129,6_food.png,"Resources/N_Y_C.png,Resources/N_B_C.png,Resources/N_Y_S.png,Resources/T_B_C.png,Resources/N_B_S.png,Resources/T_Y_S.png,Resources/T_B_S.png,Resources/T_Y_C.png","medium,medium,low,high,low,medium,medium,high"
T,Y,C,T_Y_C.png,training,1,5,8,high,tail,wing,color,C,S,T,N,H2,I1,H1,Y,B,129,8_food.png,"Resources/N_Y_C.png,Resources/N_B_C.png,Resources/N_Y_S.png,Resources/T_B_C.png,Resources/N_B_S.png,Resources/T_Y_S.png,Resources/T_B_S.png,Resources/T_Y_C.png","medium,medium,low,high,low,medium,medium,high"
T,Y,S,T_Y_S.png,training,1,6,4,medium,tail,wing,color,C,S,T,N,H2,I1,L1,Y,B,129,4_food.png,"Resources/N_Y_C.png,Resources/N_B_C.png,Resources/N_Y_S.png,Resources/T_B_C.png,Resources/N_B_S.png,Resources/T_Y_S.png,Resources/T_B_S.png,Resources/T_Y_C.png","medium,medium,low,high,low,medium,medium,high"
N,Y,C,N_Y_C.png,training,1,7,3,medium,tail,wing,color,C,S,T,N,L2,I1,H1,Y,B,129,3_food.png,"Resources/N_Y_C.png,Resources/N_B_C.png,Resources/N_Y_S.png,Resources/T_B_C.png,Resources/N_B_S.png,Resources/T_Y_S.png,Resources/T_B_S.png,Resources/T_Y_C.png","medium,medium,low,high,low,medium,medium,high"
N,B,S,N_B_S.png,training,1,8,2,low,tail,wing,color,C,S,T,N,L2,I2,L1,Y,B,129,2_food.png,"Resources/N_Y_C.png,Resources/N_B_C.png,Resources/N_Y_S.png,Resources/T_B_C.png,Resources/N_B_S.png,Resources/T_Y_S.png,Resources/T_B_S.png,Resources/T_Y_C.png","medium,medium,low,high,low,medium,medium,high"
T,B,C,T_B_C.png,training,2,9,6,high,tail,wing,color,C,S,T,N,H2,I2,H1,Y,B,129,6_food.png,"Resources/N_Y_C.png,Resources/N_B_C.png,Resources/N_Y_S.png,Resources/T_B_C.png,Resources/N_B_S.png,Resources/T_Y_S.png,Resources/T_B_S.png,Resources/T_Y_C.png","medium,medium,low,high,low,medium,medium,high"
T,Y,C,T_Y_C.png,training,2,10,8,high,tail,wing,color,C,S,T,N,H2,I1,H1,Y,B,129,8_food.png,"Resources/N_Y_C.png,Resources/N_B_C.png,Resources/N_Y_S.png,Resources/T_B_C.png,Resources/N_B_S.png,Resources/T_Y_S.png,Resources/T_B_S.png,Resources/T_Y_C.png","medium,medium,low,high,low,medium,medium,high"
T,Y,S,T_Y_S.png,training,2,11,5,medium,tail,wing,color,C,S,T,N,H2,I1,L1,Y,B,129,5_food.png,"Resources/N_Y_C.png,Resources/N_B_C.png,Resources/N_Y_S.png,Resources/T_B_C.png,Resources/N_B_S.png,Resources/T_Y_S.png,Resources/T_B_S.png,Resources/T_Y_C.png","medium,medium,low,high,low,medium,medium,high"
T,B,S,T_B_S.png,training,2,12,5,medium,tail,wing,color,C,S,T,N,H2,I2,L1,Y,B,129,5_food.png,"Resources/N_Y_C.png,Resources/N_B_C.png,Resources/N_Y_S.png,Resources/T_B_C.png,Resources/N_B_S.png,Resources/T_Y_S.png,Resources/T_B_S.png,Resources/T_Y_C.png","medium,medium,low,high,low,medium,medium,high"
N,B,S,N_B_S.png,training,2,13,1,low,tail,wing,color,C,S,T,N,L2,I2,L1,Y,B,129,1_food.png,"Resources/N_Y_C.png,Resources/N_B_C.png,Resources/N_Y_S.png,Resources/T_B_C.png,Resources/N_B_S.png,Resources/T_Y_S.png,Resources/T_B_S.png,Resources/T_Y_C.png","medium,medium,low,high,low,medium,medium,high"
N,Y,C,N_Y_C.png,training,2,14,7,medium,tail,wing,color,C,S,T,N,L2,I1,H1,Y,B,129,7_food.png,"Resources/N_Y_C.png,Resources/N_B_C.png,Resources/N_Y_S.png,Resources/T_B_C.png,Resources/N_B_S.png,Resources/T_Y_S.png,Resources/T_B_S.png,Resources/T_Y_C.png","medium,medium,low,high,low,medium,medium,high"
N,Y,S,N_Y_S.png,training,2,15,7,low,tail,wing,color,C,S,T,N,L2,I1,L1,Y,B,129,7_food.png,"Resources/N_Y_C.png,Resources/N_B_C.png,Resources/N_Y_S.png,Resources/T_B_C.png,Resources/N_B_S.png,Resources/T_Y_S.png,Resources/T_B_S.png,Resources/T_Y_C.png","medium,medium,low,high,low,medium,medium,high"
N,B,C,N_B_C.png,training,2,16,5,medium,tail,wing,color,C,S,T,N,L2,I2,H1,Y,B,129,5_food.png,"Resources/N_Y_C.png,Resources/N_B_C.png,Resources/N_Y_S.png,Resources/T_B_C.png,Resources/N_B_S.png,Resources/T_Y_S.png,Resources/T_B_S.png,Resources/T_Y_C.png","medium,medium,low,high,low,medium,medium,high"
