wing,color,image_file,phase,rep,trial_num,food_amount,category,relevant_dim,irrelevant_dim,color_high,color_low,wing_high,wing_low,participant_id,food_image_file,images_list,testing_categories
N,B,N_B.png,training,1,1,3,low,color,wing,Y,B,N,T,112,3_food.png,"Resources/T_B_C.png,Resources/T_B_S.png,Resources/T_Y_C.png,Resources/T_Y_S.png,Resources/N_B_S.png,Resources/N_Y_S.png,Resources/N_B_C.png,Resources/N_Y_C.png","low,low,high,high,low,high,low,high"
T,B,T_B.png,training,1,2,1,low,color,wing,Y,B,N,T,112,1_food.png,"Resources/T_B_C.png,Resources/T_B_S.png,Resources/T_Y_C.png,Resources/T_Y_S.png,Resources/N_B_S.png,Resources/N_Y_S.png,Resources/N_B_C.png,Resources/N_Y_C.png","low,low,high,high,low,high,low,high"
N,Y,N_Y.png,training,1,3,5,high,color,wing,Y,B,N,T,112,5_food.png,"Resources/T_B_C.png,Resources/T_B_S.png,Resources/T_Y_C.png,Resources/T_Y_S.png,Resources/N_B_S.png,Resources/N_Y_S.png,Resources/N_B_C.png,Resources/N_Y_C.png","low,low,high,high,low,high,low,high"
T,Y,T_Y.png,training,1,4,5,high,color,wing,Y,B,N,T,112,5_food.png,"Resources/T_B_C.png,Resources/T_B_S.png,Resources/T_Y_C.png,Resources/T_Y_S.png,Resources/N_B_S.png,Resources/N_Y_S.png,Resources/N_B_C.png,Resources/N_Y_C.png","low,low,high,high,low,high,low,high"
T,Y,T_Y.png,training,2,5,6,high,color,wing,Y,B,N,T,112,6_food.png,"Resources/T_B_C.png,Resources/T_B_S.png,Resources/T_Y_C.png,Resources/T_Y_S.png,Resources/N_B_S.png,Resources/N_Y_S.png,Resources/N_B_C.png,Resources/N_Y_C.png","low,low,high,high,low,high,low,high"
T,B,T_B.png,training,2,6,1,low,color,wing,Y,B,N,T,112,1_food.png,"Resources/T_B_C.png,Resources/T_B_S.png,Resources/T_Y_C.png,Resources/T_Y_S.png,Resources/N_B_S.png,Resources/N_Y_S.png,Resources/N_B_C.png,Resources/N_Y_C.png","low,low,high,high,low,high,low,high"
N,Y,N_Y.png,training,2,7,6,high,color,wing,Y,B,N,T,112,6_food.png,"Resources/T_B_C.png,Resources/T_B_S.png,Resources/T_Y_C.png,Resources/T_Y_S.png,Resources/N_B_S.png,Resources/N_Y_S.png,Resources/N_B_C.png,Resources/N_Y_C.png","low,low,high,high,low,high,low,high"
N,B,N_B.png,training,2,8,1,low,color,wing,Y,B,N,T,112,1_food.png,"Resources/T_B_C.png,Resources/T_B_S.png,Resources/T_Y_C.png,Resources/T_Y_S.png,Resources/N_B_S.png,Resources/N_Y_S.png,Resources/N_B_C.png,Resources/N_Y_C.png","low,low,high,high,low,high,low,high"
T,Y,T_Y.png,training,3,9,5,high,color,wing,Y,B,N,T,112,5_food.png,"Resources/T_B_C.png,Resources/T_B_S.png,Resources/T_Y_C.png,Resources/T_Y_S.png,Resources/N_B_S.png,Resources/N_Y_S.png,Resources/N_B_C.png,Resources/N_Y_C.png","low,low,high,high,low,high,low,high"
N,Y,N_Y.png,training,3,10,7,high,color,wing,Y,B,N,T,112,7_food.png,"Resources/T_B_C.png,Resources/T_B_S.png,Resources/T_Y_C.png,Resources/T_Y_S.png,Resources/N_B_S.png,Resources/N_Y_S.png,Resources/N_B_C.png,Resources/N_Y_C.png","low,low,high,high,low,high,low,high"
N,B,N_B.png,training,3,11,3,low,color,wing,Y,B,N,T,112,3_food.png,"Resources/T_B_C.png,Resources/T_B_S.png,Resources/T_Y_C.png,Resources/T_Y_S.png,Resources/N_B_S.png,Resources/N_Y_S.png,Resources/N_B_C.png,Resources/N_Y_C.png","low,low,high,high,low,high,low,high"
T,B,T_B.png,training,3,12,2,low,color,wing,Y,B,N,T,112,2_food.png,"Resources/T_B_C.png,Resources/T_B_S.png,Resources/T_Y_C.png,Resources/T_Y_S.png,Resources/N_B_S.png,Resources/N_Y_S.png,Resources/N_B_C.png,Resources/N_Y_C.png","low,low,high,high,low,high,low,high"
