wing,color,tail,image_file,phase,rep,trial_num,food_amount,category,relevant_dim_1,relevant_dim_2,irrelevant_dim,tail_high,tail_low,wing_high,wing_low,wing_rel,color_rel,tail_rel,color_high,color_low,participant_id,food_image_file,images_list,testing_categories
N,B,S,N_B_S.png,training,1,1,4,low,tail,wing,color,C,S,T,N,L2,I2,L1,Y,B,21,4_food.png,"Resources/T_B_C.png,Resources/N_Y_S.png,Resources/T_Y_S.png,Resources/N_B_S.png,Resources/T_Y_C.png,Resources/T_B_S.png,Resources/N_Y_C.png,Resources/N_B_C.png","high,low,medium,low,high,medium,medium,medium"
T,B,C,T_B_C.png,training,1,2,6,high,tail,wing,color,C,S,T,N,H2,I2,H1,Y,B,21,6_food.png,"Resources/T_B_C.png,Resources/N_Y_S.png,Resources/T_Y_S.png,Resources/N_B_S.png,Resources/T_Y_C.png,Resources/T_B_S.png,Resources/N_Y_C.png,Resources/N_B_C.png","high,low,medium,low,high,medium,medium,medium"
T,Y,C,T_Y_C.png,training,1,3,8,high,tail,wing,color,C,S,T,N,H2,I1,H1,Y,B,21,8_food.png,"Resources/T_B_C.png,Resources/N_Y_S.png,Resources/T_Y_S.png,Resources/N_B_S.png,Resources/T_Y_C.png,Resources/T_B_S.png,Resources/N_Y_C.png,Resources/N_B_C.png","high,low,medium,low,high,medium,medium,medium"
N,Y,C,N_Y_C.png,training,1,4,4,medium,tail,wing,color,C,S,T,N,L2,I1,H1,Y,B,21,4_food.png,"Resources/T_B_C.png,Resources/N_Y_S.png,Resources/T_Y_S.png,Resources/N_B_S.png,Resources/T_Y_C.png,Resources/T_B_S.png,Resources/N_Y_C.png,Resources/N_B_C.png","high,low,medium,low,high,medium,medium,medium"
N,Y,S,N_Y_S.png,training,1,5,1,low,tail,wing,color,C,S,T,N,L2,I1,L1,Y,B,21,1_food.png,"Resources/T_B_C.png,Resources/N_Y_S.png,Resources/T_Y_S.png,Resources/N_B_S.png,Resources/T_Y_C.png,Resources/T_B_S.png,Resources/N_Y_C.png,Resources/N_B_C.png","high,low,medium,low,high,medium,medium,medium"
N,B,C,N_B_C.png,training,1,6,5,medium,tail,wing,color,C,S,T,N,L2,I2,H1,Y,B,21,5_food.png,"Resources/T_B_C.png,Resources/N_Y_S.png,Resources/T_Y_S.png,Resources/N_B_S.png,Resources/T_Y_C.png,Resources/T_B_S.png,Resources/N_Y_C.png,Resources/N_B_C.png","high,low,medium,low,high,medium,medium,medium"
T,Y,S,T_Y_S.png,training,1,7,6,medium,tail,wing,color,C,S,T,N,H2,I1,L1,Y,B,21,6_food.png,"Resources/T_B_C.png,Resources/N_Y_S.png,Resources/T_Y_S.png,Resources/N_B_S.png,Resources/T_Y_C.png,Resources/T_B_S.png,Resources/N_Y_C.png,Resources/N_B_C.png","high,low,medium,low,high,medium,medium,medium"
T,B,S,T_B_S.png,training,1,8,4,medium,tail,wing,color,C,S,T,N,H2,I2,L1,Y,B,21,4_food.png,"Resources/T_B_C.png,Resources/N_Y_S.png,Resources/T_Y_S.png,Resources/N_B_S.png,Resources/T_Y_C.png,Resources/T_B_S.png,Resources/N_Y_C.png,Resources/N_B_C.png","high,low,medium,low,high,medium,medium,medium"
T,Y,S,T_Y_S.png,training,2,9,6,medium,tail,wing,color,C,S,T,N,H2,I1,L1,Y,B,21,6_food.png,"Resources/T_B_C.png,Resources/N_Y_S.png,Resources/T_Y_S.png,Resources/N_B_S.png,Resources/T_Y_C.png,Resources/T_B_S.png,Resources/N_Y_C.png,Resources/N_B_C.png","high,low,medium,low,high,medium,medium,medium"
T,B,C,T_B_C.png,training,2,10,7,high,tail,wing,color,C,S,T,N,H2,I2,H1,Y,B,21,7_food.png,"Resources/T_B_C.png,Resources/N_Y_S.png,Resources/T_Y_S.png,Resources/N_B_S.png,Resources/T_Y_C.png,Resources/T_B_S.png,Resources/N_Y_C.png,Resources/N_B_C.png","high,low,medium,low,high,medium,medium,medium"
