wing,color,image_file,phase,rep,trial_num,food_amount,category,relevant_dim,irrelevant_dim,wing_high,wing_low,color_high,color_low,participant_id,food_image_file,images_list,testing_categories
N,B,N_B.png,training,1,1,3,low,wing,color,T,N,Y,B,157,3_food.png,"Resources/N_B.png,Resources/N_Y.png,Resources/T_B.png,Resources/T_Y.png,Resources/N_B.png,Resources/T_B.png,Resources/N_Y.png,Resources/T_Y.png","low,low,high,high,low,high,low,high"
T,B,T_B.png,training,1,2,8,high,wing,color,T,N,Y,B,157,8_food.png,"Resources/N_B.png,Resources/N_Y.png,Resources/T_B.png,Resources/T_Y.png,Resources/N_B.png,Resources/T_B.png,Resources/N_Y.png,Resources/T_Y.png","low,low,high,high,low,high,low,high"
T,Y,T_Y.png,training,1,3,8,high,wing,color,T,N,Y,B,157,8_food.png,"Resources/N_B.png,Resources/N_Y.png,Resources/T_B.png,Resources/T_Y.png,Resources/N_B.png,Resources/T_B.png,Resources/N_Y.png,Resources/T_Y.png","low,low,high,high,low,high,low,high"
N,Y,N_Y.png,training,1,4,3,low,wing,color,T,N,Y,B,157,3_food.png,"Resources/N_B.png,Resources/N_Y.png,Resources/T_B.png,Resources/T_Y.png,Resources/N_B.png,Resources/T_B.png,Resources/N_Y.png,Resources/T_Y.png","low,low,high,high,low,high,low,high"
N,B,N_B.png,training,2,5,1,low,wing,color,T,N,Y,B,157,1_food.png,"Resources/N_B.png,Resources/N_Y.png,Resources/T_B.png,Resources/T_Y.png,Resources/N_B.png,Resources/T_B.png,Resources/N_Y.png,Resources/T_Y.png","low,low,high,high,low,high,low,high"
N,Y,N_Y.png,training,2,6,4,low,wing,color,T,N,Y,B,157,4_food.png,"Resources/N_B.png,Resources/N_Y.png,Resources/T_B.png,Resources/T_Y.png,Resources/N_B.png,Resources/T_B.png,Resources/N_Y.png,Resources/T_Y.png","low,low,high,high,low,high,low,high"
T,Y,T_Y.png,training,2,7,8,high,wing,color,T,N,Y,B,157,8_food.png,"Resources/N_B.png,Resources/N_Y.png,Resources/T_B.png,Resources/T_Y.png,Resources/N_B.png,Resources/T_B.png,Resources/N_Y.png,Resources/T_Y.png","low,low,high,high,low,high,low,high"
T,B,T_B.png,training,2,8,8,high,wing,color,T,N,Y,B,157,8_food.png,"Resources/N_B.png,Resources/N_Y.png,Resources/T_B.png,Resources/T_Y.png,Resources/N_B.png,Resources/T_B.png,Resources/N_Y.png,Resources/T_Y.png","low,low,high,high,low,high,low,high"
T,B,T_B.png,training,3,9,9,high,wing,color,T,N,Y,B,157,9_food.png,"Resources/N_B.png,Resources/N_Y.png,Resources/T_B.png,Resources/T_Y.png,Resources/N_B.png,Resources/T_B.png,Resources/N_Y.png,Resources/T_Y.png","low,low,high,high,low,high,low,high"
N,B,N_B.png,training,3,10,4,low,wing,color,T,N,Y,B,157,4_food.png,"Resources/N_B.png,Resources/N_Y.png,Resources/T_B.png,Resources/T_Y.png,Resources/N_B.png,Resources/T_B.png,Resources/N_Y.png,Resources/T_Y.png","low,low,high,high,low,high,low,high"
T,Y,T_Y.png,training,3,11,8,high,wing,color,T,N,Y,B,157,8_food.png,"Resources/N_B.png,Resources/N_Y.png,Resources/T_B.png,Resources/T_Y.png,Resources/N_B.png,Resources/T_B.png,Resources/N_Y.png,Resources/T_Y.png","low,low,high,high,low,high,low,high"
N,Y,N_Y.png,training,3,12,5,low,wing,color,T,N,Y,B,157,5_food.png,"Resources/N_B.png,Resources/N_Y.png,Resources/T_B.png,Resources/T_Y.png,Resources/N_B.png,Resources/T_B.png,Resources/N_Y.png,Resources/T_Y.png","low,low,high,high,low,high,low,high"
