wing,color,image_file,phase,rep,trial_num,food_amount,category,relevant_dim,irrelevant_dim,color_high,color_low,wing_high,wing_low,participant_id,food_image_file,images_list,testing_categories
N,B,N_B.png,training,1,1,4,high,color,wing,B,Y,T,N,122,4_food.png,"Resources/N_Y.png,Resources/N_B.png,Resources/T_B.png,Resources/N_Y.png,Resources/T_Y.png,Resources/T_Y.png,Resources/N_B.png,Resources/T_B.png","low,high,high,low,low,low,high,high"
T,Y,T_Y.png,training,1,2,6,low,color,wing,B,Y,T,N,122,6_food.png,"Resources/N_Y.png,Resources/N_B.png,Resources/T_B.png,Resources/N_Y.png,Resources/T_Y.png,Resources/T_Y.png,Resources/N_B.png,Resources/T_B.png","low,high,high,low,low,low,high,high"
N,Y,N_Y.png,training,1,3,1,low,color,wing,B,Y,T,N,122,1_food.png,"Resources/N_Y.png,Resources/N_B.png,Resources/T_B.png,Resources/N_Y.png,Resources/T_Y.png,Resources/T_Y.png,Resources/N_B.png,Resources/T_B.png","low,high,high,low,low,low,high,high"
T,B,T_B.png,training,1,4,9,high,color,wing,B,Y,T,N,122,9_food.png,"Resources/N_Y.png,Resources/N_B.png,Resources/T_B.png,Resources/N_Y.png,Resources/T_Y.png,Resources/T_Y.png,Resources/N_B.png,Resources/T_B.png","low,high,high,low,low,low,high,high"
T,Y,T_Y.png,training,2,5,8,low,color,wing,B,Y,T,N,122,8_food.png,"Resources/N_Y.png,Resources/N_B.png,Resources/T_B.png,Resources/N_Y.png,Resources/T_Y.png,Resources/T_Y.png,Resources/N_B.png,Resources/T_B.png","low,high,high,low,low,low,high,high"
N,Y,N_Y.png,training,2,6,3,low,color,wing,B,Y,T,N,122,3_food.png,"Resources/N_Y.png,Resources/N_B.png,Resources/T_B.png,Resources/N_Y.png,Resources/T_Y.png,Resources/T_Y.png,Resources/N_B.png,Resources/T_B.png","low,high,high,low,low,low,high,high"
N,B,N_B.png,training,2,7,8,high,color,wing,B,Y,T,N,122,8_food.png,"Resources/N_Y.png,Resources/N_B.png,Resources/T_B.png,Resources/N_Y.png,Resources/T_Y.png,Resources/T_Y.png,Resources/N_B.png,Resources/T_B.png","low,high,high,low,low,low,high,high"
T,B,T_B.png,training,2,8,6,high,color,wing,B,Y,T,N,122,6_food.png,"Resources/N_Y.png,Resources/N_B.png,Resources/T_B.png,Resources/N_Y.png,Resources/T_Y.png,Resources/T_Y.png,Resources/N_B.png,Resources/T_B.png","low,high,high,low,low,low,high,high"
T,Y,T_Y.png,training,3,9,1,low,color,wing,B,Y,T,N,122,1_food.png,"Resources/N_Y.png,Resources/N_B.png,Resources/T_B.png,Resources/N_Y.png,Resources/T_Y.png,Resources/T_Y.png,Resources/N_B.png,Resources/T_B.png","low,high,high,low,low,low,high,high"
N,B,N_B.png,training,3,10,5,high,color,wing,B,Y,T,N,122,5_food.png,"Resources/N_Y.png,Resources/N_B.png,Resources/T_B.png,Resources/N_Y.png,Resources/T_Y.png,Resources/T_Y.png,Resources/N_B.png,Resources/T_B.png","low,high,high,low,low,low,high,high"
N,Y,N_Y.png,training,3,11,4,low,color,wing,B,Y,T,N,122,4_food.png,"Resources/N_Y.png,Resources/N_B.png,Resources/T_B.png,Resources/N_Y.png,Resources/T_Y.png,Resources/T_Y.png,Resources/N_B.png,Resources/T_B.png","low,high,high,low,low,low,high,high"
T,B,T_B.png,training,3,12,9,high,color,wing,B,Y,T,N,122,9_food.png,"Resources/N_Y.png,Resources/N_B.png,Resources/T_B.png,Resources/N_Y.png,Resources/T_Y.png,Resources/T_Y.png,Resources/N_B.png,Resources/T_B.png","low,high,high,low,low,low,high,high"
