wing,color,image_file,phase,rep,trial_num,food_amount,category,relevant_dim,irrelevant_dim,color_high,color_low,wing_high,wing_low,participant_id,food_image_file,images_list,testing_categories
N,Y,N_Y.png,training,1,1,2,low,color,wing,B,Y,T,N,198,2_food.png,"Resources/N_Y.png,Resources/N_Y.png,Resources/N_B.png,Resources/T_B.png,Resources/N_B.png,Resources/T_B.png,Resources/T_Y.png,Resources/T_Y.png","low,low,high,high,high,high,low,low"
T,Y,T_Y.png,training,1,2,6,low,color,wing,B,Y,T,N,198,6_food.png,"Resources/N_Y.png,Resources/N_Y.png,Resources/N_B.png,Resources/T_B.png,Resources/N_B.png,Resources/T_B.png,Resources/T_Y.png,Resources/T_Y.png","low,low,high,high,high,high,low,low"
N,B,N_B.png,training,1,3,6,high,color,wing,B,Y,T,N,198,6_food.png,"Resources/N_Y.png,Resources/N_Y.png,Resources/N_B.png,Resources/T_B.png,Resources/N_B.png,Resources/T_B.png,Resources/T_Y.png,Resources/T_Y.png","low,low,high,high,high,high,low,low"
T,B,T_B.png,training,1,4,7,high,color,wing,B,Y,T,N,198,7_food.png,"Resources/N_Y.png,Resources/N_Y.png,Resources/N_B.png,Resources/T_B.png,Resources/N_B.png,Resources/T_B.png,Resources/T_Y.png,Resources/T_Y.png","low,low,high,high,high,high,low,low"
T,B,T_B.png,training,2,5,8,high,color,wing,B,Y,T,N,198,8_food.png,"Resources/N_Y.png,Resources/N_Y.png,Resources/N_B.png,Resources/T_B.png,Resources/N_B.png,Resources/T_B.png,Resources/T_Y.png,Resources/T_Y.png","low,low,high,high,high,high,low,low"
N,Y,N_Y.png,training,2,6,5,low,color,wing,B,Y,T,N,198,5_food.png,"Resources/N_Y.png,Resources/N_Y.png,Resources/N_B.png,Resources/T_B.png,Resources/N_B.png,Resources/T_B.png,Resources/T_Y.png,Resources/T_Y.png","low,low,high,high,high,high,low,low"
N,B,N_B.png,training,2,7,8,high,color,wing,B,Y,T,N,198,8_food.png,"Resources/N_Y.png,Resources/N_Y.png,Resources/N_B.png,Resources/T_B.png,Resources/N_B.png,Resources/T_B.png,Resources/T_Y.png,Resources/T_Y.png","low,low,high,high,high,high,low,low"
T,Y,T_Y.png,training,2,8,7,low,color,wing,B,Y,T,N,198,7_food.png,"Resources/N_Y.png,Resources/N_Y.png,Resources/N_B.png,Resources/T_B.png,Resources/N_B.png,Resources/T_B.png,Resources/T_Y.png,Resources/T_Y.png","low,low,high,high,high,high,low,low"
N,B,N_B.png,training,3,9,8,high,color,wing,B,Y,T,N,198,8_food.png,"Resources/N_Y.png,Resources/N_Y.png,Resources/N_B.png,Resources/T_B.png,Resources/N_B.png,Resources/T_B.png,Resources/T_Y.png,Resources/T_Y.png","low,low,high,high,high,high,low,low"
N,Y,N_Y.png,training,3,10,9,low,color,wing,B,Y,T,N,198,9_food.png,"Resources/N_Y.png,Resources/N_Y.png,Resources/N_B.png,Resources/T_B.png,Resources/N_B.png,Resources/T_B.png,Resources/T_Y.png,Resources/T_Y.png","low,low,high,high,high,high,low,low"
T,B,T_B.png,training,3,11,10,high,color,wing,B,Y,T,N,198,10_food.png,"Resources/N_Y.png,Resources/N_Y.png,Resources/N_B.png,Resources/T_B.png,Resources/N_B.png,Resources/T_B.png,Resources/T_Y.png,Resources/T_Y.png","low,low,high,high,high,high,low,low"
T,Y,T_Y.png,training,3,12,7,low,color,wing,B,Y,T,N,198,7_food.png,"Resources/N_Y.png,Resources/N_Y.png,Resources/N_B.png,Resources/T_B.png,Resources/N_B.png,Resources/T_B.png,Resources/T_Y.png,Resources/T_Y.png","low,low,high,high,high,high,low,low"
