wing,color,image_file,phase,rep,trial_num,food_amount,category,relevant_dim,irrelevant_dim,color_high,color_low,wing_high,wing_low,participant_id,food_image_file,images_list,testing_categories
T,Y,T_Y.png,training,1,1,5,high,color,wing,Y,B,N,T,160,5_food.png,"Resources/T_Y.png,Resources/T_Y.png,Resources/N_Y.png,Resources/N_B.png,Resources/T_B.png,Resources/N_Y.png,Resources/T_B.png,Resources/N_B.png","high,high,high,low,low,high,low,low"
N,B,N_B.png,training,1,2,3,low,color,wing,Y,B,N,T,160,3_food.png,"Resources/T_Y.png,Resources/T_Y.png,Resources/N_Y.png,Resources/N_B.png,Resources/T_B.png,Resources/N_Y.png,Resources/T_B.png,Resources/N_B.png","high,high,high,low,low,high,low,low"
N,Y,N_Y.png,training,1,3,9,high,color,wing,Y,B,N,T,160,9_food.png,"Resources/T_Y.png,Resources/T_Y.png,Resources/N_Y.png,Resources/N_B.png,Resources/T_B.png,Resources/N_Y.png,Resources/T_B.png,Resources/N_B.png","high,high,high,low,low,high,low,low"
T,B,T_B.png,training,1,4,1,low,color,wing,Y,B,N,T,160,1_food.png,"Resources/T_Y.png,Resources/T_Y.png,Resources/N_Y.png,Resources/N_B.png,Resources/T_B.png,Resources/N_Y.png,Resources/T_B.png,Resources/N_B.png","high,high,high,low,low,high,low,low"
T,B,T_B.png,training,2,5,3,low,color,wing,Y,B,N,T,160,3_food.png,"Resources/T_Y.png,Resources/T_Y.png,Resources/N_Y.png,Resources/N_B.png,Resources/T_B.png,Resources/N_Y.png,Resources/T_B.png,Resources/N_B.png","high,high,high,low,low,high,low,low"
T,Y,T_Y.png,training,2,6,8,high,color,wing,Y,B,N,T,160,8_food.png,"Resources/T_Y.png,Resources/T_Y.png,Resources/N_Y.png,Resources/N_B.png,Resources/T_B.png,Resources/N_Y.png,Resources/T_B.png,Resources/N_B.png","high,high,high,low,low,high,low,low"
N,B,N_B.png,training,2,7,2,low,color,wing,Y,B,N,T,160,2_food.png,"Resources/T_Y.png,Resources/T_Y.png,Resources/N_Y.png,Resources/N_B.png,Resources/T_B.png,Resources/N_Y.png,Resources/T_B.png,Resources/N_B.png","high,high,high,low,low,high,low,low"
N,Y,N_Y.png,training,2,8,8,high,color,wing,Y,B,N,T,160,8_food.png,"Resources/T_Y.png,Resources/T_Y.png,Resources/N_Y.png,Resources/N_B.png,Resources/T_B.png,Resources/N_Y.png,Resources/T_B.png,Resources/N_B.png","high,high,high,low,low,high,low,low"
T,Y,T_Y.png,training,3,9,7,high,color,wing,Y,B,N,T,160,7_food.png,"Resources/T_Y.png,Resources/T_Y.png,Resources/N_Y.png,Resources/N_B.png,Resources/T_B.png,Resources/N_Y.png,Resources/T_B.png,Resources/N_B.png","high,high,high,low,low,high,low,low"
N,Y,N_Y.png,training,3,10,9,high,color,wing,Y,B,N,T,160,9_food.png,"Resources/T_Y.png,Resources/T_Y.png,Resources/N_Y.png,Resources/N_B.png,Resources/T_B.png,Resources/N_Y.png,Resources/T_B.png,Resources/N_B.png","high,high,high,low,low,high,low,low"
T,B,T_B.png,training,3,11,2,low,color,wing,Y,B,N,T,160,2_food.png,"Resources/T_Y.png,Resources/T_Y.png,Resources/N_Y.png,Resources/N_B.png,Resources/T_B.png,Resources/N_Y.png,Resources/T_B.png,Resources/N_B.png","high,high,high,low,low,high,low,low"
N,B,N_B.png,training,3,12,3,low,color,wing,Y,B,N,T,160,3_food.png,"Resources/T_Y.png,Resources/T_Y.png,Resources/N_Y.png,Resources/N_B.png,Resources/T_B.png,Resources/N_Y.png,Resources/T_B.png,Resources/N_B.png","high,high,high,low,low,high,low,low"
