wing,color,image_file,phase,rep,trial_num,food_amount,category,relevant_dim,irrelevant_dim,color_high,color_low,wing_high,wing_low,participant_id,food_image_file,images_list,testing_categories
T,B,T_B.png,training,1,1,7,high,color,wing,B,Y,N,T,110,7_food.png,"Resources/N_B.png,Resources/N_Y.png,Resources/N_Y.png,Resources/T_Y.png,Resources/T_Y.png,Resources/T_B.png,Resources/T_B.png,Resources/N_B.png","high,low,low,low,low,high,high,high"
N,B,N_B.png,training,1,2,8,high,color,wing,B,Y,N,T,110,8_food.png,"Resources/N_B.png,Resources/N_Y.png,Resources/N_Y.png,Resources/T_Y.png,Resources/T_Y.png,Resources/T_B.png,Resources/T_B.png,Resources/N_B.png","high,low,low,low,low,high,high,high"
N,Y,N_Y.png,training,1,3,3,low,color,wing,B,Y,N,T,110,3_food.png,"Resources/N_B.png,Resources/N_Y.png,Resources/N_Y.png,Resources/T_Y.png,Resources/T_Y.png,Resources/T_B.png,Resources/T_B.png,Resources/N_B.png","high,low,low,low,low,high,high,high"
T,Y,T_Y.png,training,1,4,5,low,color,wing,B,Y,N,T,110,5_food.png,"Resources/N_B.png,Resources/N_Y.png,Resources/N_Y.png,Resources/T_Y.png,Resources/T_Y.png,Resources/T_B.png,Resources/T_B.png,Resources/N_B.png","high,low,low,low,low,high,high,high"
N,Y,N_Y.png,training,2,5,4,low,color,wing,B,Y,N,T,110,4_food.png,"Resources/N_B.png,Resources/N_Y.png,Resources/N_Y.png,Resources/T_Y.png,Resources/T_Y.png,Resources/T_B.png,Resources/T_B.png,Resources/N_B.png","high,low,low,low,low,high,high,high"
N,B,N_B.png,training,2,6,10,high,color,wing,B,Y,N,T,110,10_food.png,"Resources/N_B.png,Resources/N_Y.png,Resources/N_Y.png,Resources/T_Y.png,Resources/T_Y.png,Resources/T_B.png,Resources/T_B.png,Resources/N_B.png","high,low,low,low,low,high,high,high"
T,B,T_B.png,training,2,7,6,high,color,wing,B,Y,N,T,110,6_food.png,"Resources/N_B.png,Resources/N_Y.png,Resources/N_Y.png,Resources/T_Y.png,Resources/T_Y.png,Resources/T_B.png,Resources/T_B.png,Resources/N_B.png","high,low,low,low,low,high,high,high"
T,Y,T_Y.png,training,2,8,4,low,color,wing,B,Y,N,T,110,4_food.png,"Resources/N_B.png,Resources/N_Y.png,Resources/N_Y.png,Resources/T_Y.png,Resources/T_Y.png,Resources/T_B.png,Resources/T_B.png,Resources/N_B.png","high,low,low,low,low,high,high,high"
N,Y,N_Y.png,training,3,9,2,low,color,wing,B,Y,N,T,110,2_food.png,"Resources/N_B.png,Resources/N_Y.png,Resources/N_Y.png,Resources/T_Y.png,Resources/T_Y.png,Resources/T_B.png,Resources/T_B.png,Resources/N_B.png","high,low,low,low,low,high,high,high"
T,B,T_B.png,training,3,10,7,high,color,wing,B,Y,N,T,110,7_food.png,"Resources/N_B.png,Resources/N_Y.png,Resources/N_Y.png,Resources/T_Y.png,Resources/T_Y.png,Resources/T_B.png,Resources/T_B.png,Resources/N_B.png","high,low,low,low,low,high,high,high"
N,B,N_B.png,training,3,11,10,high,color,wing,B,Y,N,T,110,10_food.png,"Resources/N_B.png,Resources/N_Y.png,Resources/N_Y.png,Resources/T_Y.png,Resources/T_Y.png,Resources/T_B.png,Resources/T_B.png,Resources/N_B.png","high,low,low,low,low,high,high,high"
T,Y,T_Y.png,training,3,12,5,low,color,wing,B,Y,N,T,110,5_food.png,"Resources/N_B.png,Resources/N_Y.png,Resources/N_Y.png,Resources/T_Y.png,Resources/T_Y.png,Resources/T_B.png,Resources/T_B.png,Resources/N_B.png","high,low,low,low,low,high,high,high"
