wing,color,image_file,phase,rep,trial_num,food_amount,category,relevant_dim,irrelevant_dim,color_high,color_low,wing_high,wing_low,participant_id,food_image_file,images_list,testing_categories
N,B,N_B.png,training,1,1,8,high,color,wing,B,Y,T,N,182,8_food.png,"Resources/N_Y.png,Resources/N_B.png,Resources/T_B.png,Resources/T_Y.png,Resources/T_Y.png,Resources/T_B.png,Resources/N_B.png,Resources/N_Y.png","low,high,high,low,low,high,high,low"
T,Y,T_Y.png,training,1,2,6,low,color,wing,B,Y,T,N,182,6_food.png,"Resources/N_Y.png,Resources/N_B.png,Resources/T_B.png,Resources/T_Y.png,Resources/T_Y.png,Resources/T_B.png,Resources/N_B.png,Resources/N_Y.png","low,high,high,low,low,high,high,low"
N,Y,N_Y.png,training,1,3,3,low,color,wing,B,Y,T,N,182,3_food.png,"Resources/N_Y.png,Resources/N_B.png,Resources/T_B.png,Resources/T_Y.png,Resources/T_Y.png,Resources/T_B.png,Resources/N_B.png,Resources/N_Y.png","low,high,high,low,low,high,high,low"
T,B,T_B.png,training,1,4,5,high,color,wing,B,Y,T,N,182,5_food.png,"Resources/N_Y.png,Resources/N_B.png,Resources/T_B.png,Resources/T_Y.png,Resources/T_Y.png,Resources/T_B.png,Resources/N_B.png,Resources/N_Y.png","low,high,high,low,low,high,high,low"
T,Y,T_Y.png,training,2,5,3,low,color,wing,B,Y,T,N,182,3_food.png,"Resources/N_Y.png,Resources/N_B.png,Resources/T_B.png,Resources/T_Y.png,Resources/T_Y.png,Resources/T_B.png,Resources/N_B.png,Resources/N_Y.png","low,high,high,low,low,high,high,low"
N,Y,N_Y.png,training,2,6,3,low,color,wing,B,Y,T,N,182,3_food.png,"Resources/N_Y.png,Resources/N_B.png,Resources/T_B.png,Resources/T_Y.png,Resources/T_Y.png,Resources/T_B.png,Resources/N_B.png,Resources/N_Y.png","low,high,high,low,low,high,high,low"
T,B,T_B.png,training,2,7,9,high,color,wing,B,Y,T,N,182,9_food.png,"Resources/N_Y.png,Resources/N_B.png,Resources/T_B.png,Resources/T_Y.png,Resources/T_Y.png,Resources/T_B.png,Resources/N_B.png,Resources/N_Y.png","low,high,high,low,low,high,high,low"
N,B,N_B.png,training,2,8,9,high,color,wing,B,Y,T,N,182,9_food.png,"Resources/N_Y.png,Resources/N_B.png,Resources/T_B.png,Resources/T_Y.png,Resources/T_Y.png,Resources/T_B.png,Resources/N_B.png,Resources/N_Y.png","low,high,high,low,low,high,high,low"
T,Y,T_Y.png,training,3,9,2,low,color,wing,B,Y,T,N,182,2_food.png,"Resources/N_Y.png,Resources/N_B.png,Resources/T_B.png,Resources/T_Y.png,Resources/T_Y.png,Resources/T_B.png,Resources/N_B.png,Resources/N_Y.png","low,high,high,low,low,high,high,low"
N,B,N_B.png,training,3,10,5,high,color,wing,B,Y,T,N,182,5_food.png,"Resources/N_Y.png,Resources/N_B.png,Resources/T_B.png,Resources/T_Y.png,Resources/T_Y.png,Resources/T_B.png,Resources/N_B.png,Resources/N_Y.png","low,high,high,low,low,high,high,low"
T,B,T_B.png,training,3,11,9,high,color,wing,B,Y,T,N,182,9_food.png,"Resources/N_Y.png,Resources/N_B.png,Resources/T_B.png,Resources/T_Y.png,Resources/T_Y.png,Resources/T_B.png,Resources/N_B.png,Resources/N_Y.png","low,high,high,low,low,high,high,low"
N,Y,N_Y.png,training,3,12,2,low,color,wing,B,Y,T,N,182,2_food.png,"Resources/N_Y.png,Resources/N_B.png,Resources/T_B.png,Resources/T_Y.png,Resources/T_Y.png,Resources/T_B.png,Resources/N_B.png,Resources/N_Y.png","low,high,high,low,low,high,high,low"
