wing,color,image_file,phase,rep,trial_num,food_amount,category,relevant_dim,irrelevant_dim,color_high,color_low,wing_high,wing_low,participant_id,food_image_file,images_list,testing_categories
T,Y,T_Y.png,training,1,1,3,low,color,wing,B,Y,N,T,90,3_food.png,"Resources/N_Y.png,Resources/N_Y.png,Resources/T_B.png,Resources/N_B.png,Resources/T_Y.png,Resources/T_Y.png,Resources/N_B.png,Resources/T_B.png","low,low,high,high,low,low,high,high"
T,B,T_B.png,training,1,2,8,high,color,wing,B,Y,N,T,90,8_food.png,"Resources/N_Y.png,Resources/N_Y.png,Resources/T_B.png,Resources/N_B.png,Resources/T_Y.png,Resources/T_Y.png,Resources/N_B.png,Resources/T_B.png","low,low,high,high,low,low,high,high"
N,Y,N_Y.png,training,1,3,4,low,color,wing,B,Y,N,T,90,4_food.png,"Resources/N_Y.png,Resources/N_Y.png,Resources/T_B.png,Resources/N_B.png,Resources/T_Y.png,Resources/T_Y.png,Resources/N_B.png,Resources/T_B.png","low,low,high,high,low,low,high,high"
N,B,N_B.png,training,1,4,7,high,color,wing,B,Y,N,T,90,7_food.png,"Resources/N_Y.png,Resources/N_Y.png,Resources/T_B.png,Resources/N_B.png,Resources/T_Y.png,Resources/T_Y.png,Resources/N_B.png,Resources/T_B.png","low,low,high,high,low,low,high,high"
T,Y,T_Y.png,training,2,5,3,low,color,wing,B,Y,N,T,90,3_food.png,"Resources/N_Y.png,Resources/N_Y.png,Resources/T_B.png,Resources/N_B.png,Resources/T_Y.png,Resources/T_Y.png,Resources/N_B.png,Resources/T_B.png","low,low,high,high,low,low,high,high"
T,B,T_B.png,training,2,6,9,high,color,wing,B,Y,N,T,90,9_food.png,"Resources/N_Y.png,Resources/N_Y.png,Resources/T_B.png,Resources/N_B.png,Resources/T_Y.png,Resources/T_Y.png,Resources/N_B.png,Resources/T_B.png","low,low,high,high,low,low,high,high"
N,Y,N_Y.png,training,2,7,4,low,color,wing,B,Y,N,T,90,4_food.png,"Resources/N_Y.png,Resources/N_Y.png,Resources/T_B.png,Resources/N_B.png,Resources/T_Y.png,Resources/T_Y.png,Resources/N_B.png,Resources/T_B.png","low,low,high,high,low,low,high,high"
N,B,N_B.png,training,2,8,8,high,color,wing,B,Y,N,T,90,8_food.png,"Resources/N_Y.png,Resources/N_Y.png,Resources/T_B.png,Resources/N_B.png,Resources/T_Y.png,Resources/T_Y.png,Resources/N_B.png,Resources/T_B.png","low,low,high,high,low,low,high,high"
T,Y,T_Y.png,training,3,9,2,low,color,wing,B,Y,N,T,90,2_food.png,"Resources/N_Y.png,Resources/N_Y.png,Resources/T_B.png,Resources/N_B.png,Resources/T_Y.png,Resources/T_Y.png,Resources/N_B.png,Resources/T_B.png","low,low,high,high,low,low,high,high"
N,B,N_B.png,training,3,10,9,high,color,wing,B,Y,N,T,90,9_food.png,"Resources/N_Y.png,Resources/N_Y.png,Resources/T_B.png,Resources/N_B.png,Resources/T_Y.png,Resources/T_Y.png,Resources/N_B.png,Resources/T_B.png","low,low,high,high,low,low,high,high"
N,Y,N_Y.png,training,3,11,3,low,color,wing,B,Y,N,T,90,3_food.png,"Resources/N_Y.png,Resources/N_Y.png,Resources/T_B.png,Resources/N_B.png,Resources/T_Y.png,Resources/T_Y.png,Resources/N_B.png,Resources/T_B.png","low,low,high,high,low,low,high,high"
T,B,T_B.png,training,3,12,5,high,color,wing,B,Y,N,T,90,5_food.png,"Resources/N_Y.png,Resources/N_Y.png,Resources/T_B.png,Resources/N_B.png,Resources/T_Y.png,Resources/T_Y.png,Resources/N_B.png,Resources/T_B.png","low,low,high,high,low,low,high,high"
