wing,color,image_file,phase,rep,trial_num,food_amount,category,relevant_dim,irrelevant_dim,color_high,color_low,wing_high,wing_low,participant_id,food_image_file,images_list,testing_categories
T,Y,T_Y.png,training,1,1,5,low,color,wing,B,Y,N,T,18,5_food.png,"Resources/T_B.png,Resources/N_Y.png,Resources/T_Y.png,Resources/N_B.png,Resources/N_B.png,Resources/T_Y.png,Resources/T_B.png,Resources/N_Y.png","high,low,low,high,high,low,high,low"
T,B,T_B.png,training,1,2,6,high,color,wing,B,Y,N,T,18,6_food.png,"Resources/T_B.png,Resources/N_Y.png,Resources/T_Y.png,Resources/N_B.png,Resources/N_B.png,Resources/T_Y.png,Resources/T_B.png,Resources/N_Y.png","high,low,low,high,high,low,high,low"
N,B,N_B.png,training,1,3,5,high,color,wing,B,Y,N,T,18,5_food.png,"Resources/T_B.png,Resources/N_Y.png,Resources/T_Y.png,Resources/N_B.png,Resources/N_B.png,Resources/T_Y.png,Resources/T_B.png,Resources/N_Y.png","high,low,low,high,high,low,high,low"
N,Y,N_Y.png,training,1,4,5,low,color,wing,B,Y,N,T,18,5_food.png,"Resources/T_B.png,Resources/N_Y.png,Resources/T_Y.png,Resources/N_B.png,Resources/N_B.png,Resources/T_Y.png,Resources/T_B.png,Resources/N_Y.png","high,low,low,high,high,low,high,low"
N,B,N_B.png,training,2,5,10,high,color,wing,B,Y,N,T,18,10_food.png,"Resources/T_B.png,Resources/N_Y.png,Resources/T_Y.png,Resources/N_B.png,Resources/N_B.png,Resources/T_Y.png,Resources/T_B.png,Resources/N_Y.png","high,low,low,high,high,low,high,low"
T,B,T_B.png,training,2,6,7,high,color,wing,B,Y,N,T,18,7_food.png,"Resources/T_B.png,Resources/N_Y.png,Resources/T_Y.png,Resources/N_B.png,Resources/N_B.png,Resources/T_Y.png,Resources/T_B.png,Resources/N_Y.png","high,low,low,high,high,low,high,low"
T,Y,T_Y.png,training,2,7,1,low,color,wing,B,Y,N,T,18,1_food.png,"Resources/T_B.png,Resources/N_Y.png,Resources/T_Y.png,Resources/N_B.png,Resources/N_B.png,Resources/T_Y.png,Resources/T_B.png,Resources/N_Y.png","high,low,low,high,high,low,high,low"
N,Y,N_Y.png,training,2,8,6,low,color,wing,B,Y,N,T,18,6_food.png,"Resources/T_B.png,Resources/N_Y.png,Resources/T_Y.png,Resources/N_B.png,Resources/N_B.png,Resources/T_Y.png,Resources/T_B.png,Resources/N_Y.png","high,low,low,high,high,low,high,low"
N,Y,N_Y.png,training,3,9,3,low,color,wing,B,Y,N,T,18,3_food.png,"Resources/T_B.png,Resources/N_Y.png,Resources/T_Y.png,Resources/N_B.png,Resources/N_B.png,Resources/T_Y.png,Resources/T_B.png,Resources/N_Y.png","high,low,low,high,high,low,high,low"
T,B,T_B.png,training,3,10,10,high,color,wing,B,Y,N,T,18,10_food.png,"Resources/T_B.png,Resources/N_Y.png,Resources/T_Y.png,Resources/N_B.png,Resources/N_B.png,Resources/T_Y.png,Resources/T_B.png,Resources/N_Y.png","high,low,low,high,high,low,high,low"
N,B,N_B.png,training,3,11,9,high,color,wing,B,Y,N,T,18,9_food.png,"Resources/T_B.png,Resources/N_Y.png,Resources/T_Y.png,Resources/N_B.png,Resources/N_B.png,Resources/T_Y.png,Resources/T_B.png,Resources/N_Y.png","high,low,low,high,high,low,high,low"
T,Y,T_Y.png,training,3,12,4,low,color,wing,B,Y,N,T,18,4_food.png,"Resources/T_B.png,Resources/N_Y.png,Resources/T_Y.png,Resources/N_B.png,Resources/N_B.png,Resources/T_Y.png,Resources/T_B.png,Resources/N_Y.png","high,low,low,high,high,low,high,low"
