wing,color,image_file,phase,rep,trial_num,food_amount,category,relevant_dim,irrelevant_dim,color_high,color_low,wing_high,wing_low,participant_id,food_image_file,images_list,testing_categories
N,Y,N_Y.png,training,1,1,6,high,color,wing,Y,B,N,T,64,6_food.png,"Resources/N_Y.png,Resources/T_B.png,Resources/N_Y.png,Resources/T_B.png,Resources/N_B.png,Resources/N_B.png,Resources/T_Y.png,Resources/T_Y.png","high,low,high,low,low,low,high,high"
T,Y,T_Y.png,training,1,2,7,high,color,wing,Y,B,N,T,64,7_food.png,"Resources/N_Y.png,Resources/T_B.png,Resources/N_Y.png,Resources/T_B.png,Resources/N_B.png,Resources/N_B.png,Resources/T_Y.png,Resources/T_Y.png","high,low,high,low,low,low,high,high"
N,B,N_B.png,training,1,3,4,low,color,wing,Y,B,N,T,64,4_food.png,"Resources/N_Y.png,Resources/T_B.png,Resources/N_Y.png,Resources/T_B.png,Resources/N_B.png,Resources/N_B.png,Resources/T_Y.png,Resources/T_Y.png","high,low,high,low,low,low,high,high"
T,B,T_B.png,training,1,4,4,low,color,wing,Y,B,N,T,64,4_food.png,"Resources/N_Y.png,Resources/T_B.png,Resources/N_Y.png,Resources/T_B.png,Resources/N_B.png,Resources/N_B.png,Resources/T_Y.png,Resources/T_Y.png","high,low,high,low,low,low,high,high"
T,B,T_B.png,training,2,5,2,low,color,wing,Y,B,N,T,64,2_food.png,"Resources/N_Y.png,Resources/T_B.png,Resources/N_Y.png,Resources/T_B.png,Resources/N_B.png,Resources/N_B.png,Resources/T_Y.png,Resources/T_Y.png","high,low,high,low,low,low,high,high"
N,B,N_B.png,training,2,6,1,low,color,wing,Y,B,N,T,64,1_food.png,"Resources/N_Y.png,Resources/T_B.png,Resources/N_Y.png,Resources/T_B.png,Resources/N_B.png,Resources/N_B.png,Resources/T_Y.png,Resources/T_Y.png","high,low,high,low,low,low,high,high"
T,Y,T_Y.png,training,2,7,8,high,color,wing,Y,B,N,T,64,8_food.png,"Resources/N_Y.png,Resources/T_B.png,Resources/N_Y.png,Resources/T_B.png,Resources/N_B.png,Resources/N_B.png,Resources/T_Y.png,Resources/T_Y.png","high,low,high,low,low,low,high,high"
N,Y,N_Y.png,training,2,8,8,high,color,wing,Y,B,N,T,64,8_food.png,"Resources/N_Y.png,Resources/T_B.png,Resources/N_Y.png,Resources/T_B.png,Resources/N_B.png,Resources/N_B.png,Resources/T_Y.png,Resources/T_Y.png","high,low,high,low,low,low,high,high"
N,B,N_B.png,training,3,9,4,low,color,wing,Y,B,N,T,64,4_food.png,"Resources/N_Y.png,Resources/T_B.png,Resources/N_Y.png,Resources/T_B.png,Resources/N_B.png,Resources/N_B.png,Resources/T_Y.png,Resources/T_Y.png","high,low,high,low,low,low,high,high"
T,Y,T_Y.png,training,3,10,6,high,color,wing,Y,B,N,T,64,6_food.png,"Resources/N_Y.png,Resources/T_B.png,Resources/N_Y.png,Resources/T_B.png,Resources/N_B.png,Resources/N_B.png,Resources/T_Y.png,Resources/T_Y.png","high,low,high,low,low,low,high,high"
N,Y,N_Y.png,training,3,11,8,high,color,wing,Y,B,N,T,64,8_food.png,"Resources/N_Y.png,Resources/T_B.png,Resources/N_Y.png,Resources/T_B.png,Resources/N_B.png,Resources/N_B.png,Resources/T_Y.png,Resources/T_Y.png","high,low,high,low,low,low,high,high"
T,B,T_B.png,training,3,12,1,low,color,wing,Y,B,N,T,64,1_food.png,"Resources/N_Y.png,Resources/T_B.png,Resources/N_Y.png,Resources/T_B.png,Resources/N_B.png,Resources/N_B.png,Resources/T_Y.png,Resources/T_Y.png","high,low,high,low,low,low,high,high"
