wing,color,image_file,phase,rep,trial_num,food_amount,category,relevant_dim,irrelevant_dim,wing_high,wing_low,color_high,color_low,participant_id,food_image_file,images_list,testing_categories
T,Y,T_Y.png,training,1,1,7,low,wing,color,N,T,Y,B,3,7_food.png,"Resources/T_B.png,Resources/T_B.png,Resources/N_B.png,Resources/N_Y.png,Resources/N_B.png,Resources/N_Y.png,Resources/T_Y.png,Resources/T_Y.png","low,low,high,high,high,high,low,low"
T,B,T_B.png,training,1,2,6,low,wing,color,N,T,Y,B,3,6_food.png,"Resources/T_B.png,Resources/T_B.png,Resources/N_B.png,Resources/N_Y.png,Resources/N_B.png,Resources/N_Y.png,Resources/T_Y.png,Resources/T_Y.png","low,low,high,high,high,high,low,low"
N,Y,N_Y.png,training,1,3,7,high,wing,color,N,T,Y,B,3,7_food.png,"Resources/T_B.png,Resources/T_B.png,Resources/N_B.png,Resources/N_Y.png,Resources/N_B.png,Resources/N_Y.png,Resources/T_Y.png,Resources/T_Y.png","low,low,high,high,high,high,low,low"
N,B,N_B.png,training,1,4,6,high,wing,color,N,T,Y,B,3,6_food.png,"Resources/T_B.png,Resources/T_B.png,Resources/N_B.png,Resources/N_Y.png,Resources/N_B.png,Resources/N_Y.png,Resources/T_Y.png,Resources/T_Y.png","low,low,high,high,high,high,low,low"
N,Y,N_Y.png,training,2,5,9,high,wing,color,N,T,Y,B,3,9_food.png,"Resources/T_B.png,Resources/T_B.png,Resources/N_B.png,Resources/N_Y.png,Resources/N_B.png,Resources/N_Y.png,Resources/T_Y.png,Resources/T_Y.png","low,low,high,high,high,high,low,low"
T,Y,T_Y.png,training,2,6,6,low,wing,color,N,T,Y,B,3,6_food.png,"Resources/T_B.png,Resources/T_B.png,Resources/N_B.png,Resources/N_Y.png,Resources/N_B.png,Resources/N_Y.png,Resources/T_Y.png,Resources/T_Y.png","low,low,high,high,high,high,low,low"
N,B,N_B.png,training,2,7,7,high,wing,color,N,T,Y,B,3,7_food.png,"Resources/T_B.png,Resources/T_B.png,Resources/N_B.png,Resources/N_Y.png,Resources/N_B.png,Resources/N_Y.png,Resources/T_Y.png,Resources/T_Y.png","low,low,high,high,high,high,low,low"
T,B,T_B.png,training,2,8,2,low,wing,color,N,T,Y,B,3,2_food.png,"Resources/T_B.png,Resources/T_B.png,Resources/N_B.png,Resources/N_Y.png,Resources/N_B.png,Resources/N_Y.png,Resources/T_Y.png,Resources/T_Y.png","low,low,high,high,high,high,low,low"
N,B,N_B.png,training,3,9,8,high,wing,color,N,T,Y,B,3,8_food.png,"Resources/T_B.png,Resources/T_B.png,Resources/N_B.png,Resources/N_Y.png,Resources/N_B.png,Resources/N_Y.png,Resources/T_Y.png,Resources/T_Y.png","low,low,high,high,high,high,low,low"
N,Y,N_Y.png,training,3,10,7,high,wing,color,N,T,Y,B,3,7_food.png,"Resources/T_B.png,Resources/T_B.png,Resources/N_B.png,Resources/N_Y.png,Resources/N_B.png,Resources/N_Y.png,Resources/T_Y.png,Resources/T_Y.png","low,low,high,high,high,high,low,low"
T,Y,T_Y.png,training,3,11,4,low,wing,color,N,T,Y,B,3,4_food.png,"Resources/T_B.png,Resources/T_B.png,Resources/N_B.png,Resources/N_Y.png,Resources/N_B.png,Resources/N_Y.png,Resources/T_Y.png,Resources/T_Y.png","low,low,high,high,high,high,low,low"
T,B,T_B.png,training,3,12,3,low,wing,color,N,T,Y,B,3,3_food.png,"Resources/T_B.png,Resources/T_B.png,Resources/N_B.png,Resources/N_Y.png,Resources/N_B.png,Resources/N_Y.png,Resources/T_Y.png,Resources/T_Y.png","low,low,high,high,high,high,low,low"
