wing,color,image_file,phase,rep,trial_num,food_amount,category,relevant_dim,irrelevant_dim,wing_high,wing_low,color_high,color_low,participant_id,food_image_file,images_list,testing_categories
N,Y,N_Y.png,training,1,1,6,high,wing,color,N,T,B,Y,23,6_food.png,"Resources/T_B.png,Resources/N_B.png,Resources/T_Y.png,Resources/N_Y.png,Resources/T_B.png,Resources/N_Y.png,Resources/T_Y.png,Resources/N_B.png","low,high,low,high,low,high,low,high"
T,Y,T_Y.png,training,1,2,6,low,wing,color,N,T,B,Y,23,6_food.png,"Resources/T_B.png,Resources/N_B.png,Resources/T_Y.png,Resources/N_Y.png,Resources/T_B.png,Resources/N_Y.png,Resources/T_Y.png,Resources/N_B.png","low,high,low,high,low,high,low,high"
N,B,N_B.png,training,1,3,8,high,wing,color,N,T,B,Y,23,8_food.png,"Resources/T_B.png,Resources/N_B.png,Resources/T_Y.png,Resources/N_Y.png,Resources/T_B.png,Resources/N_Y.png,Resources/T_Y.png,Resources/N_B.png","low,high,low,high,low,high,low,high"
T,B,T_B.png,training,1,4,6,low,wing,color,N,T,B,Y,23,6_food.png,"Resources/T_B.png,Resources/N_B.png,Resources/T_Y.png,Resources/N_Y.png,Resources/T_B.png,Resources/N_Y.png,Resources/T_Y.png,Resources/N_B.png","low,high,low,high,low,high,low,high"
N,Y,N_Y.png,training,2,5,7,high,wing,color,N,T,B,Y,23,7_food.png,"Resources/T_B.png,Resources/N_B.png,Resources/T_Y.png,Resources/N_Y.png,Resources/T_B.png,Resources/N_Y.png,Resources/T_Y.png,Resources/N_B.png","low,high,low,high,low,high,low,high"
T,B,T_B.png,training,2,6,5,low,wing,color,N,T,B,Y,23,5_food.png,"Resources/T_B.png,Resources/N_B.png,Resources/T_Y.png,Resources/N_Y.png,Resources/T_B.png,Resources/N_Y.png,Resources/T_Y.png,Resources/N_B.png","low,high,low,high,low,high,low,high"
N,B,N_B.png,training,2,7,7,high,wing,color,N,T,B,Y,23,7_food.png,"Resources/T_B.png,Resources/N_B.png,Resources/T_Y.png,Resources/N_Y.png,Resources/T_B.png,Resources/N_Y.png,Resources/T_Y.png,Resources/N_B.png","low,high,low,high,low,high,low,high"
T,Y,T_Y.png,training,2,8,6,low,wing,color,N,T,B,Y,23,6_food.png,"Resources/T_B.png,Resources/N_B.png,Resources/T_Y.png,Resources/N_Y.png,Resources/T_B.png,Resources/N_Y.png,Resources/T_Y.png,Resources/N_B.png","low,high,low,high,low,high,low,high"
T,Y,T_Y.png,training,3,9,2,low,wing,color,N,T,B,Y,23,2_food.png,"Resources/T_B.png,Resources/N_B.png,Resources/T_Y.png,Resources/N_Y.png,Resources/T_B.png,Resources/N_Y.png,Resources/T_Y.png,Resources/N_B.png","low,high,low,high,low,high,low,high"
N,B,N_B.png,training,3,10,9,high,wing,color,N,T,B,Y,23,9_food.png,"Resources/T_B.png,Resources/N_B.png,Resources/T_Y.png,Resources/N_Y.png,Resources/T_B.png,Resources/N_Y.png,Resources/T_Y.png,Resources/N_B.png","low,high,low,high,low,high,low,high"
T,B,T_B.png,training,3,11,4,low,wing,color,N,T,B,Y,23,4_food.png,"Resources/T_B.png,Resources/N_B.png,Resources/T_Y.png,Resources/N_Y.png,Resources/T_B.png,Resources/N_Y.png,Resources/T_Y.png,Resources/N_B.png","low,high,low,high,low,high,low,high"
N,Y,N_Y.png,training,3,12,5,high,wing,color,N,T,B,Y,23,5_food.png,"Resources/T_B.png,Resources/N_B.png,Resources/T_Y.png,Resources/N_Y.png,Resources/T_B.png,Resources/N_Y.png,Resources/T_Y.png,Resources/N_B.png","low,high,low,high,low,high,low,high"
